WearThreshold,TargetInnerSensitivity,GroupCount,min_SelectedScoreThreshold,max_SelectedScoreThreshold,mean_SelectedScoreThreshold,min_InnerPositiveRecordN,max_InnerPositiveRecordN,mean_InnerPositiveRecordN,min_AchievedInnerSensitivity,max_AchievedInnerSensitivity,mean_AchievedInnerSensitivity
0.3,0.85,16,0.299475131044713,0.3,0.299967195690295,60,70,65.625,0.85,0.911764705882353,0.887149133076606
0.3,0.9,16,0.274552186528064,0.3,0.290280564144651,60,70,65.625,0.9,0.911764705882353,0.907561868840221
0.3,0.95,16,0.216159150825743,0.261546808830122,0.246547564675723,60,70,65.625,0.95,0.957142857142857,0.954227362991539
0.4,0.85,16,0.344694301844449,0.374369285806988,0.359691807211173,44,52,48.75,0.851063829787234,0.869565217391304,0.858958744150432
0.4,0.9,16,0.303598153706853,0.345551837571416,0.327347517149006,44,52,48.75,0.9,0.918367346938776,0.910389497557173
0.4,0.95,16,0.279525791448057,0.316169546196411,0.304835070850279,44,52,48.75,0.954545454545455,0.961538461538462,0.958908455415087
0.6,0.85,16,0.375009485681274,0.471086268679365,0.411285342529062,14,20,18.75,0.85,0.894736842105263,0.873697417563517
0.6,0.9,16,0.315023525952364,0.454104785881121,0.372498232394591,14,20,18.75,0.9,0.947368421052632,0.927473708781758
0.6,0.95,16,0.301080608749245,0.350018018196231,0.323849023548533,14,20,18.75,0.95,1,0.98125
0.8,0.85,16,0.303598153706853,0.498732253656722,0.399933069682411,3,8,7.5,0.857142857142857,1,0.889508928571429
0.8,0.9,16,0.301080608749245,0.498732253656722,0.324288524260573,3,8,7.5,1,1,1
0.8,0.95,16,0.301080608749245,0.498732253656722,0.324288524260573,3,8,7.5,1,1,1
