Dataset,Unit,Method,RelativeMAE
NUAA,W1,Fixed all-channel,2.17827003816358
NUAA,W2,Fixed all-channel,2.23370166235103
NUAA,W3,Fixed all-channel,1.25088602579391
NUAA,W4,Fixed all-channel,1.23260070974598
NUAA,W5,Fixed all-channel,1.75663846963354
NUAA,W6,Fixed all-channel,1.21106252999213
NUAA,W7,Fixed all-channel,1.03979940188322
NUAA,W8,Fixed all-channel,1.26331328234891
NUAA,W9,Fixed all-channel,0.968042436374422
PHM2010,c1,Fixed all-channel,1.178989306675
PHM2010,c4,Fixed all-channel,1.03106538370073
PHM2010,c6,Fixed all-channel,1.36283456242947
NUAA,W1,Median replacement,1.07728331799733
NUAA,W2,Median replacement,1.15019010878054
NUAA,W3,Median replacement,0.992631763609378
NUAA,W4,Median replacement,0.978239663447271
NUAA,W5,Median replacement,1.23608105736092
NUAA,W6,Median replacement,1.01950785207269
NUAA,W7,Median replacement,1.00727005493479
NUAA,W8,Median replacement,1.04220172725094
NUAA,W9,Median replacement,1.05313649702296
PHM2010,c1,Median replacement,0.960312133923093
PHM2010,c4,Median replacement,1.1156369359579
PHM2010,c6,Median replacement,1.0665102081933
NUAA,W1,Mask-aware dropout,1.02950718583363
NUAA,W2,Mask-aware dropout,1.29221889249571
NUAA,W3,Mask-aware dropout,0.92565130704705
NUAA,W4,Mask-aware dropout,0.9819973624869
NUAA,W5,Mask-aware dropout,1.27239413450839
NUAA,W6,Mask-aware dropout,0.999844885741072
NUAA,W7,Mask-aware dropout,0.979931399679396
NUAA,W8,Mask-aware dropout,1.03483331633435
NUAA,W9,Mask-aware dropout,1.11384036352127
PHM2010,c1,Mask-aware dropout,1.19952991961616
PHM2010,c4,Mask-aware dropout,1.11648117879673
PHM2010,c6,Mask-aware dropout,0.851288728913459
NUAA,W1,SQTR,1.04475597498957
NUAA,W2,SQTR,1.16711205535442
NUAA,W3,SQTR,0.989397576441751
NUAA,W4,SQTR,0.995795929078482
NUAA,W5,SQTR,1.49286632009354
NUAA,W6,SQTR,0.97594124816888
NUAA,W7,SQTR,0.995838324904784
NUAA,W8,SQTR,1.0583911172849
NUAA,W9,SQTR,1.10552178073721
PHM2010,c1,SQTR,1.1238760789638
PHM2010,c4,SQTR,1.03937184963485
PHM2010,c6,SQTR,1.00324033049036
