Dataset,Method,IndependentUnitN,CaseMacroCleanMAE,CaseMacroCleanMAESD
NUAA,Fixed all-channel,9,0.040194265714930566,0.02068336502413385
PHM2010,Fixed all-channel,3,0.012538931696666034,0.003925736019560546
Combined,Fixed all-channel,12,0.03328043221036443,0.0216880253734679
NUAA,Median replacement,9,0.04063357499743191,0.020372555700629652
PHM2010,Median replacement,3,0.012598443868953433,0.0040122612870413365
Combined,Median replacement,12,0.03362479221531229,0.02157640543532081
NUAA,Mask-aware dropout,9,0.041023824156580964,0.02039355621931217
PHM2010,Mask-aware dropout,3,0.012333515714300634,0.0025510127725885245
Combined,Mask-aware dropout,12,0.033851247046010884,0.021726070349505845
NUAA,SQTR,9,0.04076522794603579,0.020359302204076044
PHM2010,SQTR,3,0.012608495299966,0.003833723644409145
Combined,SQTR,12,0.03372604478451834,0.0215937868774344
