Dataset,Method,mean,std,count
NUAA,Fixed all-channel,1.459368284031858,0.47660286238726796,9
PHM2010,Fixed all-channel,1.1909630842684,0.16620837975558814,3
NUAA,Median replacement,1.0618380047196465,0.08322731106429869,9
PHM2010,Median replacement,1.0474864260247643,0.07939065907135995,3
NUAA,Mask-aware dropout,1.0700243164053076,0.1307469214950893,9
PHM2010,Mask-aware dropout,1.055766609108783,0.1818864369731926,3
NUAA,SQTR,1.0917355918948375,0.16293348869498486,9
PHM2010,SQTR,1.0554960863630034,0.061913158617420846,3
Combined,Fixed all-channel,1.3922669840909936,0.43006826084228567,12
Combined,Median replacement,1.058250110045926,0.07890354498681384,12
Combined,Mask-aware dropout,1.0664598895811765,0.13597486289825636,12
Combined,SQTR,1.082675715511879,0.14238232183717814,12
