OriginalIndex,CaseID,ActualVB,PredRouteOnly,QualityRatio,GateThreshold,RoutingBranch
1,1,0.0,0.0153871259291391,0.0,0.01,Full-sensor branch
4,1,0.11,0.107368857050647,0.0,0.01,Full-sensor branch
6,1,0.2,0.217141395876481,0.0,0.01,Full-sensor branch
7,1,0.24,0.243891691940343,0.264222222222222,0.01,smcDC-exclusion branch
8,1,0.29,0.246928821967782,1.0,0.01,smcDC-exclusion branch
9,1,0.28,0.357686799044346,1.0,0.01,smcDC-exclusion branch
10,1,0.29,0.409017443290637,1.0,0.01,smcDC-exclusion branch
11,1,0.38,0.402833977168729,1.0,0.01,smcDC-exclusion branch
12,1,0.4,0.418077943540329,1.0,0.01,smcDC-exclusion branch
13,1,0.43,0.440016650977469,1.0,0.01,smcDC-exclusion branch
14,1,0.45,0.458329522931512,1.0,0.01,smcDC-exclusion branch
15,1,0.5,0.527296158699708,1.0,0.01,smcDC-exclusion branch
17,1,0.44,0.522661207457936,1.0,0.01,smcDC-exclusion branch
18,2,0.08,0.0490554584890014,0.0,0.1,Full-sensor branch
19,2,0.14,0.0573075386693561,0.0,0.1,Full-sensor branch
20,2,0.14,0.0409741463198655,0.0,0.1,Full-sensor branch
21,2,0.14,0.131453250169627,0.0,0.1,Full-sensor branch
22,2,0.15,0.195473412394304,0.0,0.1,Full-sensor branch
24,2,0.18,0.22370453303189,0.0,0.1,Full-sensor branch
25,2,0.22,0.30335373534574,0.0,0.1,Full-sensor branch
26,2,0.26,0.358619161698567,0.0,0.1,Full-sensor branch
27,2,0.31,0.350064406112354,0.0,0.1,Full-sensor branch
28,2,0.38,0.426178052100322,0.0,0.1,Full-sensor branch
29,2,0.43,0.464544016857487,0.0,0.1,Full-sensor branch
30,2,0.48,0.561515212502925,0.475333333333333,0.1,smcDC-exclusion branch
31,2,0.55,0.589005108840016,0.461333333333333,0.1,smcDC-exclusion branch
32,3,0.0,0.121077147749854,0.0,0.01,Full-sensor branch
33,3,0.13,0.120799150304231,0.0,0.01,Full-sensor branch
34,3,0.13,0.101404509903406,0.0,0.01,Full-sensor branch
35,3,0.17,0.14115734053333,0.0,0.01,Full-sensor branch
36,3,0.19,0.135409632400145,0.0,0.01,Full-sensor branch
37,3,0.2,0.188856895685426,0.0,0.01,Full-sensor branch
38,3,0.23,0.253963521366126,0.0,0.01,Full-sensor branch
39,3,0.23,0.346688066683706,0.0,0.01,Full-sensor branch
40,3,0.26,0.323700271968032,0.0,0.01,Full-sensor branch
41,3,0.28,0.379134440409942,0.0,0.01,Full-sensor branch
42,3,0.33,0.412348432982236,0.0,0.01,Full-sensor branch
43,3,0.36,0.473846966668063,0.0,0.01,Full-sensor branch
44,3,0.44,0.481814344726163,0.0,0.01,Full-sensor branch
45,3,0.55,0.539571893805746,0.0,0.01,Full-sensor branch
46,4,0.08,0.0772567435334695,0.0,0.01,Full-sensor branch
47,4,0.13,0.116544330390295,0.0,0.01,Full-sensor branch
48,4,0.2,0.148849110131349,0.0,0.01,Full-sensor branch
49,4,0.31,0.217640019369964,0.0,0.01,Full-sensor branch
50,4,0.35,0.245144963114827,0.0,0.01,Full-sensor branch
51,4,0.4,0.332292945081035,0.0,0.01,Full-sensor branch
52,4,0.49,0.365671296170965,0.0,0.01,Full-sensor branch
53,9,0.0,0.193921947313235,0.0,0.1,Full-sensor branch
54,9,0.1,0.207537993806984,0.0,0.1,Full-sensor branch
55,9,0.14,0.290672111246105,0.0,0.1,Full-sensor branch
