CaseID,SampleCount,MeanModelMAE,ProcessModelMAE,SensorRidgeMAE,CombinedRidgeMAE
1,13,0.117727009832273,0.120036031979758,0.0590062343732491,0.0505342663718979
2,13,0.149456333140544,0.13464782265102,0.0501147833987682,0.0494722991655661
3,14,0.141082251082251,0.124018012697906,0.0517043188219122,0.0519143232890665
4,7,0.122929085303186,0.121655907859706,0.0481310903910067,0.055466690286611
5,6,0.21,0.212532044072582,0.229454113925098,0.216533952253553
6,1,0.339931034482759,0.449316860374514,0.153262950655877,0.12726503831449
7,7,0.16568345323741,0.283899649113279,0.115651990417669,0.122398238649496
8,5,0.183730496453901,0.217300143069178,0.119749593044303,0.117065054384692
9,9,0.215320356853204,0.208050282050589,0.150211246447253,0.132726036037334
10,10,0.196,0.196,0.117178960111835,0.100269870097773
11,20,0.209214285714286,0.196728711358367,0.0852512979696558,0.085680786472514
12,12,0.172475124378109,0.169166666666667,0.148126226277842,0.138430303578853
13,13,0.425546558704453,0.421084208442834,0.376920413016693,0.344269580573146
14,7,0.295693730729702,0.302747986221004,0.178372523911627,0.174423931406338
15,6,0.168690476190476,0.156666666666667,0.132931053685636,0.164494837301499
16,3,0.148041958041958,0.135862191372243,0.152022416806884,0.151470585126148
