CaseID,SampleCount,SaturatedAbove1Percent,SaturatedAbove50Percent,FullySaturated,MeanSaturationRatio,MaximumSaturationRatio
1,13,10,9,9,0.712632478632479,1
2,13,2,0,0,0.0720512820512821,0.475333333333333
3,14,0,0,0,0,0
4,7,0,0,0,0,0
5,6,5,3,3,0.646555555555556,1
6,1,0,0,0,0,0
7,7,0,0,0,0,0
8,5,0,0,0,0,0
9,9,6,5,5,0.559950617283951,1
10,10,4,3,0,0.228022222222222,0.818444444444444
11,20,0,0,0,0,0
12,12,2,1,0,0.10287037037037,0.982666666666667
13,13,2,2,0,0.131333333333333,0.885777777777778
14,7,3,3,3,0.428571428571429,1
15,6,3,1,0,0.181777777777778,0.943333333333333
16,3,3,3,3,1,1
