CaseID,Records,ValidVB,MissingVB,VB_Min,VB_Max,DOC,Feed,Material
1,17,13,4,0,0.5,1.5,0.5,1
2,14,13,1,0.08,0.55,0.75,0.5,1
3,14,14,0,0,0.55,0.75,0.25,1
4,7,7,0,0.08,0.49,1.5,0.25,1
5,6,6,0,0,0.74,1.5,0.5,2
6,1,1,0,0,0,1.5,0.25,2
7,8,7,1,0,0.46,0.75,0.25,2
8,6,5,1,0,0.62,0.75,0.5,2
9,9,9,0,0,0.81,1.5,0.5,1
10,10,10,0,0,0.7,1.5,0.25,1
11,23,20,3,0,0.76,0.75,0.25,1
12,15,12,3,0.05,0.65,0.75,0.5,1
13,15,13,2,0.1,1.53,0.75,0.25,2
14,9,7,2,0.09,1.14,0.75,0.5,2
15,7,6,1,0.15,0.7,1.5,0.25,2
16,6,3,3,0.24,0.62,1.5,0.5,2
