CaseID,SampleCount,TimeMinimum,TimeMaximum,ElapsedMaximum,TimeMonotonic,SpearmanTimeVB,SpearmanElapsedVB
1,13,2,48,46,1,0.973866120748891,0.973866120748891
2,13,3,72,69,1,0.994490316197694,0.994490316197694
3,14,0,81,81,1,0.99779977731226,0.99779977731226
4,7,3,39,36,1,1,1
5,6,0,15,15,1,1,1
6,1,0,0,0,1,NaN,NaN
7,7,1,19,18,1,1,1
8,5,0,12,12,1,1,1
9,9,1,46,45,1,1,1
10,10,0,57,57,1,1,1
11,20,1,105,104,1,0.999623989458412,0.999623989458412
12,12,3,74,73,1,1,1
13,13,4,45,44,1,1,1
14,7,3,24,23,1,1,1
15,6,3,19,18,1,1,1
16,3,3,9,8,1,1,1
