Strategy,WearGroup,SampleCount,GroupMAE,GroupRMSE,MeanResidual
AllSensors,VB < 0.2,50,0.0884080669587573,0.121271762588708,0.081690907652857
AllSensors,0.2 <= VB < 0.4,44,0.083269559186768,0.110530725859132,0.0525533630214335
AllSensors,VB >= 0.4,52,0.190564148007371,0.311773112263906,-0.0982392517177496
QualityAware,VB < 0.2,50,0.113436471350136,0.147765519836082,0.0476714869823933
QualityAware,0.2 <= VB < 0.4,44,0.0890806739594288,0.115886261062647,0.0443613227249478
QualityAware,VB >= 0.4,52,0.172513811442621,0.259267063304831,-0.107459637919075
Gated1Percent,VB < 0.2,50,0.085783864610957,0.117762767302689,0.0790667053050567
Gated1Percent,0.2 <= VB < 0.4,44,0.0818482289370929,0.110286866415783,0.0499920886068422
Gated1Percent,VB >= 0.4,52,0.17218075257321,0.263044913353972,-0.111086074697429
Gated10Percent,VB < 0.2,50,0.0865108624150058,0.118722304766635,0.0797937031091054
Gated10Percent,0.2 <= VB < 0.4,44,0.0818482289370929,0.110286866415783,0.0499920886068422
Gated10Percent,VB >= 0.4,52,0.171944014098157,0.26307855342309,-0.109648004151873
Gated50Percent,VB < 0.2,50,0.0884080669587573,0.121271762588708,0.081690907652857
Gated50Percent,0.2 <= VB < 0.4,44,0.0842491181800692,0.112084533696721,0.0525630714457509
Gated50Percent,VB >= 0.4,52,0.171045332880415,0.262647106513362,-0.111165410136916
