Feature,ZScore,AbsoluteZScore
smcDC_Kurtosis,67.2366555277464,67.2366555277464
smcDC_Skewness,-20.1584398330428,20.1584398330428
smcDC_CrestFactor,12.2540129401345,12.2540129401345
smcDC_MidBandRatio,2.07467967086269,2.07467967086269
vib_table_RMS,-1.90856590574064,1.90856590574064
vib_table_Mean,-1.88500589663268,1.88500589663268
vib_table_PeakToPeak,-1.79021605321414,1.79021605321414
AE_spindle_PeakToPeak,1.58763204985797,1.58763204985797
vib_table_MidBandRatio,1.56402684774549,1.56402684774549
vib_table_Std,-1.49179000713032,1.49179000713032
AE_table_PeakToPeak,1.36803609205893,1.36803609205893
smcDC_Mean,1.27435154190323,1.27435154190323
smcDC_RMS,1.27125552803552,1.27125552803552
AE_table_MidBandRatio,1.25359178518537,1.25359178518537
Feed,1.17578173423776,1.17578173423776
