Model,ModelRole,MAE,RMSE,R2,IsProposedModel
Time- and quality-gated ridge,Proposed model,0.108772765115727,0.175923171578738,0.540884745839963,1
Quality-gated ridge,Quality-gating model,0.115342389029865,0.182016924205799,0.508527555712373,0
All sensors + elapsed time,Time ablation,0.116209976802627,0.204076379023021,0.382181213211466,0
Quality-aware + elapsed time,Time ablation,0.119028237767688,0.182253416187289,0.507249599827428,0
Process + sensor ridge,Conventional model,0.123243833209171,0.208179000682266,0.35709105321842,0
Quality-aware bagged trees,Nonlinear comparison,0.124218197419587,0.195358080957864,0.433841031344015,0
Quality-aware LSBoost,Nonlinear comparison,0.124863373466681,0.204289085343392,0.380892652065809,0
Quality-aware ridge,Quality ablation,0.127137612443411,0.188324357519364,0.47387538674409,0
Sensor ridge,Sensor baseline,0.128945951798873,0.219665483912075,0.28418750747683,0
Process + elapsed time,Time ablation,0.132047706990989,0.198460448858336,0.415716571375548,0
Quality-aware SVR,Nonlinear comparison,0.132442109313463,0.197286398903029,0.422609117342881,0
All-sensor SVR,Nonlinear comparison,0.134073819973742,0.19735662335801,0.422197997502354,0
Training mean,Naive baseline,0.19998292320802,0.264363210958121,-0.0367586485510616,0
Process parameters only,Process baseline,0.201609486164252,0.267085588269698,-0.058221399067578,0
