CaseID,SampleCount,AllSensorsMAE,NoSmcDCMAE,QualityAwareMAE
1,13,0.0505342663718979,0.0349581460329973,0.0389660513525993
2,13,0.0494722991655661,0.131302529447387,0.128034555718701
3,14,0.0519143232890665,0.0789658245977592,0.081702276589183
4,7,0.055466690286611,0.163622241812846,0.115064859139747
5,6,0.216533952253553,0.242365543759349,0.241428616516561
6,1,0.12726503831449,0.126944710394302,0.128820282834389
7,7,0.122398238649496,0.136547651724848,0.137373691719101
8,5,0.117065054384692,0.1177844598039,0.119422914158428
9,9,0.132726036037334,0.125673305797099,0.12561307582284
10,10,0.100269870097773,0.0895088157841704,0.0883956288587201
11,20,0.085680786472514,0.0918690833171151,0.0940474196415501
12,12,0.138430303578853,0.0619632230373933,0.0622215447113604
13,13,0.344269580573146,0.322356544378132,0.322025508329176
14,7,0.174423931406338,0.16000695943674,0.157037094602361
15,6,0.164494837301499,0.15401333982664,0.151889162110433
16,3,0.151470585126148,0.153244898323131,0.155556033435387
