TestCase,SensorLambda,CombinedLambda
1,1000,1000
2,1000,1000
3,316.227766016838,316.227766016838
4,316.227766016838,316.227766016838
5,316.227766016838,316.227766016838
6,316.227766016838,316.227766016838
7,316.227766016838,316.227766016838
8,316.227766016838,316.227766016838
9,316.227766016838,316.227766016838
10,316.227766016838,316.227766016838
11,316.227766016838,316.227766016838
12,316.227766016838,316.227766016838
13,316.227766016838,100
14,316.227766016838,316.227766016838
15,1000,316.227766016838
16,316.227766016838,316.227766016838
