OriginalIndex,CaseID,RunID,ActualVB,PredMean,PredProcess,PredSensorRidge,PredCombinedRidge,DOC,Feed,Material,Residual,AbsoluteError
109,12,15,0.65,0.339850746268657,0.282996199741186,1.92054676394659,1.84363465903977,0.75,0.5,1,1.19363465903977,1.19363465903977
145,13,15,1.53,0.306842105263158,0.315129327177594,0.438189487836813,0.477590087574657,0.75,0.25,2,-1.05240991242534,1.05240991242534
144,13,14,1.3,0.306842105263158,0.315129327177594,0.471027306707081,0.544451868422381,0.75,0.25,2,-0.755548131577619,0.755548131577619
154,14,10,1.14,0.330143884892086,0.419235903547031,0.540323442304326,0.563446105231264,0.75,0.5,2,-0.576553894768735,0.576553894768735
143,13,13,1.07,0.306842105263158,0.315129327177594,0.446120975680249,0.508323229977645,0.75,0.25,2,-0.561676770022355,0.561676770022355
141,13,11,0.83,0.306842105263158,0.315129327177594,0.295760918352642,0.325044314718627,0.75,0.25,2,-0.504955685281373,0.504955685281373
110,5,1,0,0.336642857142857,0.447596132217746,0.506140683063823,0.488728129539672,1.5,0.5,2,0.488728129539672,0.488728129539672
142,13,12,0.92,0.306842105263158,0.315129327177594,0.394373465485438,0.449321674407754,0.75,0.25,2,-0.470678325592246,0.470678325592246
164,16,3,0.24,0.335874125874126,0.427586574116729,0.567483921375866,0.554590828348504,1.5,0.5,2,0.314590828348504,0.314590828348504
158,15,4,0.37,0.333928571428571,0.432788019218239,0.556714972646679,0.677572346380297,1.5,0.25,2,0.307572346380297,0.307572346380297
153,14,9,0.81,0.330143884892086,0.419235903547031,0.483834644091082,0.508000333070877,0.75,0.5,2,-0.301999666929123,0.301999666929123
140,13,10,0.68,0.306842105263158,0.315129327177594,0.328296486142607,0.380031290956666,0.75,0.25,2,-0.299968709043334,0.299968709043334
139,13,9,0.56,0.306842105263158,0.315129327177594,0.248630868015248,0.261752771096345,0.75,0.25,2,-0.298247228903655,0.298247228903655
156,15,2,0.15,0.333928571428571,0.432788019218239,0.412377053721366,0.431579593918552,1.5,0.25,2,0.281579593918552,0.281579593918552
157,15,3,0.28,0.333928571428571,0.432788019218239,0.464287341801493,0.537091844559096,1.5,0.25,2,0.257091844559096,0.257091844559096
94,11,23,0.76,0.345714285714286,0.301143556791834,0.505465128231364,0.51910759475198,0.75,0.25,1,-0.24089240524802,0.24089240524802
113,5,4,0.44,0.336642857142857,0.447596132217746,0.667635996108447,0.659306597481919,1.5,0.5,2,0.219306597481919,0.219306597481919
92,11,21,0.65,0.345714285714286,0.301143556791834,0.420864777689893,0.434575375520939,0.75,0.25,1,-0.215424624479061,0.215424624479061
70,10,9,0.53,0.340220588235294,0.280029605156577,0.760898685393616,0.744405696197808,1.5,0.25,1,0.214405696197808,0.214405696197808
