OriginalIndex,CaseID,RunID,VB,DOC,Feed,Material,smcAC_Mean,smcAC_RMS,smcAC_Std,smcAC_PeakToPeak,smcAC_Skewness,smcAC_Kurtosis,smcAC_CrestFactor,smcAC_MeanFrequency,smcAC_MedianFrequency,smcAC_SpectralEntropy,smcAC_LowBandRatio,smcAC_MidBandRatio,smcAC_HighBandRatio,smcDC_Mean,smcDC_RMS,smcDC_Std,smcDC_PeakToPeak,smcDC_Skewness,smcDC_Kurtosis,smcDC_CrestFactor,smcDC_MeanFrequency,smcDC_MedianFrequency,smcDC_SpectralEntropy,smcDC_LowBandRatio,smcDC_MidBandRatio,smcDC_HighBandRatio,vib_table_Mean,vib_table_RMS,vib_table_Std,vib_table_PeakToPeak,vib_table_Skewness,vib_table_Kurtosis,vib_table_CrestFactor,vib_table_MeanFrequency,vib_table_MedianFrequency,vib_table_SpectralEntropy,vib_table_LowBandRatio,vib_table_MidBandRatio,vib_table_HighBandRatio,vib_spindle_Mean,vib_spindle_RMS,vib_spindle_Std,vib_spindle_PeakToPeak,vib_spindle_Skewness,vib_spindle_Kurtosis,vib_spindle_CrestFactor,vib_spindle_MeanFrequency,vib_spindle_MedianFrequency,vib_spindle_SpectralEntropy,vib_spindle_LowBandRatio,vib_spindle_MidBandRatio,vib_spindle_HighBandRatio,AE_table_Mean,AE_table_RMS,AE_table_Std,AE_table_PeakToPeak,AE_table_Skewness,AE_table_Kurtosis,AE_table_CrestFactor,AE_table_MeanFrequency,AE_table_MedianFrequency,AE_table_SpectralEntropy,AE_table_LowBandRatio,AE_table_MidBandRatio,AE_table_HighBandRatio,AE_spindle_Mean,AE_spindle_RMS,AE_spindle_Std,AE_spindle_PeakToPeak,AE_spindle_Skewness,AE_spindle_Kurtosis,AE_spindle_CrestFactor,AE_spindle_MeanFrequency,AE_spindle_MedianFrequency,AE_spindle_SpectralEntropy,AE_spindle_LowBandRatio,AE_spindle_MidBandRatio,AE_spindle_HighBandRatio
1,1,1,0,1.5,0.5,1,-0.160302191840278,1.81794140440939,1.81106130028412,7.91015625,-0.00949630697154777,1.7219325690754,2.22960173809199,13.4804537759049,12.451171875,0.289542675036222,0.968760067376811,0.0228208077773644,0.00841912484582423,7.00556315104167,7.00907957410918,0.22201884339182,1.7138671875,-0.0238665475832798,2.99999773775486,3.71255321853024,21.0048497424038,12.451171875,0.539010196884131,0.699988088381432,0.151182542850303,0.148829368768265,2.02224934895833,2.03981669555058,0.267162091856627,1.77001953125,-1.077612553497,5.00399336256576,3.90205933221665,40.081804769479,40.52734375,0.574002030738832,0.423476372099845,0.303418337004032,0.273105290896123,0.647536349826389,0.65226346687515,0.0783943338405337,0.452880859375,-0.256536154629008,2.94504829862244,3.08540317031709,39.1575898647475,40.52734375,0.549296569930247,0.429553749976427,0.328676885622252,0.241769364401322,0.198943413628472,0.203311587897805,0.0419226729260863,0.3656005859375,0.952177911187241,4.01955001964811,6.44439176801687,26.7443019579038,13.916015625,0.622398778455504,0.580295230929114,0.330403764779653,0.0893010042912323,0.211184217664931,0.214859922359089,0.0395772728408834,0.272216796875,1.08335239719577,4.21128725306482,4.76801489850587,23.8113507037819,13.916015625,0.560614767146939,0.623993166714106,0.322835361119035,0.0531714721668596
4,1,4,0.11,1.5,0.5,1,-0.1541064453125,1.94982893368684,1.94394543004883,8.2421875,-0.00930750407050799,1.68152250338311,2.12833477799284,13.3949043772693,12.6953125,0.28145178516206,0.974541629769371,0.0181234052162125,0.0073349650144168,7.50755316840278,7.50984637510938,0.18559540926206,1.2353515625,0.116218811524717,2.99160508115787,3.63389214385493,23.9589893182498,13.427734375,0.552292970527227,0.658711427691263,0.168053441945,0.173235130363737,1.79547092013889,1.8099628061029,0.228606972771903,1.49658203125,-0.892741116939722,4.58193538390888,3.82481821562177,40.1697039566575,29.541015625,0.585907208707699,0.464961316287285,0.228507571380176,0.306531112332539,0.586543511284722,0.589599051114369,0.0599545597387907,0.3564453125,-0.577001503441939,3.61200392916046,3.38005541245431,40.9048032332691,40.52734375,0.557848461575277,0.442920710889982,0.259973677295966,0.297105611814053,0.216496175130208,0.219749699069135,0.0376782679161302,0.2984619140625,0.876841086357956,4.37113917588619,5.70506580836609,30.4863827297183,15.869140625,0.722140625279426,0.524191799808517,0.340796149880944,0.135012050310539,0.234024793836806,0.238323391382446,0.0450653531849445,0.37353515625,1.12598703598357,5.439830377488,6.28110089806847,25.8964808401901,13.671875,0.616341352212553,0.616188198266477,0.282330382815554,0.101481418917969
6,1,6,0.2,1.5,0.5,1,-0.152442491319444,2.40387502110094,2.39930316148812,9.4677734375,-0.00836986250582223,1.62606441664019,1.974867313389,13.7492461521057,13.18359375,0.26907389936371,0.982864927935693,0.00942229539557334,0.00771277666873357,9.25365125868056,9.255963096262,0.20688338105753,1.3330078125,0.0410370712603562,2.63877594370795,3.13326127863197,20.243724755396,12.939453125,0.486106961773205,0.692665731973753,0.157934024929923,0.149400243096324,1.13481174045139,1.13929344560563,0.100966005649464,0.634765625,0.0506421566374688,2.72676045002303,3.45265359079765,57.7265396579783,80.810546875,0.604969352434169,0.216465026481854,0.171969844776242,0.611565128741904,0.523698187934028,0.524950070441561,0.0362363933901805,0.224609375,-0.0508077652199857,2.68597402262677,3.33724140987871,59.9430675933997,80.810546875,0.614208184258901,0.101585087734623,0.311566218872109,0.586848693393268,0.242853868272569,0.245442645429608,0.0355580065815295,0.2740478515625,0.34613077774349,3.14047021347475,5.20626682743293,33.3728743972568,18.5546875,0.74438947115535,0.50474379002654,0.278670449570068,0.216585760403393,0.24094970703125,0.243020248270673,0.0316591611540757,0.2056884765625,0.601253097920174,3.15060600045746,4.07715813948601,32.6269097190773,13.916015625,0.673928470204269,0.550700586782406,0.23822862874358,0.211070784474014
7,1,7,0.24,1.5,0.5,1,-0.145529513888889,2.47590810190569,2.47190208829138,9.6533203125,-0.00348804592162048,1.60635821172307,1.9643026263432,13.8815727086514,13.18359375,0.263842325094725,0.984818001708429,0.00667231597940413,0.0085096823121665,9.80670247395833,9.80814453592582,0.168202592153227,0.6640625,-0.368309127322832,1.93168453616052,2.57841609846047,4.88617814921152,0.732421875,0.379816278998182,0.877811624739539,0.121476708253225,0.000711667007236528,1.87658365885417,1.89395433693684,0.255951870091489,1.40869140625,-0.46513276623038,3.07126756543003,3.42854768080592,45.6818729719595,27.34375,0.577376548146498,0.221618206085788,0.392530772342474,0.385851021571738,0.441975911458333,0.443039472564418,0.0306834997658247,0.166015625,-0.269766616014578,2.70590728544972,3.0025683955536,46.9516344186044,30.2734375,0.625506450724229,0.162683016169132,0.481992432832345,0.355324550998523,0.219448513454861,0.222031664274126,0.0337737081697766,0.2294921875,0.749583615307463,3.74652130277778,4.40660125350387,30.3226028558934,13.916015625,0.750598620844849,0.549958850114229,0.269698205282825,0.180342944602946,0.334112006293403,0.337735834479607,0.0493477689293042,0.361328125,0.675880432715155,3.46254951125468,4.76563097183147,37.9870137238401,27.099609375,0.732329516391457,0.396944895435176,0.345644801664281,0.257410302900543
8,1,8,0.29,1.5,0.5,1,-0.192394748263889,2.70625951059034,2.6997119205249,9.990234375,-0.0366004987335433,1.57981314287114,1.90774325387904,14.1121008412284,13.427734375,0.260315880986209,0.986296307058959,0.0048787182163446,0.00882497472469653,9.9951171875,9.9951171875,0,0,0.07255227383315,1.84118652634409,1.04312758084087,62.5,62.5,0.999999999999982,0.159844054580897,0.319688109161793,0.52046783625731,1.05302788628472,1.06125076193571,0.131868550867916,0.69580078125,-0.123144353084932,2.2848447384186,2.62007219557954,43.200499486752,27.099609375,0.498347300226274,0.0841917035278989,0.600578551003077,0.315229745469024,0.441995985243056,0.443158556569265,0.0320824565667389,0.169677734375,-0.199262074074823,2.40090058026895,2.70534981817041,44.516486374677,27.099609375,0.583245799808873,0.106779453018887,0.586844186690036,0.306376360291076,0.281088595920139,0.283882084328131,0.0397314717053404,0.2899169921875,0.332350101193294,3.33519986151854,4.45267631053123,39.3898815526768,26.85546875,0.797755611108771,0.367784326404815,0.347670999366991,0.284544674228195,0.2988330078125,0.301523892550743,0.0401976404597371,0.2618408203125,0.465386650852421,3.22802980189962,3.94926506224811,32.238248452953,26.85546875,0.738657545814361,0.374136519049473,0.44598929762083,0.179874183329698
9,1,9,0.28,1.5,0.5,1,-0.136595052083333,2.83800669163871,2.83503260380079,9.99755859375,0.0263180304406239,1.588667569003,1.81758001198357,14.0779301798177,13.427734375,0.258356264127189,0.988706436433923,0.00447327712968418,0.00682028643639273,9.9951171875,9.9951171875,0,0,0.07255227383315,1.84118652634409,1.04312758084087,62.5,62.5,0.999999999999982,0.159844054580897,0.319688109161793,0.52046783625731,1.70299967447917,1.71482820187614,0.201089175844316,1.17919921875,-0.451610019112683,2.97360216986969,3.15652470507615,46.259575311,27.099609375,0.577531119727511,0.236677167947749,0.364708095225337,0.398614736826915,0.43962890625,0.440496788730768,0.0276408294513661,0.177001953125,-0.0404672672034562,2.64030976777055,3.65252500760642,43.36708637093,27.099609375,0.661767666698985,0.294469625178234,0.376149158182602,0.329381216639163,0.292715386284722,0.295370241100995,0.039517451700612,0.2679443359375,0.532463407075411,3.41855407624747,4.0138312941206,41.6864903372847,27.099609375,0.816551994654633,0.31926215660094,0.360665178431855,0.320072664967206,0.38656494140625,0.39048529797095,0.0551995572100065,0.3997802734375,0.54738845277308,3.16845316750491,4.57513759074458,45.0067160513949,27.099609375,0.753089380157508,0.271464275959771,0.355109197347873,0.373426526692356
10,1,10,0.29,1.5,0.5,1,-0.143949652777778,3.0267724262783,3.02368343589469,10.712890625,-0.011106915318924,1.56244581863659,1.79717066006573,14.1918135104707,13.671875,0.257532770073508,0.990658024759679,0.00348861675857919,0.00585335848174116,9.9951171875,9.9951171875,0,0,0.07255227383315,1.84118652634409,1.04312758084087,62.5,62.5,0.999999999999982,0.159844054580897,0.319688109161793,0.52046783625731,0.9511767578125,0.957552047506786,0.110324085485207,0.68603515625,-0.244098967928519,2.97227605870931,3.18332041790023,44.7268614574818,26.85546875,0.578884743376151,0.291923051484541,0.312495936779755,0.395581011735703,0.406545952690972,0.407330849251428,0.0252774819080301,0.167236328125,-0.143599206827191,2.64813082475596,3.69395066808938,45.3993483443171,27.099609375,0.684658076101982,0.277312325306409,0.344270916805089,0.378416757888502,0.321966824001736,0.324635541753583,0.0415449487134448,0.3033447265625,0.550285436960678,3.50701141309685,4.53159393186692,45.1890383639567,33.203125,0.846174600000563,0.327223821150826,0.287809349323234,0.38496682952594,0.345486789279514,0.34834627818641,0.0445471542111467,0.2996826171875,0.567760722550697,3.45017208332034,4.89005518688636,41.2867024922867,26.85546875,0.811781099001788,0.376369626637647,0.259570320819757,0.364060052542596
11,1,11,0.38,1.5,0.5,1,-0.140822482638889,2.95209758811637,2.94906457385756,10.8154296875,-0.00543171874294645,1.56726979001157,1.85728830571266,14.1610520763987,13.671875,0.257470618127447,0.989694759351355,0.00398936232914763,0.00631587831949703,9.9951171875,9.9951171875,0,0,0.07255227383315,1.84118652634409,1.04312758084087,62.5,62.5,0.999999999999982,0.159844054580897,0.319688109161793,0.52046783625731,0.859790581597222,0.865060190655892,0.0953483589021234,0.634765625,-0.112158350574768,3.12095802698802,3.84908303873094,46.9519289941453,39.794921875,0.582770931695916,0.277950591825816,0.286995473270055,0.435053934904129,0.382866753472222,0.383596239947292,0.0236484389510566,0.15625,0.227423302486175,2.75072483525542,4.20113252656096,46.4478399589593,27.099609375,0.642135506190061,0.191676434490569,0.425213205207877,0.383110360301554,0.313704291449653,0.316633625120993,0.0429753475986204,0.3326416015625,0.438474750753224,3.28207567279222,4.86528248527005,45.2782216206728,36.1328125,0.794841451279787,0.291130438327198,0.342067463153576,0.366802098519227,0.428882649739583,0.43216456647481,0.0531649638653104,0.3826904296875,0.552718831893466,3.28115023846994,4.70777493075444,35.5386969456721,26.85546875,0.828321772081263,0.371083090653416,0.386319508690713,0.242597400655871
12,1,12,0.4,1.5,0.5,1,-0.139462890625,3.2195591285085,3.21689457877158,10.8154296875,-0.00632490957173528,1.53359946324697,1.69058126378343,14.1391202891694,13.916015625,0.255265646475037,0.995088919814565,0.00180676904945002,0.00310431113598464,9.9951171875,9.9951171875,0,0,0.07255227383315,1.84118652634409,1.04312758084087,62.5,62.5,0.999999999999982,0.159844054580897,0.319688109161793,0.52046783625731,1.39996039496528,1.41077920028728,0.17440069814906,1.03759765625,-0.0563846893338684,2.86592312511626,3.20006009199013,43.9530602387799,38.0859375,0.658334186722051,0.370445222814332,0.207750984574852,0.421803792610816,0.481435818142361,0.482704871361043,0.0349831074204139,0.21240234375,0.321439088074135,2.68501490641711,3.64856773038483,44.9339492163432,33.203125,0.742904067187898,0.34179818218277,0.275330504355644,0.382871313461586,0.316429714626736,0.321115080528936,0.0546607226324576,0.4962158203125,0.404621920621613,4.11076922535989,5.36470642106786,35.5521882348828,25.634765625,0.843456768236748,0.457839499466723,0.251000820592501,0.291159679940776,0.391064724392361,0.394085486018367,0.0487060447924642,0.3045654296875,0.541832509078882,3.22582358001598,4.11257638298355,41.6793618766274,29.78515625,0.850068755308848,0.384899560679637,0.239169848473171,0.375930590847192
13,1,13,0.43,1.5,0.5,1,-0.149264322916667,3.21381808039646,3.21070671724285,11.1572265625,-0.00563920517966718,1.54848550160236,1.74892276221865,14.246542006285,13.916015625,0.254728854053891,0.992453242592999,0.00322332853846794,0.00432342886853376,9.9951171875,9.9951171875,0,0,0.07255227383315,1.84118652634409,1.04312758084087,62.5,62.5,0.999999999999982,0.159844054580897,0.319688109161793,0.52046783625731,1.07095486111111,1.07714401433272,0.115316382865171,0.75927734375,-0.0940523262004589,3.03224032012601,3.36310740414728,44.8024978794879,39.55078125,0.6104364437678,0.402625588913289,0.184670467542702,0.412703943544009,0.393269314236111,0.393817666713327,0.0207773200500273,0.133056640625,0.0243697173257677,2.69193713663709,3.49857719629577,55.0038356870775,69.091796875,0.703375267501957,0.251067951252017,0.225437666813902,0.523494381934081,0.3325244140625,0.335867744419015,0.0472773994003703,0.32958984375,0.547701522399464,3.34628175281858,4.18208292933693,44.3746658431717,36.376953125,0.841080529502992,0.370342009000077,0.231671337347173,0.397986653652751,0.391850043402778,0.395226944983027,0.0515603752651162,0.39306640625,0.485073965950839,3.45819690052126,4.96667930010392,43.0550422860928,33.935546875,0.827813320909327,0.375501682874897,0.239247224714947,0.385251092410156
