InjectedRatio,Model,MeanActualSaturationRatio,MeanMAE,StdMAE,MeanRMSE,StdRMSE,MeanR2,StdR2,MAEIncreaseFromClean
0,AllSensorsTime,0,0.0951403377520283,1.46284727857363e-17,0.141042935191912,2.92569455714725e-17,0.539220490967857,0,0
0,QualityAwareTime,0,0.109701280949671,1.46284727857363e-17,0.15201262207762,0,0.464758494576699,0,0
0,QualityGatedTime,0,0.0951403377520283,1.46284727857363e-17,0.141042935191912,2.92569455714725e-17,0.539220490967857,0,0
0.1,AllSensorsTime,0.1,0.0956532492127026,0.000338627518624064,0.142092400650979,0.000403348841338607,0.532334496661685,0.00265301852766496,0.000512911460674267
0.1,QualityAwareTime,0.1,0.109701280949671,1.46284727857363e-17,0.15201262207762,0,0.464758494576699,0,0
0.1,QualityGatedTime,0.1,0.109701280949671,1.46284727857363e-17,0.15201262207762,0,0.464758494576699,0,0.0145609431976423
0.3,AllSensorsTime,0.3,0.103377940981341,0.000769160674530651,0.147214419905617,0.000604654695688239,0.498006861758234,0.00412728982240118,0.00823760322931295
0.3,QualityAwareTime,0.3,0.109701280949671,1.46284727857363e-17,0.15201262207762,0,0.464758494576699,0,0
0.3,QualityGatedTime,0.3,0.109701280949671,1.46284727857363e-17,0.15201262207762,0,0.464758494576699,0,0.0145609431976423
0.5,AllSensorsTime,0.5,0.112754227831436,0.00139017083427317,0.153196174417123,0.000918851564889911,0.456373793395228,0.00650788973355435,0.0176138900794078
0.5,QualityAwareTime,0.5,0.109701280949671,1.46284727857363e-17,0.15201262207762,0,0.464758494576699,0,0
0.5,QualityGatedTime,0.5,0.109701280949671,1.46284727857363e-17,0.15201262207762,0,0.464758494576699,0,0.0145609431976423
0.7,AllSensorsTime,0.7,0.121251148785991,0.000616830905636335,0.158832903730396,0.000778631640442483,0.415639533324561,0.00572476152292739,0.0261108110339625
0.7,QualityAwareTime,0.7,0.109701280949671,1.46284727857363e-17,0.15201262207762,0,0.464758494576699,0,0
0.7,QualityGatedTime,0.7,0.109701280949671,1.46284727857363e-17,0.15201262207762,0,0.464758494576699,0,0.0145609431976423
1,AllSensorsTime,1,0.106536604949945,0,0.141811214829307,2.92569455714725e-17,0.534186964451202,0,0.0113962671979164
1,QualityAwareTime,1,0.109701280949671,1.46284727857363e-17,0.15201262207762,0,0.464758494576699,0,0
1,QualityGatedTime,1,0.109701280949671,1.46284727857363e-17,0.15201262207762,0,0.464758494576699,0,0.0145609431976423
