CaseID,SampleCount,Model,MAE
1,13,Baseline_TimeGated,0.0344647875260153
2,13,Baseline_TimeGated,0.0564359419412118
3,14,Baseline_TimeGated,0.0575266978515599
4,7,Baseline_TimeGated,0.0652286560297278
5,6,Baseline_TimeGated,0.235995449905217
6,1,Baseline_TimeGated,0.124119761958048
7,7,Baseline_TimeGated,0.11330327288481
8,5,Baseline_TimeGated,0.117950424326772
9,9,Baseline_TimeGated,0.122229592969719
10,10,Baseline_TimeGated,0.0881261777837515
11,20,Baseline_TimeGated,0.0633645228231384
12,12,Baseline_TimeGated,0.0409290198701553
13,13,Baseline_TimeGated,0.333070874900593
14,7,Baseline_TimeGated,0.163472926593949
15,6,Baseline_TimeGated,0.140717334962439
16,3,Baseline_TimeGated,0.151956563121942
1,13,Remove_smcAC,0.0491029718177107
2,13,Remove_smcAC,0.156971949892123
3,14,Remove_smcAC,0.0724791286892662
4,7,Remove_smcAC,0.0524649206710777
5,6,Remove_smcAC,0.210781485694568
6,1,Remove_smcAC,0.12323548054731
7,7,Remove_smcAC,0.127969053754342
8,5,Remove_smcAC,0.128986257762426
9,9,Remove_smcAC,0.093305179207524
10,10,Remove_smcAC,0.0677173387804191
11,20,Remove_smcAC,0.0624640645541878
12,12,Remove_smcAC,0.0631698577432256
13,13,Remove_smcAC,0.36523777363244
14,7,Remove_smcAC,0.204141682215636
15,6,Remove_smcAC,0.142917476605273
16,3,Remove_smcAC,0.131389191214385
1,13,Remove_smcDC,0.0341717397151992
2,13,Remove_smcDC,0.136419022879018
3,14,Remove_smcDC,0.0606966611673468
4,7,Remove_smcDC,0.119801825627117
5,6,Remove_smcDC,0.238870381687916
6,1,Remove_smcDC,0.12389547124744
7,7,Remove_smcDC,0.126057250849639
8,5,Remove_smcDC,0.118810818796059
9,9,Remove_smcDC,0.117497110807996
10,10,Remove_smcDC,0.0813966848239617
11,20,Remove_smcDC,0.0686579165719648
12,12,Remove_smcDC,0.0492674104195671
13,13,Remove_smcDC,0.324232880537921
14,7,Remove_smcDC,0.159444092282064
15,6,Remove_smcDC,0.13594837816722
16,3,Remove_smcDC,0.151956563121942
1,13,Remove_vib_table,0.042904174460836
2,13,Remove_vib_table,0.0596289979958144
3,14,Remove_vib_table,0.0537845944341556
4,7,Remove_vib_table,0.0644592633350212
5,6,Remove_vib_table,0.183402656903835
6,1,Remove_vib_table,0.140990191196958
7,7,Remove_vib_table,0.106526231577827
8,5,Remove_vib_table,0.115059380845947
9,9,Remove_vib_table,0.112765722725718
10,10,Remove_vib_table,0.0891168646668584
11,20,Remove_vib_table,0.061800332946654
12,12,Remove_vib_table,0.0342854713963098
13,13,Remove_vib_table,0.32751075993767
14,7,Remove_vib_table,0.131315364040163
15,6,Remove_vib_table,0.154008660900156
16,3,Remove_vib_table,0.180330043872011
1,13,Remove_vib_spindle,0.0973297194688851
2,13,Remove_vib_spindle,0.0565079548902929
3,14,Remove_vib_spindle,0.0465548575442725
4,7,Remove_vib_spindle,0.110234910165465
5,6,Remove_vib_spindle,0.223550638168596
6,1,Remove_vib_spindle,0.124206496145957
7,7,Remove_vib_spindle,0.12279115472247
8,5,Remove_vib_spindle,0.126025120926076
9,9,Remove_vib_spindle,0.102648888600015
10,10,Remove_vib_spindle,0.0873426214899366
11,20,Remove_vib_spindle,0.0626219594481841
12,12,Remove_vib_spindle,0.0583288598883296
13,13,Remove_vib_spindle,0.33884529826116
14,7,Remove_vib_spindle,0.142939890296227
15,6,Remove_vib_spindle,0.122453143986169
16,3,Remove_vib_spindle,0.16738818579196
1,13,Remove_AE_table,0.0393705118131077
2,13,Remove_AE_table,0.0648151801749773
3,14,Remove_AE_table,0.0576584526817829
4,7,Remove_AE_table,0.0646472059288181
5,6,Remove_AE_table,0.230742058594149
6,1,Remove_AE_table,0.163279331536108
7,7,Remove_AE_table,0.117273421923377
8,5,Remove_AE_table,0.104683147058933
9,9,Remove_AE_table,0.119819216032672
10,10,Remove_AE_table,0.0861226056269844
11,20,Remove_AE_table,0.0660834235261761
12,12,Remove_AE_table,0.0243816767340442
13,13,Remove_AE_table,0.321426829989989
14,7,Remove_AE_table,0.133298702172241
15,6,Remove_AE_table,0.119110527306145
16,3,Remove_AE_table,0.129666255248312
1,13,Remove_AE_spindle,0.0651492722973231
2,13,Remove_AE_spindle,0.0689447430455692
3,14,Remove_AE_spindle,0.0545328962722992
4,7,Remove_AE_spindle,0.0565138101229875
5,6,Remove_AE_spindle,0.277267329675919
6,1,Remove_AE_spindle,0.176425673219267
7,7,Remove_AE_spindle,0.0946214956636664
8,5,Remove_AE_spindle,0.123677706751894
9,9,Remove_AE_spindle,0.116876225101851
10,10,Remove_AE_spindle,0.120077482152663
11,20,Remove_AE_spindle,0.0796867406640772
12,12,Remove_AE_spindle,0.0293613383059615
13,13,Remove_AE_spindle,0.334555708700524
14,7,Remove_AE_spindle,0.149012339168458
15,6,Remove_AE_spindle,0.168906544992348
16,3,Remove_AE_spindle,0.174822846492656
