OriginalIndex,CaseID,RunID,VB,Sensor,SignalMean,SignalStd,SignalMAD,ModeValue,ModeRatio,UpperRailRatio,LowerRailRatio,RailRatio
8,1,8,0.29,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
9,1,9,0.28,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
10,1,10,0.29,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
11,1,11,0.38,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
12,1,12,0.4,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
13,1,13,0.43,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
14,1,14,0.45,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
15,1,15,0.5,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
17,1,17,0.44,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
57,9,5,0.27,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
58,9,6,0.38,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
59,9,7,0.47,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
60,9,8,0.64,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
61,9,9,0.81,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
113,5,4,0.44,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
114,5,5,0.53,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
115,5,6,0.74,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
152,14,8,0.6,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
153,14,9,0.81,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
154,14,10,1.14,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
164,16,3,0.24,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
166,16,5,0.4,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
167,16,6,0.62,smcDC,9.9951171875,0,0,9.9951171875,1,1,0,1
109,12,15,0.65,smcDC,9.99389973958333,0.0113283192315124,0,9.9951171875,0.981555555555556,0.981555555555556,0,0.981555555555556
161,15,7,0.7,smcDC,9.96975802951389,0.114653635675949,0,9.9951171875,0.943111111111111,0.943111111111111,0,0.943111111111111
145,13,15,1.53,smcDC,9.95706705729167,0.132871688071975,0,9.9951171875,0.885111111111111,0.885111111111111,0,0.885111111111111
144,13,14,1.3,smcDC,9.85832899305556,0.349617496923052,0,9.9951171875,0.821333333333333,0.821333333333333,0,0.821333333333333
70,10,9,0.53,smcDC,9.86650065104167,0.327937476754238,0,9.9951171875,0.818444444444444,0.818444444444444,0,0.818444444444444
69,10,8,0.47,smcDC,9.82761610243056,0.39702966240117,0,9.9951171875,0.79,0.79,0,0.79
71,10,10,0.7,smcDC,9.12566080729167,1.5126737291366,0,9.9951171875,0.635333333333333,0.635333333333333,0,0.635333333333333
111,5,2,0.16,smcDC,9.66123697916667,0.415984400715389,0.0390625,9.9951171875,0.485777777777778,0.485777777777778,0,0.485777777777778
30,2,13,0.48,smcDC,9.85218424479167,0.175724057457754,0.0244140625,9.9951171875,0.468444444444444,0.468444444444444,0,0.468444444444444
31,2,14,0.55,smcDC,9.68830946180556,0.544152886239365,0.048828125,9.9951171875,0.456666666666667,0.456666666666667,0,0.456666666666667
112,5,3,0.29,smcDC,9.48469184027778,0.535716879791157,0.3515625,9.9951171875,0.389333333333333,0.389333333333333,0,0.389333333333333
7,1,7,0.24,smcDC,9.80670247395833,0.168202592153227,0.1611328125,9.9951171875,0.256666666666667,0.256666666666667,0,0.256666666666667
108,12,14,0.58,smcDC,9.79898980034722,0.177096963096591,0.1611328125,9.9951171875,0.245555555555556,0.245555555555556,0,0.245555555555556
