CaseID,SampleCount,RidgeGatedMAE,SVRAllMAE,SVRQualityMAE,SVRGatedMAE
1,13,0.0495370578963579,0.0721465730513771,0.0577299007948854,0.0533681600225941
2,13,0.0522134995109818,0.116719419684602,0.120485380927614,0.10727240266295
3,14,0.0519143232890665,0.104742003711472,0.0953768123166541,0.104742003711472
4,7,0.055466690286611,0.081501853649565,0.106063836801771,0.081501853649565
5,6,0.242353634653271,0.207960014290132,0.19914708465815,0.201374773551344
6,1,0.12726503831449,0.0957920760282863,0.0847294239226317,0.0957920760282863
7,7,0.122398238649496,0.121099403009728,0.179062142376959,0.121099403009728
8,5,0.117065054384692,0.126642078458177,0.104305681067529,0.126642078458177
9,9,0.129004756803747,0.120099234856364,0.111234121815016,0.114820323513824
10,10,0.0956727533018609,0.0968735128812505,0.104489431703313,0.0993058157033437
11,20,0.085680786472514,0.0826815855212594,0.0764283255536868,0.0826815855212594
12,12,0.049446285823181,0.0567148898106948,0.0668282892113273,0.0358920399686394
13,13,0.339389583137401,0.358449237773221,0.356823716719918,0.3608173511773
14,7,0.160172371140668,0.162484139832675,0.134829746592472,0.147646559464963
15,6,0.159651543646056,0.276213550175833,0.258452125268681,0.256451995572081
16,3,0.155556033435387,0.139937135451342,0.125905014461163,0.125905014461163
