TestCase,TimeOnlyLambda,RidgeAllLambda,RidgeQualityLambda,RidgeGateThreshold,TimeAllLambda,TimeQualityLambda,TimeGateThreshold,RidgeValidationMAE_Gate001,TimeValidationMAE_Gate001,RidgeValidationMAE_Gate010,TimeValidationMAE_Gate010,RidgeValidationMAE_Gate050,TimeValidationMAE_Gate050
1,10,1000,316.227766016838,0.1,316.227766016838,316.227766016838,0.01,0.13588637586683,0.125194495751194,0.135858980578926,0.125247805550904,0.136566979454395,0.125771936674399
2,3.16227766016838,1000,1,0.1,316.227766016838,3.16227766016838,0.1,0.134234896462568,0.121997530351903,0.133555458116977,0.120672642424789,0.135791348751373,0.122291897001516
3,3.16227766016838,316.227766016838,100,0.01,316.227766016838,316.227766016838,0.01,0.123290585959622,0.116180489328,0.123576574038397,0.116295114994379,0.124156299574523,0.11710307361864
4,10,316.227766016838,31.6227766016838,0.01,316.227766016838,100,0.01,0.117732400872889,0.111088272710872,0.117950113406611,0.111233022119347,0.118620473065094,0.111645615602815
5,10,316.227766016838,100,0.01,316.227766016838,100,0.01,0.113015328868968,0.108119361188732,0.113695341198366,0.108708034406137,0.11338154667285,0.108488163203376
6,10,316.227766016838,316.227766016838,0.01,316.227766016838,316.227766016838,0.01,0.115776468804336,0.110384717477567,0.115891093384308,0.110481052753518,0.116582928170985,0.111204441732162
7,3.16227766016838,316.227766016838,316.227766016838,0.01,316.227766016838,316.227766016838,0.01,0.115963839304757,0.110776233548132,0.116086421970148,0.110880025648775,0.116617193909343,0.11145774602182
8,10,316.227766016838,316.227766016838,0.01,316.227766016838,316.227766016838,0.01,0.115281884758543,0.109532202334993,0.115404821084258,0.10963799063903,0.116096465295369,0.11035569089676
9,10,316.227766016838,316.227766016838,0.1,316.227766016838,316.227766016838,0.1,0.120888556240429,0.115970285336026,0.120779013219599,0.115869997450572,0.121699079752888,0.116721269089341
10,10,316.227766016838,316.227766016838,0.01,316.227766016838,316.227766016838,0.1,0.119041774638773,0.114644145646575,0.119180307619837,0.114636341892382,0.120274965782467,0.115602643247572
11,1,316.227766016838,316.227766016838,0.01,316.227766016838,316.227766016838,0.01,0.12043661269728,0.118470275531786,0.120513517362091,0.118533049824625,0.121082138499266,0.119338887225198
12,10,316.227766016838,316.227766016838,0.1,316.227766016838,316.227766016838,0.1,0.122085817866708,0.116756767568382,0.122027727557786,0.116557049000331,0.122727203057879,0.117584963493443
13,10,100,31.6227766016838,0.01,100,31.6227766016838,0.01,0.0831765279847062,0.0769960558873856,0.0835285986886194,0.0773993618344578,0.0840927505338867,0.07819990801026
14,3.16227766016838,316.227766016838,316.227766016838,0.01,316.227766016838,316.227766016838,0.01,0.11324253119121,0.107670987175384,0.113489571765472,0.107898720696051,0.114505318749007,0.108770650059449
15,10,316.227766016838,316.227766016838,0.01,316.227766016838,316.227766016838,0.01,0.114757867707044,0.110346962495231,0.115231284195404,0.110761406336797,0.116094072530938,0.111567002982777
16,10,316.227766016838,316.227766016838,0.01,316.227766016838,316.227766016838,0.01,0.117324356728029,0.112218206941843,0.117594215061498,0.112358225838933,0.118181167285157,0.112954217976298
