Dataset,Experiment,RunLevelN,CleanMAE,FullMeanCorruptMAE,AutoMeanCorruptMAE,OracleMeanCorruptMAE,FullRelativeMAE,AutoRelativeMAE,OracleRelativeMAE
NUAA,W1,29,0.0189662457220917,0.0389387278694825,0.0218307505353227,0.017804510141515,2.05305406457574,1.15103172526625,0.938747203974926
NUAA,W2,17,0.0148476120149696,0.0310791051068198,0.0175823698967099,0.0170708137146466,2.0932056330328,1.18418839871241,1.14973463055443
NUAA,W3,11,0.0295033416448534,0.0361439483146084,0.0293363657412855,0.0289101768780235,1.2250798146763,0.99434044097181,0.979894997184721
NUAA,W4,28,0.0499947737234601,0.0619077037817315,0.0471547067942009,0.0492552500877394,1.23828350787557,0.943192723604097,0.985207981141963
NUAA,W5,7,0.0243134056071281,0.0398296203213083,0.0358691089747958,0.034561772568207,1.63817529164369,1.47528114960086,1.42151096093565
NUAA,W6,14,0.0360025923619169,0.0429120567493554,0.035315799313573,0.0339946212140413,1.19191574645461,0.980923789002751,0.94422703988395
NUAA,W7,8,0.0769839701819179,0.0801327338021864,0.076398413490511,0.0759281656628989,1.04090154889164,0.992393784186199,0.986285397901354
NUAA,W8,31,0.0589604040915583,0.0771236310375989,0.0616024659637592,0.0613212567402409,1.30805804719105,1.04481078298069,1.04004132408958
NUAA,W9,7,0.052176046086479,0.0523259527537824,0.0559973793101978,0.0609478063020981,1.00287309366169,1.07323922585826,1.1681185308883
PHM2010,c1,315,0.00801215564201792,0.0100601746503627,0.00904172024695119,0.00910785689079504,1.25561398203554,1.12850032512274,1.13675486320198
PHM2010,c4,315,0.0150087833008585,0.0159079143228891,0.0157018710141404,0.0155812589545417,1.05990698939461,1.04617880739488,1.03814270898631
PHM2010,c6,315,0.0145958561471217,0.0202433121058841,0.0149007270114747,0.0122900163597495,1.38692187027864,1.02088749445596,0.842020929493271
