Dataset,FaultSensor,FaultType,SeverityLevel,SeverityValue,SeverityUnit,AnyAlarmRate,CorrectSensorDetectionRate,WrongSensorAlarmRate,CleanFalseAlarmRate,CorrectDetections,RunLevelN
NUAA,force_z,Saturation,1,0.1,fraction,0.342105263157895,0.322368421052632,0.0197368421052632,0.0394736842105263,49,152
NUAA,force_z,Saturation,2,0.3,fraction,1,1,0,0.0394736842105263,152,152
NUAA,force_z,Saturation,3,0.5,fraction,1,1,0,0.0394736842105263,152,152
NUAA,force_z,Saturation,4,0.7,fraction,1,1,0,0.0394736842105263,152,152
NUAA,force_z,Dropout,1,0.1,fraction,0.381578947368421,0.361842105263158,0.0197368421052632,0.0394736842105263,55,152
NUAA,force_z,Dropout,2,0.3,fraction,0.953947368421053,0.940789473684211,0.0131578947368421,0.0394736842105263,143,152
NUAA,force_z,Dropout,3,0.5,fraction,1,1,0,0.0394736842105263,152,152
NUAA,force_z,Dropout,4,0.7,fraction,1,1,0,0.0394736842105263,152,152
NUAA,force_z,Bias,1,0.5,signal_sd,0.0394736842105263,0.0131578947368421,0.0263157894736842,0.0394736842105263,2,152
NUAA,force_z,Bias,2,1,signal_sd,0.0394736842105263,0.0131578947368421,0.0263157894736842,0.0394736842105263,2,152
NUAA,force_z,Bias,3,2,signal_sd,0.0394736842105263,0.0131578947368421,0.0263157894736842,0.0394736842105263,2,152
NUAA,force_z,Bias,4,3,signal_sd,0.0394736842105263,0.0131578947368421,0.0263157894736842,0.0394736842105263,2,152
NUAA,force_z,Noise,1,0.25,signal_sd,0.0328947368421053,0.00657894736842105,0.0263157894736842,0.0394736842105263,1,152
NUAA,force_z,Noise,2,0.5,signal_sd,0.236842105263158,0.217105263157895,0.0197368421052632,0.0394736842105263,33,152
NUAA,force_z,Noise,3,1,signal_sd,1,0.993421052631579,0.00657894736842105,0.0394736842105263,151,152
NUAA,force_z,Noise,4,2,signal_sd,1,1,0,0.0394736842105263,152,152
NUAA,vibration_x,Saturation,1,0.1,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_x,Saturation,2,0.3,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_x,Saturation,3,0.5,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_x,Saturation,4,0.7,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_x,Dropout,1,0.1,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_x,Dropout,2,0.3,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_x,Dropout,3,0.5,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_x,Dropout,4,0.7,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_x,Bias,1,0.5,signal_sd,0.0394736842105263,0.00657894736842105,0.0328947368421053,0.0394736842105263,1,152
NUAA,vibration_x,Bias,2,1,signal_sd,0.0592105263157895,0.0263157894736842,0.0328947368421053,0.0394736842105263,4,152
NUAA,vibration_x,Bias,3,2,signal_sd,0.184210526315789,0.151315789473684,0.0328947368421053,0.0394736842105263,23,152
NUAA,vibration_x,Bias,4,3,signal_sd,0.848684210526316,0.828947368421053,0.0197368421052632,0.0394736842105263,126,152
NUAA,vibration_x,Noise,1,0.25,signal_sd,0.0394736842105263,0.00657894736842105,0.0328947368421053,0.0394736842105263,1,152
NUAA,vibration_x,Noise,2,0.5,signal_sd,0.0394736842105263,0.00657894736842105,0.0328947368421053,0.0394736842105263,1,152
NUAA,vibration_x,Noise,3,1,signal_sd,0.0394736842105263,0.00657894736842105,0.0328947368421053,0.0394736842105263,1,152
NUAA,vibration_x,Noise,4,2,signal_sd,0.0592105263157895,0.0263157894736842,0.0328947368421053,0.0394736842105263,4,152
NUAA,vibration_y,Saturation,1,0.1,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_y,Saturation,2,0.3,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_y,Saturation,3,0.5,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_y,Saturation,4,0.7,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_y,Dropout,1,0.1,fraction,1,1,0,0.0394736842105263,152,152
NUAA,vibration_y,Dropout,2,0.3,fraction,1,1,0,0.0394736842105263,152,152
