Dataset,FaultSensor,FaultType,SeverityLevel,SeverityValue,SeverityUnit,Model,MAE,RMSE,R2,MacroMAE,NormalizedMAE,P95AbsoluteError,MaximumAbsoluteError
NUAA,force_z,Saturation,1,0.1,fraction,FullModel,0.0598175571126049,0.0718037589497568,0.00827873158655112,0.0560143384666349,1.51287488658621,0.127887586701349,0.163348005676011
NUAA,force_z,Saturation,1,0.1,fraction,AutoGate,0.0544024373185918,0.0670972729265206,0.134025696632815,0.0526295217832383,1.37591846209036,0.127794891632191,0.163348005676011
NUAA,force_z,Saturation,1,0.1,fraction,OracleGate,0.0433126859787434,0.0528006811869268,0.463741341400182,0.0448052017423016,1.09544217535469,0.0977516300779297,0.140430537152651
NUAA,force_z,Saturation,2,0.3,fraction,FullModel,0.0907290267932414,0.101247031226322,-0.97178637771187,0.0849973364781506,2.29467187804929,0.164980839321804,0.218520936223449
NUAA,force_z,Saturation,2,0.3,fraction,AutoGate,0.0433126859787434,0.0528006811869268,0.463741341400182,0.0448052017423016,1.09544217535469,0.0977516300779297,0.140430537152651
NUAA,force_z,Saturation,2,0.3,fraction,OracleGate,0.0433126859787434,0.0528006811869268,0.463741341400182,0.0448052017423016,1.09544217535469,0.0977516300779297,0.140430537152651
NUAA,force_z,Saturation,3,0.5,fraction,FullModel,0.0805041766777543,0.0915555539631768,-0.612369803272307,0.0762072091382993,2.03607022820744,0.15582068165319,0.217730691413021
NUAA,force_z,Saturation,3,0.5,fraction,AutoGate,0.0433126859787434,0.0528006811869268,0.463741341400182,0.0448052017423016,1.09544217535469,0.0977516300779297,0.140430537152651
NUAA,force_z,Saturation,3,0.5,fraction,OracleGate,0.0433126859787434,0.0528006811869268,0.463741341400182,0.0448052017423016,1.09544217535469,0.0977516300779297,0.140430537152651
NUAA,force_z,Saturation,4,0.7,fraction,FullModel,0.111107213302401,0.120235135743651,-1.78072513617865,0.101657643553378,2.81006648946481,0.176848803184239,0.23746822833934
NUAA,force_z,Saturation,4,0.7,fraction,AutoGate,0.0433126859787434,0.0528006811869268,0.463741341400182,0.0448052017423016,1.09544217535469,0.0977516300779297,0.140430537152651
NUAA,force_z,Saturation,4,0.7,fraction,OracleGate,0.0433126859787434,0.0528006811869268,0.463741341400182,0.0448052017423016,1.09544217535469,0.0977516300779297,0.140430537152651
NUAA,force_z,Dropout,1,0.1,fraction,FullModel,0.0408378547026165,0.0500649359877937,0.517871730449823,0.0412773122700622,1.03285001567919,0.0935822314169865,0.12941505186453
NUAA,force_z,Dropout,1,0.1,fraction,AutoGate,0.0417188843031454,0.0509703588208341,0.500275492670178,0.0428083061706309,1.05513256316722,0.0935822314169865,0.12941505186453
NUAA,force_z,Dropout,1,0.1,fraction,OracleGate,0.0433126859787434,0.0528006811869268,0.463741341400182,0.0448052017423016,1.09544217535469,0.0977516300779297,0.140430537152651
