CaseID,PositiveRecordN,NegativeRecordN,UncalibratedMissRate,CalibratedMissRate,UncalibratedFalsePositiveRate,CalibratedFalsePositiveRate,SelectedScoreThreshold
1,5,8,0,0,0.25,0.375,0.319594584391787
2,3,10,0,0,0.1,0.3,0.31520943081652
3,2,12,0,0,0.166666666666667,0.333333333333333,0.331359036536662
4,2,5,1,0.5,0,0,0.3431704397771
5,3,3,0,0,0.333333333333333,0.666666666666667,0.330841397509385
6,0,1,NaN,NaN,0,0,0.331641670974039
7,1,6,1,1,0.166666666666667,0.333333333333333,0.340269038608721
8,2,3,0.5,0.5,0,0,0.336577176463238
9,3,6,0,0,0.166666666666667,0.5,0.327054819279708
10,4,6,0,0,0.166666666666667,0.333333333333333,0.320616689346214
11,6,14,0.166666666666667,0,0,0.0714285714285714,0.320074534137391
12,5,7,0.6,0,0,0.142857142857143,0.315326841652101
13,8,5,0.5,0.375,0,0,0.345551837571416
14,3,4,0,0,0.25,0.25,0.303598153706853
15,3,3,0,0,1,1,0.327049581814883
16,2,1,0,0,1,1,0.32962504179807
