WearThreshold,AlertRule,TargetInnerSensitivity,MeanSelectedScoreThreshold,TP,TN,FP,FN,Sensitivity,Specificity,Precision,F1,BalancedAccuracy,MissRate,PositiveRecordN,NegativeRecordN
0.3,Uncalibrated,NaN,0.3,63,59,17,7,0.9,0.776315789473684,0.7875,0.84,0.838157894736842,0.1,70,76
0.3,Sensitivity calibrated,0.85,0.299967195690295,63,59,17,7,0.9,0.776315789473684,0.7875,0.84,0.838157894736842,0.1,70,76
0.3,Sensitivity calibrated,0.9,0.290280564144651,63,59,17,7,0.9,0.776315789473684,0.7875,0.84,0.838157894736842,0.1,70,76
0.3,Sensitivity calibrated,0.95,0.246547564675723,66,51,25,4,0.942857142857143,0.671052631578947,0.725274725274725,0.819875776397516,0.806954887218045,0.0571428571428571,70,76
0.4,Uncalibrated,NaN,0.4,40,80,14,12,0.769230769230769,0.851063829787234,0.740740740740741,0.754716981132075,0.810147299509002,0.230769230769231,52,94
0.4,Sensitivity calibrated,0.85,0.359691807211173,45,74,20,7,0.865384615384615,0.787234042553192,0.692307692307692,0.769230769230769,0.826309328968903,0.134615384615385,52,94
0.4,Sensitivity calibrated,0.9,0.327347517149005,46,68,26,6,0.884615384615385,0.723404255319149,0.638888888888889,0.741935483870968,0.804009819967267,0.115384615384615,52,94
0.4,Sensitivity calibrated,0.95,0.304835070850279,50,65,29,2,0.961538461538462,0.691489361702128,0.632911392405063,0.763358778625954,0.826513911620295,0.0384615384615385,52,94
0.6,Uncalibrated,NaN,0.6,6,122,4,14,0.3,0.968253968253968,0.6,0.4,0.634126984126984,0.7,20,126
0.6,Sensitivity calibrated,0.85,0.411285342529062,17,93,33,3,0.85,0.738095238095238,0.34,0.485714285714286,0.794047619047619,0.15,20,126
0.6,Sensitivity calibrated,0.9,0.372498232394591,17,83,43,3,0.85,0.658730158730159,0.283333333333333,0.425,0.754365079365079,0.15,20,126
0.6,Sensitivity calibrated,0.95,0.323849023548532,20,71,55,0,1,0.563492063492063,0.266666666666667,0.421052631578947,0.781746031746032,0,20,126
0.8,Uncalibrated,NaN,0.8,0,137,1,8,0,0.992753623188406,0,NaN,0.496376811594203,1,8,138
0.8,Sensitivity calibrated,0.85,0.399933069682412,5,89,49,3,0.625,0.644927536231884,0.0925925925925926,0.161290322580645,0.634963768115942,0.375,8,138
0.8,Sensitivity calibrated,0.9,0.324288524260573,5,70,68,3,0.625,0.507246376811594,0.0684931506849315,0.123456790123457,0.566123188405797,0.375,8,138
0.8,Sensitivity calibrated,0.95,0.324288524260573,5,70,68,3,0.625,0.507246376811594,0.0684931506849315,0.123456790123457,0.566123188405797,0.375,8,138
