OuterTestCase,WearThreshold,TargetInnerSensitivity,SelectedScoreThreshold,InnerPositiveRecordN,AchievedInnerSensitivity,AchievedInnerSpecificity
1,0.3,0.85,0.3,64,0.859375,0.782608695652174
1,0.3,0.9,0.278970556440234,64,0.90625,0.739130434782609
1,0.3,0.95,0.247394875694075,64,0.953125,0.666666666666667
1,0.4,0.85,0.368906628493862,47,0.851063829787234,0.813953488372093
1,0.4,0.9,0.319594584391787,47,0.914893617021277,0.732558139534884
1,0.4,0.95,0.305095796753372,47,0.957446808510638,0.709302325581395
1,0.6,0.85,0.41932551391123,20,0.85,0.769911504424779
1,0.6,0.9,0.39964288776877,20,0.9,0.725663716814159
1,0.6,0.95,0.336803451799054,20,0.95,0.601769911504425
1,0.8,0.85,0.39964288776877,8,0.875,0.664
1,0.8,0.9,0.312576229655581,8,1,0.512
1,0.8,0.95,0.312576229655581,8,1,0.512
2,0.3,0.85,0.3,65,0.876923076923077,0.823529411764706
2,0.3,0.9,0.274552186528064,65,0.907692307692308,0.735294117647059
2,0.3,0.95,0.250663653205256,65,0.953846153846154,0.676470588235294
2,0.4,0.85,0.350018018196231,49,0.857142857142857,0.821428571428571
2,0.4,0.9,0.31520943081652,49,0.918367346938776,0.761904761904762
2,0.4,0.95,0.288522421811395,49,0.959183673469388,0.678571428571429
2,0.6,0.85,0.426610551392976,20,0.85,0.79646017699115
2,0.6,0.9,0.401082146649926,20,0.9,0.734513274336283
2,0.6,0.95,0.350018018196231,20,0.95,0.663716814159292
2,0.8,0.85,0.401082146649926,8,0.875,0.672
2,0.8,0.9,0.31520943081652,8,1,0.544
2,0.8,0.95,0.31520943081652,8,1,0.544
3,0.3,0.85,0.3,66,0.893939393939394,0.757575757575758
3,0.3,0.9,0.284684571343606,66,0.909090909090909,0.727272727272727
3,0.3,0.95,0.243811424585765,66,0.954545454545455,0.651515151515151
3,0.4,0.85,0.359292518332105,50,0.86,0.804878048780488
3,0.4,0.9,0.331359036536662,50,0.9,0.731707317073171
3,0.4,0.95,0.310153150963952,50,0.96,0.682926829268293
3,0.6,0.85,0.419439956102341,20,0.85,0.741071428571429
3,0.6,0.9,0.401183596279904,20,0.9,0.6875
3,0.6,0.95,0.346996906197834,20,0.95,0.598214285714286
3,0.8,0.85,0.401183596279904,8,0.875,0.629032258064516
3,0.8,0.9,0.314440293144847,8,1,0.475806451612903
3,0.8,0.95,0.314440293144847,8,1,0.475806451612903
4,0.3,0.85,0.3,66,0.909090909090909,0.767123287671233
4,0.3,0.9,0.3,66,0.909090909090909,0.767123287671233
4,0.3,0.95,0.261546808830122,66,0.954545454545455,0.684931506849315
4,0.4,0.85,0.374369285806988,50,0.86,0.831460674157303
4,0.4,0.9,0.3431704397771,50,0.9,0.775280898876405
4,0.4,0.95,0.310540473017405,50,0.96,0.707865168539326
4,0.6,0.85,0.422619850627777,20,0.85,0.764705882352941
4,0.6,0.9,0.398346653683548,20,0.9,0.722689075630252
4,0.6,0.95,0.3431704397771,20,0.95,0.613445378151261
4,0.8,0.85,0.398346653683548,8,0.875,0.66412213740458
4,0.8,0.9,0.310540473017405,8,1,0.49618320610687
4,0.8,0.95,0.310540473017405,8,1,0.49618320610687
5,0.3,0.85,0.3,67,0.895522388059702,0.808219178082192
5,0.3,0.9,0.296780409938472,67,0.91044776119403,0.808219178082192
