Repeat,Seed,Dataset,Experiment,TargetPair,FaultType,RunLevelN,ExactSetDetectionRate,BothTargetDetectedRate,OnlyOneTargetDetectedRate,NeitherTargetDetectedRate,ExtraChannelTriggerRate
1,2026081501,NUAA,W1,force_z+vibration_x,Saturation,29,0.931034482758621,1,0,0,0.0689655172413793
1,2026081501,NUAA,W2,force_z+vibration_x,Saturation,17,1,1,0,0,0
1,2026081501,NUAA,W3,force_z+vibration_x,Saturation,11,1,1,0,0,0
1,2026081501,NUAA,W4,force_z+vibration_x,Saturation,28,0.892857142857143,0.928571428571429,0.0714285714285714,0,0.0357142857142857
1,2026081501,NUAA,W5,force_z+vibration_x,Saturation,7,1,1,0,0,0
1,2026081501,NUAA,W6,force_z+vibration_x,Saturation,14,1,1,0,0,0
1,2026081501,NUAA,W7,force_z+vibration_x,Saturation,8,1,1,0,0,0
1,2026081501,NUAA,W8,force_z+vibration_x,Saturation,31,0.903225806451613,0.903225806451613,0.0967741935483871,0,0
1,2026081501,NUAA,W9,force_z+vibration_x,Saturation,7,1,1,0,0,0
1,2026081501,NUAA,W1,force_z+vibration_x,Dropout,29,0.896551724137931,0.96551724137931,0.0344827586206897,0,0.0689655172413793
1,2026081501,NUAA,W2,force_z+vibration_x,Dropout,17,0.941176470588235,0.941176470588235,0.0588235294117647,0,0
1,2026081501,NUAA,W3,force_z+vibration_x,Dropout,11,1,1,0,0,0
1,2026081501,NUAA,W4,force_z+vibration_x,Dropout,28,0.964285714285714,1,0,0,0.0357142857142857
1,2026081501,NUAA,W5,force_z+vibration_x,Dropout,7,0.857142857142857,0.857142857142857,0.142857142857143,0,0
1,2026081501,NUAA,W6,force_z+vibration_x,Dropout,14,1,1,0,0,0
1,2026081501,NUAA,W7,force_z+vibration_x,Dropout,8,0.875,0.875,0.125,0,0
1,2026081501,NUAA,W8,force_z+vibration_x,Dropout,31,0.935483870967742,0.935483870967742,0.0645161290322581,0,0
1,2026081501,NUAA,W9,force_z+vibration_x,Dropout,7,0.571428571428571,0.571428571428571,0.428571428571429,0,0
1,2026081501,NUAA,W1,force_z+vibration_x,Bias,29,0.0344827586206897,0.0344827586206897,0.551724137931034,0.413793103448276,0.0689655172413793
1,2026081501,NUAA,W2,force_z+vibration_x,Bias,17,0.0588235294117647,0.0588235294117647,0.823529411764706,0.117647058823529,0
1,2026081501,NUAA,W3,force_z+vibration_x,Bias,11,0,0,0.454545454545455,0.545454545454545,0
1,2026081501,NUAA,W4,force_z+vibration_x,Bias,28,0.0357142857142857,0.0357142857142857,0.428571428571429,0.535714285714286,0.0357142857142857
1,2026081501,NUAA,W5,force_z+vibration_x,Bias,7,0.285714285714286,0.285714285714286,0.571428571428571,0.142857142857143,0
1,2026081501,NUAA,W6,force_z+vibration_x,Bias,14,0.0714285714285714,0.0714285714285714,0.5,0.428571428571429,0
1,2026081501,NUAA,W7,force_z+vibration_x,Bias,8,0,0,0.625,0.375,0
