Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianMAE,CleanSingleMaskTrainMAE,CleanMultiMaskTrainMAE,CleanSingleSQTR_MAE,CleanSubsetRoutingMAE,CleanAnyTriggerRate,FullRelativeMAE,MedianRelativeMAE,SingleMaskTrainRelativeMAE,MultiMaskTrainRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,SubsetImprovementPercent,SingleImprovementPercent,SingleMaskImprovementPercent,MultiMaskImprovementPercent
1,2026081501,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.0177798419110346,0.0201138592636131,0.01855793107983,0.01855793107983,0.0689655172413793,3.39992854219172,1.09894273466533,1.05877819984732,1.15540101853593,2.18212519698149,1.0426247508396,0.897245235256814,69.333921642733,35.8184982448246,68.8588102159115,66.0169028790495
1,2026081501,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0148363214522624,0.0139356538370896,0.0139356538370896,0.117647058823529,3.38911999554163,1.27386776419873,1.39136351326655,1.29054624798114,2.18585927227873,1.32433828507685,1.30145579841828,60.9238301736436,35.5036329444157,58.946171422172,61.9209042560061
1,2026081501,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0266176293360615,0.0295033416448534,0.0295033416448534,0,1.35093965871914,0.98405099808476,0.924565157272777,0.916546775743708,1.22350506698046,0.940481229264436,0.884640170041743,30.3831800928746,9.43303358637817,31.5613283461244,32.1548694030707
1,2026081501,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0521321782101146,0.0522364016436155,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.47013135887711,0.948868337156398,0.903297193005327,0.94091606150283,1.15493789529452,0.958161268471949,0.940176092670744,34.824785371302,21.4398163592218,38.556701919802,35.9978238800711
1,2026081501,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0422390021731151,0.0308928557556908,0.0308928557556908,0.142857142857143,2.52245802703064,1.2749602182443,1.252377260974,1.76213685864265,2.13566427835009,1.58316531643631,1.61660246794397,37.2371988167444,15.3340013802282,50.3509177336736,30.1420741292975
1,2026081501,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0351111199096593,0.033797960303312,0.0360025923619169,0.0360025923619169,0,1.40704777975477,1.06440370077948,1.05256998527912,1.03314796496535,1.31252679824476,1.03753736125917,0.984256071863097,26.2613980713573,6.71768101055364,25.1930175773727,26.5733559420836
1,2026081501,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0758485932239532,0.0769839701819179,0.0769839701819179,0,1.13665291477328,1.01004294328152,0.984409569822868,0.996064889972112,1.06853184512655,0.996510988460863,0.987694639914898,12.3293508942767,5.99312848815593,13.3940047108209,12.3685975704566
1,2026081501,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0600727855055994,0.0581625450719606,0.0589604040915583,0.0589604040915583,0,1.52825099442238,1.07887640810485,1.0432991337758,1.03568150518076,1.25381120803038,1.29770613111687,1.48740138951196,15.0855366132213,17.9577692011075,31.7324747319976,32.2309287570785
1,2026081501,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.0530167926313985,0.052176046086479,0.052176046086479,0,0.935692184666019,1.17026538731439,1.22125712641379,1.24507918495572,1.10095671354838,1.19910132532412,1.20304456592544,-28.151260101859,-17.6622752215618,-30.5191115654879,-33.0650405507165
1,2026081501,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.0103794962693196,0.010633107932084,0.00819049407155347,0.00816423872305722,0.053968253968254,1.34041763787599,1.02723482619545,1.15132280209816,1.29694857764398,1.16200739685618,1.22294093859029,1.26832012139733,8.76418632269366,13.310048747383,14.1071581300188,3.24294898871174
