DistortionFamily,DistortionMode,IndependentUnitN,TechnicalRepeatN,TargetPairN,RecordScenarioObservations,ExactSetDetectionRate,BothTargetDetectedRate,OnlyOneTargetDetectedRate,NeitherTargetDetectedRate,ExtraChannelTriggerRate
Abrupt,Overall,12,30,3,394920,0.44274536615010635,0.44780968297376683,0.2071432188797731,0.34504709814646006,0.010938924339106641
Abrupt,Saturation,12,30,3,98730,0.9863972450116479,0.9972956548161653,0.0027043451838347017,0.0,0.010938924339106641
Abrupt,Dropout,12,30,3,98730,0.7214929605996151,0.7303555150410209,0.24183125696343563,0.02781322799554341,0.010938924339106641
Abrupt,Bias,12,30,3,98730,0.060943988655930335,0.06143016307100173,0.38640737364529526,0.552162463283703,0.010938924339106641
Abrupt,Noise,12,30,3,98730,0.00214727033323203,0.0021573989668793505,0.1976298997265269,0.8002127013065937,0.010938924339106641
Structured gradual/weak,Overall,12,30,3,394920,0.13914463688848372,0.14094246936088323,0.21045274992403526,0.6486047807150815,0.010938924339106641
Structured gradual/weak,SoftClipping,12,30,3,98730,0.0023802289071204077,0.0023802289071204077,0.1598804821229616,0.837739288969918,0.010938924339106641
Structured gradual/weak,IntermittentDropout,12,30,3,98730,0.541274182112833,0.5482933252304264,0.3644586245315507,0.08724805023802291,0.010938924339106641
Structured gradual/weak,GradualDrift,12,30,3,98730,0.011961916337486046,0.012134103109490502,0.2092676997872987,0.7785981971032108,0.010938924339106641
Structured gradual/weak,HeteroscedasticNoise,12,30,3,98730,0.0009622201964954774,0.0009622201964954774,0.10820419325432998,0.8908335865491745,0.010938924339106641
