DistortionFamily,DistortionMode,IndependentUnitN,TechnicalRepeatN,TargetPairN,ExactSetDetectionRate,BothTargetDetectedRate,OnlyOneTargetDetectedRate,NeitherTargetDetectedRate,ExtraChannelTriggerRate
Abrupt,Overall,12,30,3,0.4933759498405072,0.49958789800845027,0.24181613471521649,0.2585959672763331,0.01278950277428978
Abrupt,Saturation,12,30,3,0.9750430214023341,0.9876044636037357,0.01239553639626433,0.0,0.01278950277428978
Abrupt,Dropout,12,30,3,0.8763383041922513,0.8879632790012469,0.10396499848258611,0.00807172251616696,0.01278950277428978
Abrupt,Bias,12,30,3,0.11469849630576057,0.11535693251975233,0.4825865904617122,0.40205647701853553,0.01278950277428978
Abrupt,Noise,12,30,3,0.007423977461682755,0.007426916909066647,0.3683174135203033,0.6242556695706302,0.01278950277428978
Structured gradual/weak,Overall,12,30,3,0.2086892442735775,0.21123980850735957,0.29387117781541255,0.494889013677228,0.01278950277428978
Structured gradual/weak,SoftClipping,12,30,3,0.008623249001601491,0.008623249001601491,0.41073230148760237,0.5806444495107962,0.01278950277428978
Structured gradual/weak,IntermittentDropout,12,30,3,0.7916000654040287,0.801235008994066,0.1734445912410899,0.02532039976484421,0.01278950277428978
Structured gradual/weak,GradualDrift,12,30,3,0.03137651881793431,0.03194383216302544,0.3497125945957209,0.6183435732412537,0.01278950277428978
Structured gradual/weak,HeteroscedasticNoise,12,30,3,0.0031571438707454027,0.0031571438707454027,0.24159522393723706,0.7552476321920176,0.01278950277428978
