DistortionFamily,Dataset,DistortionMode,IndependentUnitN,TechnicalRepeatN,TargetPairN,ExactSetDetectionRate,BothTargetDetectedRate,OnlyOneTargetDetectedRate,NeitherTargetDetectedRate,ExtraChannelTriggerRate
Abrupt,NUAA,Overall,9,30,3,0.5139094577140527,0.5205763390259643,0.2559076975509177,0.22351596342311789,0.013525333505049518
Abrupt,PHM2010,Overall,3,30,3,0.4317754262198706,0.4366225749559082,0.19954144620811287,0.36383597883597885,0.010582010582010568
Abrupt,NUAA,Saturation,9,30,3,0.9702513653971158,0.9834726181383142,0.016527381861685772,0.0,0.013525333505049518
Abrupt,PHM2010,Saturation,3,30,3,0.9894179894179894,1.0,0.0,0.0,0.010582010582010568
Abrupt,NUAA,Dropout,9,30,3,0.9397738235790865,0.9525146287134008,0.047485371286599236,0.0,0.013525333505049518
Abrupt,PHM2010,Dropout,3,30,3,0.686031746031746,0.6943092298647855,0.2734038800705467,0.03228689006466784,0.010582010582010568
Abrupt,NUAA,Bias,9,30,3,0.13596091884467862,0.13666638621681265,0.5220456910643718,0.34128792271881553,0.013525333505049518
Abrupt,PHM2010,Bias,3,30,3,0.050911228689006466,0.05142857142857143,0.3642092886537331,0.5843621399176955,0.010582010582010568
Abrupt,NUAA,Noise,9,30,3,0.009651723035330096,0.009651723035330096,0.43757234599101374,0.5527759309736562,0.013525333505049518
Abrupt,PHM2010,Noise,3,30,3,0.0007407407407407319,0.0007524985302762989,0.16055261610817165,0.838694885361552,0.010582010582010568
Structured gradual/weak,NUAA,Overall,9,30,3,0.23711182011315332,0.23996975447463736,0.32780413361866884,0.4322261119066939,0.013525333505049518
Structured gradual/weak,PHM2010,Overall,3,30,3,0.12342151675485007,0.12504997060552617,0.19207231040564376,0.6828777189888301,0.010582010582010568
Structured gradual/weak,NUAA,SoftClipping,9,30,3,0.011082223438545282,0.011082223438545282,0.5136669761555255,0.47525080040592926,0.013525333505049518
Structured gradual/weak,PHM2010,SoftClipping,3,30,3,0.00124632569077012,0.00124632569077012,0.10192827748383304,0.8968253968253969,0.010582010582010568
Structured gradual/weak,NUAA,IntermittentDropout,9,30,3,0.8941773162863045,0.9049035863601067,0.09509641363989335,0.0,0.013525333505049518
Structured gradual/weak,PHM2010,IntermittentDropout,3,30,3,0.4838683127572016,0.4902292768959436,0.4084891240446796,0.10128159905937684,0.010582010582010568
Structured gradual/weak,NUAA,GradualDrift,9,30,3,0.03913890535708898,0.03984437272922302,0.40687918746409657,0.5532764398066804,0.013525333505049518
Structured gradual/weak,PHM2010,GradualDrift,3,30,3,0.008089359200470297,0.008242210464432673,0.17821281599059377,0.8135449735449735,0.010582010582010568
Structured gradual/weak,NUAA,HeteroscedasticNoise,9,30,3,0.0040488353706744536,0.0040488353706744536,0.2955739572151599,0.7003772074141656,0.013525333505049518
Structured gradual/weak,PHM2010,HeteroscedasticNoise,3,30,3,0.00048206937095825186,0.00048206937095825186,0.07965902410346855,0.9198589065255732,0.010582010582010568
