Repeat,Seed,Dataset,Experiment,TargetPair,FaultType,RunLevelN,ExactSetDetectionRate,BothTargetDetectedRate,OnlyOneTargetDetectedRate,NeitherTargetDetectedRate,ExtraChannelTriggerRate
1,2026081501,NUAA,W1,force_z+vibration_x,SoftClipping,29,0,0,0.689655172413793,0.310344827586207,0.0689655172413793
1,2026081501,NUAA,W2,force_z+vibration_x,SoftClipping,17,0,0,0.823529411764706,0.176470588235294,0
1,2026081501,NUAA,W3,force_z+vibration_x,SoftClipping,11,0,0,0.636363636363636,0.363636363636364,0
1,2026081501,NUAA,W4,force_z+vibration_x,SoftClipping,28,0,0,0.821428571428571,0.178571428571429,0.0357142857142857
1,2026081501,NUAA,W5,force_z+vibration_x,SoftClipping,7,0.142857142857143,0.142857142857143,0.285714285714286,0.571428571428571,0
1,2026081501,NUAA,W6,force_z+vibration_x,SoftClipping,14,0.0714285714285714,0.0714285714285714,0.785714285714286,0.142857142857143,0
1,2026081501,NUAA,W7,force_z+vibration_x,SoftClipping,8,0,0,1,0,0
1,2026081501,NUAA,W8,force_z+vibration_x,SoftClipping,31,0,0,0.935483870967742,0.0645161290322581,0
1,2026081501,NUAA,W9,force_z+vibration_x,SoftClipping,7,0,0,0.714285714285714,0.285714285714286,0
1,2026081501,NUAA,W1,force_z+vibration_x,IntermittentDropout,29,0.827586206896552,0.896551724137931,0.103448275862069,0,0.0689655172413793
1,2026081501,NUAA,W2,force_z+vibration_x,IntermittentDropout,17,0.764705882352941,0.764705882352941,0.235294117647059,0,0
1,2026081501,NUAA,W3,force_z+vibration_x,IntermittentDropout,11,0.909090909090909,0.909090909090909,0.0909090909090909,0,0
1,2026081501,NUAA,W4,force_z+vibration_x,IntermittentDropout,28,0.821428571428571,0.857142857142857,0.142857142857143,0,0.0357142857142857
1,2026081501,NUAA,W5,force_z+vibration_x,IntermittentDropout,7,0.857142857142857,0.857142857142857,0.142857142857143,0,0
1,2026081501,NUAA,W6,force_z+vibration_x,IntermittentDropout,14,0.785714285714286,0.785714285714286,0.214285714285714,0,0
1,2026081501,NUAA,W7,force_z+vibration_x,IntermittentDropout,8,0.875,0.875,0.125,0,0
1,2026081501,NUAA,W8,force_z+vibration_x,IntermittentDropout,31,0.870967741935484,0.870967741935484,0.129032258064516,0,0
1,2026081501,NUAA,W9,force_z+vibration_x,IntermittentDropout,7,0.714285714285714,0.714285714285714,0.285714285714286,0,0
1,2026081501,NUAA,W1,force_z+vibration_x,GradualDrift,29,0,0,0.551724137931034,0.448275862068966,0.0689655172413793
1,2026081501,NUAA,W2,force_z+vibration_x,GradualDrift,17,0,0,0.647058823529412,0.352941176470588,0
1,2026081501,NUAA,W3,force_z+vibration_x,GradualDrift,11,0,0,0.454545454545455,0.545454545454545,0
1,2026081501,NUAA,W4,force_z+vibration_x,GradualDrift,28,0,0,0.428571428571429,0.571428571428571,0.0357142857142857
1,2026081501,NUAA,W5,force_z+vibration_x,GradualDrift,7,0.142857142857143,0.142857142857143,0.571428571428571,0.285714285714286,0
1,2026081501,NUAA,W6,force_z+vibration_x,GradualDrift,14,0,0,0.642857142857143,0.357142857142857,0
1,2026081501,NUAA,W7,force_z+vibration_x,GradualDrift,8,0,0,0.375,0.625,0
1,2026081501,NUAA,W8,force_z+vibration_x,GradualDrift,31,0,0,0.548387096774194,0.451612903225806,0
1,2026081501,NUAA,W9,force_z+vibration_x,GradualDrift,7,0,0,0.714285714285714,0.285714285714286,0
1,2026081501,NUAA,W1,force_z+vibration_x,HeteroscedasticNoise,29,0,0,0.413793103448276,0.586206896551724,0.0689655172413793
1,2026081501,NUAA,W2,force_z+vibration_x,HeteroscedasticNoise,17,0,0,0.529411764705882,0.470588235294118,0
1,2026081501,NUAA,W3,force_z+vibration_x,HeteroscedasticNoise,11,0,0,0.545454545454545,0.454545454545455,0
1,2026081501,NUAA,W4,force_z+vibration_x,HeteroscedasticNoise,28,0,0,0.428571428571429,0.571428571428571,0.0357142857142857
1,2026081501,NUAA,W5,force_z+vibration_x,HeteroscedasticNoise,7,0.142857142857143,0.142857142857143,0.142857142857143,0.714285714285714,0
