Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianMAE,CleanSingleMaskTrainMAE,CleanMultiMaskTrainMAE,CleanSingleSQTR_MAE,CleanSubsetRoutingMAE,CleanAnyTriggerRate,FullRelativeMAE,MedianRelativeMAE,SingleMaskTrainRelativeMAE,MultiMaskTrainRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,SubsetImprovementPercent,SingleImprovementPercent,SingleMaskImprovementPercent,MultiMaskImprovementPercent
1,2026081501,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.0177798419110346,0.0201138592636131,0.01855793107983,0.01855793107983,0.0689655172413793,1.61660389635502,1.10310212634197,1.06818150838756,1.13528154864117,1.09931474165952,1.06161427442638,0.897245235256814,34.3305879182884,31.9985097067898,33.9243514879555,29.7736723757188
1,2026081501,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0148363214522624,0.0139356538370896,0.0139356538370896,0.117647058823529,1.81989107110282,1.28714704172242,1.41486754156643,1.29824801436067,1.32364830232334,1.28156642699905,1.30145579841828,29.5800475452387,27.2677181980327,22.2553720916357,28.6634219500861
1,2026081501,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0266176293360615,0.0295033416448534,0.0295033416448534,0,1.0970827410516,0.966548449516878,0.91356491826356,0.901818741742673,0.99240612477501,0.946656659938697,0.884640170041743,13.7114618145128,9.54136022377404,16.727801461185,17.7984751744208
1,2026081501,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0521321782101146,0.0522364016436155,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.10402325914929,1.00428754325545,0.973490485661031,1.01558438619472,1.07339097279727,1.00562793835787,0.940176092670744,8.91243186916563,2.7746051632668,11.8233716913579,8.01059870991477
1,2026081501,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0422390021731151,0.0308928557556908,0.0308928557556908,0.142857142857143,1.51840543529559,1.25864893301565,1.27981011280927,1.72921306987863,1.59709701160805,1.48019121343696,1.61660246794397,2.51673373727045,-5.18251413510904,15.7135450743347,-13.8834878802972
1,2026081501,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0351111199096593,0.033797960303312,0.0360025923619169,0.0360025923619169,0,1.09229259115188,1.01977316952511,1.00218424470753,0.985811538287137,0.997503669030513,0.992074415579927,0.984256071863097,9.17503024224211,8.67797904052507,8.24946970933154,9.74840017476039
1,2026081501,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0758485932239532,0.0769839701819179,0.0769839701819179,0,0.988223273152106,1.00187682501153,0.969635302176488,0.987778149445232,0.991129092458716,0.991814963022764,0.987694639914898,-0.363449229363013,-0.2940448161417,1.88094851443129,0.0450428277664844
1,2026081501,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0600727855055994,0.0581625450719606,0.0589604040915583,0.0589604040915583,0,1.25384094830575,1.09526406512482,1.07130850025959,1.05450165860261,1.11756331848968,1.21644971658043,1.48740138951196,2.9821351564447,10.8688131457354,14.5578630441773,15.898291563416
1,2026081501,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.0530167926313985,0.052176046086479,0.052176046086479,0,0.916500778819981,1.11671686294291,1.1768100411795,1.18336548369326,1.1441822066138,1.13813698129103,1.20304456592544,-24.1828711543931,-24.8424696471033,-28.4025140376503,-29.1177826621028
1,2026081501,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.0103794962693196,0.010633107932084,0.00819049407155347,0.00816423872305722,0.053968253968254,1.08303291393236,0.998487152113231,1.21696694445241,1.29992173025734,1.06782588724855,1.10122996778963,1.26832012139733,-1.68019398332006,1.40411491545513,-12.3665706551562,-20.0260595532111
1,2026081501,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0152299404997609,0.0159954368581373,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.01459452634761,1.10881577779054,1.11020127950054,1.14891173755249,0.99300252303477,1.02449244354854,1.08627253308084,-0.975553971946507,2.12814111964153,-9.42314892010158,-13.2385113182511
1,2026081501,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0113497478958077,0.0122375457113948,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.28443404050568,1.23098050198983,0.907742014043513,0.969442324863205,1.1658011567797,1.16428970862513,0.747324708690607,9.35387323067555,9.23619897828825,29.3274714452336,24.5237751187644
2,2026081502,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.0177798419110346,0.0201138592636131,0.01855793107983,0.01855793107983,0.0689655172413793,1.66457507666648,1.15109673484897,1.09819959772852,1.17128114962122,1.17302988133812,1.11327563504353,0.897245235256814,33.1195299840119,29.5297702229655,34.0252288333066,29.6348259661043
2,2026081502,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0148363214522624,0.0139356538370896,0.0139356538370896,0.117647058823529,2.03646657311258,1.3280835928681,1.47335501984146,1.32051789016977,1.36641161176583,1.34748059683663,1.30145579841828,33.8324225583969,32.9028214945174,27.6514017320915,35.1564171195078
2,2026081502,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0266176293360615,0.0295033416448534,0.0295033416448534,0,1.06937084461482,0.987928620631325,0.927877836097381,0.917848788303737,1.01280786991941,0.967576660670399,0.884640170041743,9.51907230845523,5.28936944374819,13.2314256770677,14.1692713125784
2,2026081502,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0521321782101146,0.0522364016436155,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.08595515971907,0.976762105245913,0.955567001959892,1.00292164895799,1.06549864498231,0.993897536559706,0.940176092670744,8.47711089500045,1.88373475218351,12.0067717890773,7.64612700791047
2,2026081502,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0422390021731151,0.0308928557556908,0.0308928557556908,0.142857142857143,1.53236769472145,1.35451208410451,1.37261136705873,1.82182620903227,1.62095116825493,1.58869154739073,1.61660246794397,-3.67560950699315,-5.7808236129369,10.4254565149759,-18.8896252060071
2,2026081502,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0351111199096593,0.033797960303312,0.0360025923619169,0.0360025923619169,0,1.12370296661095,1.04110348705367,1.02784062658761,1.00194439922769,1.01935024106615,1.01766536248054,0.984256071863097,9.43644426339897,9.28650440957049,8.53093236128552,10.8354761890924
2,2026081502,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0758485932239532,0.0769839701819179,0.0769839701819179,0,1.00453096656755,1.00377568508393,0.976565943868071,0.991976195292964,0.991079299215002,0.994534814049886,0.987694639914898,0.995106457675142,1.33909932100028,2.78388856393645,1.24981426082672
2,2026081502,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0600727855055994,0.0581625450719606,0.0589604040915583,0.0589604040915583,0,1.26362732103263,1.0923538079861,1.06681043285953,1.05155425542884,1.10956920540784,1.21947528305808,1.48740138951196,3.49407117428177,12.1917366822124,15.5755486524509,16.7828806859357
2,2026081502,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.0530167926313985,0.052176046086479,0.052176046086479,0,0.922313889865452,1.10344092991118,1.16778903943234,1.16217878556747,1.13167539289578,1.11849167960265,1.20304456592544,-21.2701762266441,-22.6995934172549,-26.6151417932892,-26.0068614750027
2,2026081502,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.0103794962693196,0.010633107932084,0.00819049407155347,0.00816423872305722,0.053968253968254,1.09375627701593,0.997297577162189,1.21558486281118,1.30087404917963,1.0611258654471,1.09749928633035,1.26832012139733,-0.342216030488084,2.98333479354794,-11.1385496344421,-18.9363733508139
2,2026081502,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0152299404997609,0.0159954368581373,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.01227142401459,1.11245651960808,1.11376436868837,1.15249244022676,0.992668189057275,1.02486127432731,1.08627253308084,-1.24372278166196,1.93655915718402,-10.0262580041303,-13.8521164270412
2,2026081502,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0113497478958077,0.0122375457113948,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.27324344506492,1.21847485233518,0.898320365676655,0.95223721939822,1.15590328063346,1.1537831022998,0.747324708690607,9.38236463954665,9.21584673270959,29.4462995934878,25.2116927765004
3,2026081503,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.0177798419110346,0.0201138592636131,0.01855793107983,0.01855793107983,0.0689655172413793,1.64297822311592,1.14833927854798,1.10927524385396,1.18084540223224,1.13105519796022,1.08796040017176,0.897245235256814,33.7812038610938,31.1582355720355,32.4838742080094,28.1277508357505
3,2026081503,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0148363214522624,0.0139356538370896,0.0139356538370896,0.117647058823529,1.85592067902894,1.27088404936963,1.38243459416693,1.27477065401113,1.3194343440889,1.30551406047508,1.30145579841828,29.6567964769833,28.9067491408488,25.5121940399815,31.3133008099184
3,2026081503,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0266176293360615,0.0295033416448534,0.0295033416448534,0,1.04825837705062,0.999159154359233,0.935879184405455,0.923689110871846,1.00553650849446,0.9715662590274,0.884640170041743,7.31614644845531,4.07550938694758,10.7205623256128,11.883450579166
3,2026081503,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0521321782101146,0.0522364016436155,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.10464633410755,0.945342728892628,0.931054590130761,0.977847586824021,1.03976442973383,0.965403874008377,0.940176092670744,12.6051620142898,5.87354543896979,15.7146897261948,11.4786736142086
3,2026081503,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0422390021731151,0.0308928557556908,0.0308928557556908,0.142857142857143,1.62590527755732,1.267752829498,1.2846164513179,1.73343600873253,1.61994424812451,1.5184072392239,1.61660246794397,6.61158062632754,0.366628334078838,20.9906955190002,-6.61359137334
3,2026081503,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0351111199096593,0.033797960303312,0.0360025923619169,0.0360025923619169,0,1.08003510580439,1.05281942378667,1.03604401003443,1.00751473515103,1.03417257385855,1.02903701246432,0.984256071863097,4.72189219276215,4.24639270514099,4.07311721012966,6.71463087298011
3,2026081503,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0758485932239532,0.0769839701819179,0.0769839701819179,0,1.00452978744075,1.00924160863764,0.982462537986872,0.993958005330634,0.988939617318714,0.999343561399705,0.987694639914898,0.516283947563179,1.55198684170015,2.19677402599498,1.05241101282349
3,2026081503,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0600727855055994,0.0581625450719606,0.0589604040915583,0.0589604040915583,0,1.25178285999174,1.11231487056626,1.09545419439082,1.07093412331534,1.1248615951527,1.23105232823394,1.48740138951196,1.65608049290097,10.1392397112606,12.4884810774567,14.4472929336638
3,2026081503,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.0530167926313985,0.052176046086479,0.052176046086479,0,0.96045114992673,1.14430694790361,1.20729363084042,1.21404659839617,1.167656741257,1.16147370154942,1.20304456592544,-20.9300131129031,-21.5737772135597,-25.7006804492373,-26.4037841475625
3,2026081503,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.0103794962693196,0.010633107932084,0.00819049407155347,0.00816423872305722,0.053968253968254,1.08115831668896,0.99180514588879,1.2085779884375,1.29310161609039,1.06004932189248,1.09529194500975,1.26832012139733,-1.30726722466347,1.95244253044521,-11.7854776475995,-19.6033546733945
3,2026081503,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0152299404997609,0.0159954368581373,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.0135413501874,1.1079650778376,1.11049006952933,1.14893389290351,0.991091565565177,1.02349811422507,1.08627253308084,-0.982373736979973,2.21498458035972,-9.56534425793325,-13.3583639869332
3,2026081503,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0113497478958077,0.0122375457113948,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.28175557205692,1.22235050952234,0.910474394461835,0.973493113896761,1.1619724752122,1.16078445564448,0.747324708690607,9.43792397315728,9.3452370682887,28.9666131116765,24.0500189646508
4,2026081504,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.0177798419110346,0.0201138592636131,0.01855793107983,0.01855793107983,0.0689655172413793,1.6328951385548,1.08879842265981,1.04651868084601,1.12985393139855,1.14524710743363,1.04902858309003,0.897245235256814,35.7565248177244,29.8640138982082,35.9102335394154,30.8067061551464
4,2026081504,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0148363214522624,0.0139356538370896,0.0139356538370896,0.117647058823529,1.9016879031719,1.36976375485633,1.48131241538509,1.34288706667798,1.44429319134533,1.39798334201605,1.30145579841828,26.4872359084632,24.0520387737471,22.1053879075346,29.3844660610118
4,2026081504,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0266176293360615,0.0295033416448534,0.0295033416448534,0,1.18707785427921,1.0055175096638,0.948650609809231,0.939586422161201,1.03442325111091,0.982864390578222,0.884640170041743,17.2030387867849,12.8596959852304,20.0852238638341,20.8487953191818
4,2026081504,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0521321782101146,0.0522364016436155,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.12908097145982,0.985215550599835,0.965875709380648,1.00467160187866,1.06721393515894,0.989838598212308,0.940176092670744,12.3323638221875,5.47941537097115,14.4546995480902,11.0186401795713
4,2026081504,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0422390021731151,0.0308928557556908,0.0308928557556908,0.142857142857143,1.49866592060308,1.38312610989341,1.40927469071741,1.83345010116615,1.64836118759643,1.63312506711173,1.61660246794397,-8.97192260530942,-9.98856816154969,5.96472026598809,-22.3388132045032
4,2026081504,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0351111199096593,0.033797960303312,0.0360025923619169,0.0360025923619169,0,1.07553398636897,1.05230116520542,1.04256981317668,1.01690946864499,1.01770869466876,1.02553441367146,0.984256071863097,4.64881382933416,5.37642626203095,3.06491227707055,5.45073595692653
4,2026081504,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0758485932239532,0.0769839701819179,0.0769839701819179,0,1.00621814416396,0.997205463966875,0.973987569772182,0.982400197721242,0.982640290902668,0.991278799733627,0.987694639914898,1.4847023497817,2.3432148782093,3.20313985378949,2.36707582554143
4,2026081504,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0600727855055994,0.0581625450719606,0.0589604040915583,0.0589604040915583,0,1.229743375874,1.08953461404276,1.06793664652639,1.04815349888077,1.10420000214417,1.20281189997981,1.48740138951196,2.19000780346119,10.2089083131354,13.1577638491132,14.7664854762218
4,2026081504,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.0530167926313985,0.052176046086479,0.052176046086479,0,0.895070578770956,1.11304212226123,1.17419343883176,1.17075664628745,1.14648075356506,1.13240440621063,1.20304456592544,-26.5156550856095,-28.0883073086056,-31.1844525650785,-30.8004836775045
