Suite,Dataset,FaultType,Method,ScenarioRepeatRows,MeanPercentReductionVsFixed
abrupt,NUAA,Saturation,Median replacement,90,46.81594195496188
abrupt,NUAA,Saturation,Single-mask-trained dropout,90,48.497153408342434
abrupt,NUAA,Saturation,Multi-mask-trained dropout,90,46.71807539353434
abrupt,NUAA,Saturation,Single-channel SQTR,90,10.355771342771073
abrupt,NUAA,Saturation,Subset routing,90,40.884255579612876
abrupt,NUAA,Dropout,Median replacement,90,19.220589536162407
abrupt,NUAA,Dropout,Single-mask-trained dropout,90,21.854366178083527
abrupt,NUAA,Dropout,Multi-mask-trained dropout,90,18.732486425792622
abrupt,NUAA,Dropout,Single-channel SQTR,90,4.698475959920172
abrupt,NUAA,Dropout,Subset routing,90,9.239034226544094
abrupt,NUAA,Bias,Median replacement,90,27.87273936522029
abrupt,NUAA,Bias,Single-mask-trained dropout,90,28.64053853963657
abrupt,NUAA,Bias,Multi-mask-trained dropout,90,28.83314093187688
abrupt,NUAA,Bias,Single-channel SQTR,90,25.421930085251088
abrupt,NUAA,Bias,Subset routing,90,27.41598596688825
abrupt,NUAA,Noise,Median replacement,90,32.59129646609221
abrupt,NUAA,Noise,Single-mask-trained dropout,90,33.0186159529616
abrupt,NUAA,Noise,Multi-mask-trained dropout,90,32.23087332924266
abrupt,NUAA,Noise,Single-channel SQTR,90,31.575580316098325
abrupt,NUAA,Noise,Subset routing,90,32.14449180601064
abrupt,PHM2010,Saturation,Median replacement,90,30.009333695265084
abrupt,PHM2010,Saturation,Single-mask-trained dropout,90,33.95893840455445
abrupt,PHM2010,Saturation,Multi-mask-trained dropout,90,29.726872608658706
abrupt,PHM2010,Saturation,Single-channel SQTR,90,27.003385153039478
abrupt,PHM2010,Saturation,Subset routing,90,35.08594237705551
abrupt,PHM2010,Dropout,Median replacement,90,17.908800112349812
abrupt,PHM2010,Dropout,Single-mask-trained dropout,90,22.717310387835546
abrupt,PHM2010,Dropout,Multi-mask-trained dropout,90,18.21852697622883
abrupt,PHM2010,Dropout,Single-channel SQTR,90,29.736519536470688
abrupt,PHM2010,Dropout,Subset routing,90,23.33797978371733
abrupt,PHM2010,Bias,Median replacement,90,7.557543415787427
abrupt,PHM2010,Bias,Single-mask-trained dropout,90,5.515517464481704
abrupt,PHM2010,Bias,Multi-mask-trained dropout,90,-6.6233094497066585
abrupt,PHM2010,Bias,Single-channel SQTR,90,7.391644732254878
abrupt,PHM2010,Bias,Subset routing,90,7.513729163291682
abrupt,PHM2010,Noise,Median replacement,90,0.15865968526269894
abrupt,PHM2010,Noise,Single-mask-trained dropout,90,6.7167880327605936
abrupt,PHM2010,Noise,Multi-mask-trained dropout,90,5.453853541533134
abrupt,PHM2010,Noise,Single-channel SQTR,90,1.7078024107897771
abrupt,PHM2010,Noise,Subset routing,90,1.775703631690884
structured,NUAA,SoftClipping,Median replacement,90,8.532159264232986
structured,NUAA,SoftClipping,Single-mask-trained dropout,90,8.651085242775583
structured,NUAA,SoftClipping,Multi-mask-trained dropout,90,6.406738885239723
structured,NUAA,SoftClipping,Single-channel SQTR,90,6.014277668730296
structured,NUAA,SoftClipping,Subset routing,90,6.2729875596751485
structured,NUAA,IntermittentDropout,Median replacement,90,12.266289913051278
structured,NUAA,IntermittentDropout,Single-mask-trained dropout,90,15.111805483803694
structured,NUAA,IntermittentDropout,Multi-mask-trained dropout,90,11.750692444128461
structured,NUAA,IntermittentDropout,Single-channel SQTR,90,4.932153701468516
structured,NUAA,IntermittentDropout,Subset routing,90,1.1847551808418824
structured,NUAA,GradualDrift,Median replacement,90,11.828243306104874
structured,NUAA,GradualDrift,Single-mask-trained dropout,90,12.78961476352627
structured,NUAA,GradualDrift,Multi-mask-trained dropout,90,11.914856791912447
structured,NUAA,GradualDrift,Single-channel SQTR,90,10.675725767791555
structured,NUAA,GradualDrift,Subset routing,90,11.348425821393842
structured,NUAA,HeteroscedasticNoise,Median replacement,90,15.781732765666725
structured,NUAA,HeteroscedasticNoise,Single-mask-trained dropout,90,15.579232452226089
structured,NUAA,HeteroscedasticNoise,Multi-mask-trained dropout,90,15.957696614158808
structured,NUAA,HeteroscedasticNoise,Single-channel SQTR,90,15.119915297499686
structured,NUAA,HeteroscedasticNoise,Subset routing,90,15.483825242000318
structured,PHM2010,SoftClipping,Median replacement,90,0.06425501069369739
structured,PHM2010,SoftClipping,Single-mask-trained dropout,90,9.442749664345655
structured,PHM2010,SoftClipping,Multi-mask-trained dropout,90,6.747518875204318
structured,PHM2010,SoftClipping,Single-channel SQTR,90,1.0551607916563974
structured,PHM2010,SoftClipping,Subset routing,90,1.1616761552558756
structured,PHM2010,IntermittentDropout,Median replacement,90,-2.0995740692973226
structured,PHM2010,IntermittentDropout,Single-mask-trained dropout,90,6.947174486990309
structured,PHM2010,IntermittentDropout,Multi-mask-trained dropout,90,1.8836127423358182
structured,PHM2010,IntermittentDropout,Single-channel SQTR,90,15.173444436477045
structured,PHM2010,IntermittentDropout,Subset routing,90,7.833448583311186
structured,PHM2010,GradualDrift,Median replacement,90,2.321970583889314
structured,PHM2010,GradualDrift,Single-mask-trained dropout,90,4.008908240908096
