Dataset,Experiment,RunLevelN,TechnicalRepeatN,CleanAnyTriggerRate,FullRelativeMAE,MedianRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,MedianRelativeMAE_SD,SingleSQTR_RelativeMAE_SD,SubsetRoutingRelativeMAE_SD,SubsetImprovementPercent,SingleImprovementPercent
NUAA,W1,29,30,0.0689655172413793,3.27371789982443,1.1315609197265,2.23600259628942,1.07939450414576,0.897245235256815,0.0393872432563847,0.0571147537406466,0.0401945155387514,66.9849571042733,31.6378549650416
NUAA,W2,17,30,0.117647058823529,3.41008541532711,1.29502456759644,2.28723328972823,1.34083978369525,1.30145579841828,0.0376147031032077,0.062930722027042,0.0381553933304602,60.5765112810434,32.7810149250043
NUAA,W3,11,30,0,1.44727293325931,0.980526306780014,1.24388199423406,0.935356898893503,0.884640170041743,0.0165255709175697,0.0298219317398995,0.0159510851892039,35.2346050732996,13.8963854322516
NUAA,W4,28,30,0.0357142857142857,1.55674868843211,0.964960171415798,1.13926816307863,0.979889473453576,0.940176092670743,0.0202887058990235,0.0282180816763374,0.0194009934306444,36.9602799668422,26.7095079555623
NUAA,W5,7,30,0.142857142857143,2.45789340196001,1.32653499117361,2.30076966322817,1.62839911608291,1.61660246794397,0.0410016960696619,0.085407983269308,0.0411719819128722,33.4451604272489,6.02809308274762
NUAA,W6,14,30,0,1.42231005419669,1.03906814313805,1.26821900351137,1.00461890021792,0.984256071863097,0.0195355207142124,0.0283556003825614,0.0199724790832598,29.2969284235344,10.760407479427
NUAA,W7,8,30,0,1.08085729624132,1.01080324797017,1.07393465274529,0.997736517522353,0.987694639914898,0.00884657985513112,0.0191548298138099,0.00937702201714919,7.63896297924707,0.601349253765221
NUAA,W8,31,30,0,1.51329519964365,1.08551078556283,1.24241603623197,1.3085035340471,1.48740138951196,0.0168334671039904,0.0218994820603798,0.0162909168949904,13.5061216866648,17.8835731173374
NUAA,W9,7,30,0,0.896413746146702,1.11979270531666,1.03100453509996,1.1534999720784,1.20304456592544,0.0208987019712484,0.0321866828222308,0.0212624791943842,-28.9473543982418,-15.2530349467959
PHM2010,c1,315,30,0.053968253968254,1.34191986575599,1.02981470980309,1.16981556417707,1.23360242317849,1.26832012139733,0.00468654638545917,0.00514065974743319,0.00490747870959487,8.06761128151904,12.8215202250978
PHM2010,c4,315,30,0.0285714285714286,1.05949473772137,1.23117049290958,1.03976342460324,1.08193863932022,1.08627253308084,0.00256209721094616,0.00268126033937416,0.0020242654882692,-2.119294148055,1.86167346017732
PHM2010,c6,315,30,0.00634920634920635,1.78256397245323,1.15550682051876,1.17489091299838,1.0572126584592,0.747324708690607,0.00858875297359655,0.0109930822593385,0.00883085452966685,40.6886701711662,34.087451918511
