Dataset,Unit,HeldOutFaultFamily,ScenarioRecordN,TrainingSelectedFixedAction,TrainingSelectedFixedRelativeMAE,TransferredLearnedRelativeMAE,OracleRelativeMAE,ActionOverrideRate
NUAA,W1,Saturation,2610,MedianReplacement,1.01910859099999,1.00298463459267,0.709420307062267,0.996934865900383
NUAA,W1,Dropout,2610,MedianReplacement,0.973692653697503,0.961785342416435,0.731002190808672,0.965900383141762
NUAA,W1,Bias,2610,MedianReplacement,1.17866104045524,1.20654040068606,0.912541759916309,0.999616858237548
NUAA,W1,Noise,2610,MedianReplacement,1.11091628318011,1.12161086979638,0.910409773845267,1
NUAA,W1,SoftClipping,2610,MedianReplacement,0.96937572272875,0.965062475338768,0.80886232753347,0.959770114942529
NUAA,W1,IntermittentDropout,2610,MedianReplacement,0.976439566641991,0.945597667497169,0.739948935695889,0.969348659003831
NUAA,W1,GradualDrift,2610,MedianReplacement,1.0852530323283,1.11876563319247,0.862144333218059,0.999233716475096
NUAA,W1,HeteroscedasticNoise,2610,MedianReplacement,1.20354743296735,1.21432630301913,1.00546936202585,0.998467432950192
NUAA,W2,Saturation,1530,MaskDropout,1.07416327908292,1.09484517010869,0.900840112846853,0.344444444444444
NUAA,W2,Dropout,1530,MaskDropout,1.0669878428165,1.11255710199338,0.870750383661537,0.612418300653595
NUAA,W2,Bias,1530,MedianReplacement,1.19379517512243,1.24908362327873,0.886301689914379,0.76078431372549
NUAA,W2,Noise,1530,MedianReplacement,1.15026085066027,1.13284160442302,0.894905773972021,0.728104575163399
NUAA,W2,SoftClipping,1530,MaskDropout,1.07928467473733,1.1035252720367,0.828378084325756,0.963398692810458
NUAA,W2,IntermittentDropout,1530,MedianReplacement,1.12053960645244,1.11959785393638,0.88164500949077,0.996732026143791
NUAA,W2,GradualDrift,1530,MedianReplacement,1.10881790874035,1.09561797242165,0.819802755356641,0.767320261437909
NUAA,W2,HeteroscedasticNoise,1530,MedianReplacement,1.19721296062826,1.18233163269704,0.932146816811064,0.77124183006536
NUAA,W3,Saturation,990,Exclusion,0.981347341638705,1.01158776699934,0.845063419174152,0.943434343434343
NUAA,W3,Dropout,990,Exclusion,0.980658825949255,0.966217629136904,0.822473481800091,0.357575757575758
NUAA,W3,Bias,990,Exclusion,1.00791269648109,1.00695460091362,0.869563849454352,0.955555555555556
NUAA,W3,Noise,990,Exclusion,1.01040244925863,1.01085586045415,0.860566198147193,0.8
NUAA,W3,SoftClipping,990,Exclusion,0.991609586980818,0.975703374521986,0.868047111491011,1
NUAA,W3,IntermittentDropout,990,Exclusion,0.978347943277359,0.979040632079302,0.825714663921496,0.607070707070707
NUAA,W3,GradualDrift,990,Exclusion,0.989114168045841,0.990219080323855,0.848852413613396,0.841414141414141
NUAA,W3,HeteroscedasticNoise,990,Exclusion,0.99280932044123,0.99280932044123,0.85077035332488,0.862626262626263
NUAA,W4,Saturation,2520,MedianReplacement,0.948876243078331,0.992009972097873,0.751966878991983,0.798809523809524
NUAA,W4,Dropout,2520,MedianReplacement,0.957638841101558,1.01359197719938,0.837664531404129,0.558333333333333
NUAA,W4,Bias,2520,MedianReplacement,0.98227756136121,0.978757154177092,0.786659490186908,0.653968253968254
NUAA,W4,Noise,2520,MedianReplacement,1.04219196426155,1.04126199617299,0.888139316001381,0.765079365079365
NUAA,W4,SoftClipping,2520,MedianReplacement,0.98160760033065,0.99394629209733,0.870430866127214,0.834126984126984
NUAA,W4,IntermittentDropout,2520,MedianReplacement,0.96076976596683,1.01417811545132,0.861004307233845,0.571031746031746
NUAA,W4,GradualDrift,2520,MedianReplacement,1.00005750861627,0.995504376498114,0.7944118146359,0.787301587301587
NUAA,W4,HeteroscedasticNoise,2520,MedianReplacement,0.987252047568554,1.01050566101078,0.832666457778989,0.995634920634921
NUAA,W5,Saturation,630,Exclusion,1.49903288783572,1.46743143740241,0.989535451036247,0.487301587301587
NUAA,W5,Dropout,630,MedianReplacement,1.05766946935085,1.33046849861333,0.884363469292656,1
NUAA,W5,Bias,630,Exclusion,1.48065082294131,1.53931577552097,1.13697398143679,0.761904761904762
NUAA,W5,Noise,630,MedianReplacement,1.40864469319269,1.56894179828865,1.21457390565208,1
NUAA,W5,SoftClipping,630,MedianReplacement,1.16050599517728,1.29530510029888,0.928559946655991,0.968253968253968
NUAA,W5,IntermittentDropout,630,MedianReplacement,1.06197361495338,1.3301956849298,0.864372427747231,1
NUAA,W5,GradualDrift,630,MedianReplacement,1.29706982029665,1.44093424102384,1.10551202442323,0.946031746031746
NUAA,W5,HeteroscedasticNoise,630,MedianReplacement,1.39028293293323,1.53008938696458,1.1852157872051,1
NUAA,W6,Saturation,1260,MedianReplacement,1.01998784256566,1.01011588457628,0.845907553564113,0.678571428571429
NUAA,W6,Dropout,1260,MedianReplacement,1.02283071578841,1.03501012731212,0.846862554823149,0.749206349206349
NUAA,W6,Bias,1260,MedianReplacement,1.02676310476002,1.02633385695313,0.912417481615895,0.713492063492064
NUAA,W6,Noise,1260,MedianReplacement,1.01405316534675,1.01378982115476,0.92468716081552,0.805555555555556
NUAA,W6,SoftClipping,1260,MedianReplacement,1.01651801015593,1.02592190537713,0.921121530519059,0.872222222222222
NUAA,W6,IntermittentDropout,1260,MedianReplacement,1.02509741489839,1.04423542454732,0.865538678978947,0.862698412698413
NUAA,W6,GradualDrift,1260,MedianReplacement,1.00529630247776,1.00325651726445,0.900611793017876,0.835714285714286
NUAA,W6,HeteroscedasticNoise,1260,MedianReplacement,1.01363474287076,1.01050004986917,0.933894382082811,1
NUAA,W7,Saturation,720,Exclusion,0.98499662245366,0.976448716281256,0.885012601186742,0.559722222222222
NUAA,W7,Dropout,720,Exclusion,0.986785211328261,1.002879011167,0.872843636188044,0.666666666666667
NUAA,W7,Bias,720,Exclusion,0.994048504649723,1.0031041137695,0.924270566994181,0.858333333333333
NUAA,W7,Noise,720,Exclusion,1.00282466966397,1.0033762502625,0.939116985046853,0.833333333333333
NUAA,W7,SoftClipping,720,Exclusion,1.00053691585977,1.00059622699175,0.934477656924719,0.791666666666667
NUAA,W7,IntermittentDropout,720,Exclusion,0.988324176364599,0.972633872175801,0.888212352477626,0.511111111111111
NUAA,W7,GradualDrift,720,Exclusion,1.00158403875598,0.999794140780832,0.938631815346146,0.893055555555556
NUAA,W7,HeteroscedasticNoise,720,Exclusion,1.00119862527551,1.00119862527551,0.94223866025788,0.881944444444444
NUAA,W8,Saturation,2790,MedianReplacement,1.02468699703353,1.06701048098837,0.939482750296136,0.85089605734767
NUAA,W8,Dropout,2790,MedianReplacement,1.01773047283191,1.00562487789931,0.939909183640513,0.989247311827957
NUAA,W8,Bias,2790,MedianReplacement,1.05821777747373,1.07067011980191,0.967063614573084,0.710035842293907
NUAA,W8,Noise,2790,MedianReplacement,1.05896979958446,1.0597385653059,1.02731825206395,0.819354838709677
NUAA,W8,SoftClipping,2790,MedianReplacement,1.02917040239005,1.03836438500188,0.990494232895748,0.82078853046595
NUAA,W8,IntermittentDropout,2790,MedianReplacement,1.01736092581317,1.01226880317582,0.932482174526964,0.623297491039427
NUAA,W8,GradualDrift,2790,MedianReplacement,1.02759439551325,1.03283731030903,0.979152040247432,0.822939068100358
NUAA,W8,HeteroscedasticNoise,2790,MedianReplacement,1.11449244830307,1.11463776575649,1.08031213153976,0.898924731182796
NUAA,W9,Saturation,630,MedianReplacement,1.07788948044566,1.18717553937725,0.821871919656961,1
NUAA,W9,Dropout,630,MedianReplacement,1.08300660467153,1.09484867661214,1.00962618538974,0.980952380952381
NUAA,W9,Bias,630,MedianReplacement,1.0276307476154,1.07363597148965,0.844594208243384,0.990476190476191
NUAA,W9,Noise,630,MedianReplacement,1.04434795938574,1.07104727368244,0.876478734742777,1
NUAA,W9,SoftClipping,630,MedianReplacement,1.07343143824392,1.09510231720975,0.971317372985272,1
NUAA,W9,IntermittentDropout,630,MedianReplacement,1.08208148802089,1.10321159621828,1.03423180028554,0.990476190476191
NUAA,W9,GradualDrift,630,MedianReplacement,1.03155787393265,1.05489023649534,0.900532835819151,1
NUAA,W9,HeteroscedasticNoise,630,MedianReplacement,1.01747093315263,1.03796480765667,0.869698328533578,1
PHM2010,c1,Saturation,28350,Exclusion,1.13744570737385,1.01193821842988,0.69984780450479,0.355379188712522
PHM2010,c1,Dropout,28350,Exclusion,1.10443143021398,1.09812435785372,0.675457954573543,0.538271604938272
PHM2010,c1,Bias,28350,Exclusion,1.09670784369404,1.18445986397622,0.896357891546742,0.901269841269841
PHM2010,c1,Noise,28350,Exclusion,1.15426148645958,1.1622255434781,1.02862324530018,0.954003527336861
PHM2010,c1,SoftClipping,28350,Exclusion,1.0134883259569,1.034405089703,0.91510258157108,0.969065255731922
PHM2010,c1,IntermittentDropout,28350,Exclusion,1.07574735454797,0.9576760048578,0.702579662044834,0.564761904761905
PHM2010,c1,GradualDrift,28350,Exclusion,1.06760046135077,1.10576744333881,0.925288350879949,0.960141093474427
PHM2010,c1,HeteroscedasticNoise,28350,Exclusion,1.08641205251139,1.07900862884285,0.982011472593418,0.96962962962963
PHM2010,c4,Saturation,28350,MedianReplacement,1.1514723653421,1.03149430988817,0.898309684472735,1
PHM2010,c4,Dropout,28350,MedianReplacement,1.1514723653421,1.10286912498104,0.896274539391842,1
PHM2010,c4,Bias,28350,MedianReplacement,1.0804299114856,1.06485388054573,0.968401975816381,1
PHM2010,c4,Noise,28350,MedianReplacement,1.07501204669653,1.05775082786743,1.01470919098653,1
PHM2010,c4,SoftClipping,28350,MedianReplacement,1.00248606885681,0.987994487723004,0.959022008602909,1
PHM2010,c4,IntermittentDropout,28350,MedianReplacement,1.1514723653421,1.10859575590405,0.909335362080412,1
PHM2010,c4,GradualDrift,28350,MedianReplacement,1.04211375702818,1.02277157195309,0.977088502864307,1
PHM2010,c4,HeteroscedasticNoise,28350,MedianReplacement,1.04020689982123,1.02394679298737,0.997926689594254,1
PHM2010,c6,Saturation,28350,MedianReplacement,0.925658486290577,0.978604764068817,0.566623841960442,0.837248677248677
PHM2010,c6,Dropout,28350,MedianReplacement,0.990310889220525,1.00706158186509,0.661958936333611,0.991322751322751
PHM2010,c6,Bias,28350,MedianReplacement,1.22114028231218,1.21464256279833,0.872851375186659,0.975943562610229
PHM2010,c6,Noise,28350,MedianReplacement,1.1295265360414,1.12516311158101,0.864776317987845,0.989805996472663
PHM2010,c6,SoftClipping,28350,MedianReplacement,1.2485778080528,1.24784931022474,1.00176414688015,0.997813051146385
PHM2010,c6,IntermittentDropout,28350,MedianReplacement,1.03747286213079,1.08297521103905,0.694357069562114,0.999259259259259
PHM2010,c6,GradualDrift,28350,MedianReplacement,1.06396428763719,1.0437353175711,0.782196762690249,0.991463844797178
PHM2010,c6,HeteroscedasticNoise,28350,MedianReplacement,1.09626520978307,1.09574275470699,0.878374554631391,0.99710758377425
