DetectorFloor,DetectorQuantile,Dataset,TargetSensor,FaultType,TechnicalRepeatN,MeanCorrectDetectionRate,SDCorrectDetectionRate,MeanMAEImprovementPercent
3,97.5,NUAA,force_z,Saturation,30,0.985745614035087,0.0110740185727654,53.3913994474539
3,97.5,NUAA,force_z,Dropout,30,0.931359649122807,0.0151294417070825,20.61946103761
3,97.5,NUAA,force_z,Bias,30,0.622368421052632,0.0410528060864642,29.1158062167794
3,97.5,NUAA,force_z,Noise,30,0.642324561403509,0.031503394445036,48.2524546944687
3,97.5,NUAA,vibration_x,Saturation,30,1,0,-3.25105640565805
3,97.5,NUAA,vibration_x,Dropout,30,1,0,-1.61352100723407
3,97.5,NUAA,vibration_x,Bias,30,0.51359649122807,0.0358655467084768,1.37408050914858
3,97.5,NUAA,vibration_x,Noise,30,0.104605263157895,0.0152929726325529,0.485254465176795
3,97.5,NUAA,vibration_y,Saturation,30,1,0,24.9581641823801
3,97.5,NUAA,vibration_y,Dropout,30,1,0,9.11497907264581
3,97.5,NUAA,vibration_y,Bias,30,0.661842105263158,0.0321652321420881,17.7337822699666
3,97.5,NUAA,vibration_y,Noise,30,0.155921052631579,0.0233816886111283,5.07111759447584
3,97.5,PHM2010,force_z,Saturation,30,1,0,41.1674683924903
3,97.5,PHM2010,force_z,Dropout,30,1,0,50.0166272725524
3,97.5,PHM2010,force_z,Bias,30,0.781446208112875,0.0144205180881037,20.7845155636504
3,97.5,PHM2010,force_z,Noise,30,0.649312169312169,0.0125657486568267,13.2813258861923
3,97.5,PHM2010,vibration_x,Saturation,30,0.998941798941799,4.51681028326696e-16,13.1518245300328
3,97.5,PHM2010,vibration_x,Dropout,30,0.998447971781305,0.000536948426883479,-1.57512587901744
3,97.5,PHM2010,vibration_x,Bias,30,0.45026455026455,0.0123335967497766,15.9819890500232
3,97.5,PHM2010,vibration_x,Noise,30,0.138518518518519,0.00632696951339196,4.57112813374909
3,97.5,PHM2010,vibration_y,Saturation,30,0.998941798941799,4.51681028326696e-16,5.7816785077647
3,97.5,PHM2010,vibration_y,Dropout,30,0.782398589065256,0.0103662861958755,-9.29989318965352
3,97.5,PHM2010,vibration_y,Bias,30,0.111499118165785,0.00785758156074488,1.98148411764208
3,97.5,PHM2010,vibration_y,Noise,30,0.00261022927689594,0.00166119630214794,2.48253111002864
3,99,NUAA,force_z,Saturation,30,0.967105263157894,0.0150618808282194,53.0638338156731
3,99,NUAA,force_z,Dropout,30,0.929166666666667,0.0175924727265529,20.6675950078649
3,99,NUAA,force_z,Bias,30,0.56469298245614,0.0475697517801705,28.0890560114867
3,99,NUAA,force_z,Noise,30,0.617543859649123,0.0323564548826504,47.5159833889533
3,99,NUAA,vibration_x,Saturation,30,1,0,-3.25105640565805
3,99,NUAA,vibration_x,Dropout,30,1,0,-1.61352100723407
3,99,NUAA,vibration_x,Bias,30,0.0646929824561403,0.016668955012134,0.165874640314819
3,99,NUAA,vibration_x,Noise,30,0.00811403508771929,0.00331583508548507,-0.292156384342557
3,99,NUAA,vibration_y,Saturation,30,1,0,24.9581641823801
3,99,NUAA,vibration_y,Dropout,30,1,0,9.11497907264581
3,99,NUAA,vibration_y,Bias,30,0.489912280701754,0.0486754214528467,15.6171404124771
3,99,NUAA,vibration_y,Noise,30,0.0432017543859649,0.0131219260342046,0.821898557309274
3,99,PHM2010,force_z,Saturation,30,1,0,41.1674683924903
3,99,PHM2010,force_z,Dropout,30,1,0,50.0166272725524
3,99,PHM2010,force_z,Bias,30,0.508994708994709,0.0154051336511515,15.8706360586711
3,99,PHM2010,force_z,Noise,30,0.233756613756614,0.0113201762900172,3.38085477372673
3,99,PHM2010,vibration_x,Saturation,30,0.998941798941799,4.51681028326696e-16,13.1518245300328
3,99,PHM2010,vibration_x,Dropout,30,0.831746031746032,0.0100926819632471,-5.39260955201407
3,99,PHM2010,vibration_x,Bias,30,0.151640211640212,0.0107992658836847,0.938901592682808
3,99,PHM2010,vibration_x,Noise,30,0.00564373897707231,0.00108818435790768,-0.3328280107232
3,99,PHM2010,vibration_y,Saturation,30,0.998941798941799,4.51681028326696e-16,5.7816785077647
3,99,PHM2010,vibration_y,Dropout,30,0.659647266313933,0.0134929995513555,-9.98718450056356
