DetectorFloor,DetectorQuantile,Dataset,IndependentUnitN,TechnicalRepeatN,MeanCleanTriggerRate,FullRelativeMAE,SQTRRelativeMAE,SQTRMinusFixed,RelativeImprovementPercent,UnitsImproved,UnitsWorsened,BootstrapCI_Lower,BootstrapCI_Upper,HolmAdjustedP
3,97.5,NUAA,9,30,0.135156398488205,1.45936828403186,1.08323766663449,-0.376130617397368,25.7735227983861,8,1,-0.658392588121606,-0.134555379686013,0.0234375
3,97.5,PHM2010,3,30,0.239153439153439,1.1909630842684,1.01776270539671,-0.173200378871695,14.5428839197052,2,1,-0.465086008700152,0.00817558747974956,0.5
3,97.5,Combined,12,30,0.161155658654514,1.39226698409099,1.06686892632504,-0.32539805776595,23.3718145646038,10,2,-0.550159217744419,-0.127763287984196,0.0146484375
3,99,NUAA,9,30,0.0405760005151485,1.45936828403186,1.09173559189484,-0.367632692137021,25.1912211714884,8,1,-0.644993104580318,-0.130311572948125,0.0234375
3,99,PHM2010,3,30,0.0296296296296296,1.1909630842684,1.055496086363,-0.135466997905396,11.3745757273923,2,1,-0.359594231939111,0.00830646593412432,0.5
3,99,Combined,12,30,0.0378394077937688,1.39226698409099,1.08267571551188,-0.309591268579115,22.2364871189735,10,2,-0.531413646817979,-0.118659274763593,0.0146484375
3,99.5,NUAA,9,30,0.0367445828906275,1.45936828403186,1.09109762873033,-0.368270655301525,25.2349361933567,8,1,-0.643885864860744,-0.131139813837626,0.0234375
3,99.5,PHM2010,3,30,0.0148148148148148,1.1909630842684,1.05782423477504,-0.133138849493362,11.1790912121468,2,1,-0.348356773308391,0.013034946133152,0.5
3,99.5,Combined,12,30,0.0312621408716743,1.39226698409099,1.08277928024151,-0.309487703849484,22.229048550738,10,2,-0.531828215150849,-0.118826532477587,0.0146484375
4,97.5,NUAA,9,30,0.135156398488205,1.45936828403186,1.08323766663449,-0.376130617397368,25.7735227983861,8,1,-0.658392588121606,-0.134555379686013,0.0234375
4,97.5,PHM2010,3,30,0.227513227513227,1.1909630842684,1.01807912633397,-0.172883957934431,14.5163154272436,2,1,-0.465086008700152,0.00817558747974956,0.5
4,97.5,Combined,12,30,0.158245605744461,1.39226698409099,1.06694803155936,-0.325318952531634,23.3661328070659,10,2,-0.550119665127261,-0.127732504045843,0.0146484375
4,99,NUAA,9,30,0.0405760005151485,1.45936828403186,1.09173559189484,-0.367632692137021,25.1912211714884,8,1,-0.644993104580318,-0.130311572948125,0.0234375
4,99,PHM2010,3,30,0.0296296296296296,1.1909630842684,1.055496086363,-0.135466997905396,11.3745757273923,2,1,-0.359594231939111,0.00830646593412432,0.5
4,99,Combined,12,30,0.0378394077937688,1.39226698409099,1.08267571551188,-0.309591268579115,22.2364871189735,10,2,-0.531413646817979,-0.118659274763593,0.0146484375
4,99.5,NUAA,9,30,0.0367445828906275,1.45936828403186,1.09109762873033,-0.368270655301525,25.2349361933567,8,1,-0.643885864860744,-0.131139813837626,0.0234375
4,99.5,PHM2010,3,30,0.0148148148148148,1.1909630842684,1.05782423477504,-0.133138849493362,11.1790912121468,2,1,-0.348356773308391,0.013034946133152,0.5
4,99.5,Combined,12,30,0.0312621408716743,1.39226698409099,1.08277928024151,-0.309487703849484,22.229048550738,10,2,-0.531828215150849,-0.118826532477587,0.0146484375
5,97.5,NUAA,9,30,0.135156398488205,1.45936828403186,1.08323766663449,-0.376130617397368,25.7735227983861,8,1,-0.658392588121606,-0.134555379686013,0.0234375
5,97.5,PHM2010,3,30,0.170370370370371,1.1909630842684,1.02055751669792,-0.170405567570481,14.3082157475234,2,1,-0.464334370770339,0.00887210238932812,0.5
5,97.5,Combined,12,30,0.143959891458746,1.39226698409099,1.06756762915035,-0.324699354940646,23.3216300214604,10,2,-0.549684533644015,-0.126659936382213,0.0146484375
5,99,NUAA,9,30,0.0405760005151485,1.45936828403186,1.09173559189484,-0.367632692137021,25.1912211714884,8,1,-0.644993104580318,-0.130311572948125,0.0234375
5,99,PHM2010,3,30,0.0296296296296296,1.1909630842684,1.055496086363,-0.135466997905396,11.3745757273923,2,1,-0.359594231939111,0.00830646593412432,0.5
5,99,Combined,12,30,0.0378394077937688,1.39226698409099,1.08267571551188,-0.309591268579115,22.2364871189735,10,2,-0.531413646817979,-0.118659274763593,0.0146484375
5,99.5,NUAA,9,30,0.0367445828906275,1.45936828403186,1.09109762873033,-0.368270655301525,25.2349361933567,8,1,-0.643885864860744,-0.131139813837626,0.0234375
5,99.5,PHM2010,3,30,0.0148148148148148,1.1909630842684,1.05782423477504,-0.133138849493362,11.1790912121468,2,1,-0.348356773308391,0.013034946133152,0.5
5,99.5,Combined,12,30,0.0312621408716743,1.39226698409099,1.08277928024151,-0.309487703849484,22.229048550738,10,2,-0.531828215150849,-0.118826532477587,0.0146484375
