Repeat,Seed,FullRelativeMAE,AutoRelativeMAE,RelativeImprovementPercent,MinimumUnitImprovementPercent,MaximumUnitImprovementPercent,IndependentUnitRows
1,2026071801,1.38837237704986,1.05694243672498,23.8718333642684,-11.6073603992626,55.5855050947778,12
2,2026071802,1.38914966031281,1.07433537531213,22.6623735364692,-12.8028972785584,51.3758497972837,12
3,2026071803,1.42039203358541,1.06491847370676,25.0264399879342,-15.8452426169846,54.8515244833462,12
4,2026071804,1.39198923255296,1.07052539078787,23.0938454297891,-7.05223663555999,52.6483181461412,12
5,2026071805,1.37531583728859,1.07225678695136,22.0355966331853,-21.8154093495507,48.3977670866073,12
6,2026071806,1.38337293069994,1.06410652643378,23.0788384810035,-13.8788894684658,55.6717914438193,12
7,2026071807,1.38541853957763,1.06746786090414,22.9497923977846,-19.9160920329862,53.3544404936111,12
8,2026071808,1.40346018810163,1.06506341970397,24.1116043950907,-12.6986488005571,54.48176303769,12
9,2026071809,1.40820938751227,1.06264990193591,24.538927849844,-15.0753836191792,54.5043948398577,12
10,2026071810,1.39282484733052,1.07225343958914,23.0159167791834,-18.0121284820877,50.8662467237228,12
11,2026071811,1.40657512193351,1.06404286739655,24.35221903158,-13.9427161085936,56.4781280261813,12
12,2026071812,1.39724125648385,1.07210574738069,23.2698188372539,-13.6979872894763,53.6948532259024,12
13,2026071813,1.39038209372096,1.07201176502117,22.8980458060824,-17.3656167941605,52.7069679702025,12
14,2026071814,1.39578851381939,1.06990911931201,23.347333158349,-13.1788781213134,53.9184986698203,12
15,2026071815,1.36179089251257,1.06370999131723,21.8888893173139,-21.569207613667,50.9941353469864,12
16,2026071816,1.40475519337661,1.07461198802466,23.5018319852856,-15.2666545221939,55.6104060109259,12
17,2026071817,1.39127642806292,1.06431327868018,23.5009479631568,-19.1120417468128,53.4154166643549,12
18,2026071818,1.39603641277161,1.07022070855826,23.3386250697068,-12.5586758003869,50.7488138067089,12
19,2026071819,1.39667407657285,1.06953085359632,23.4230181875555,-18.3415595844378,51.7936310585384,12
20,2026071820,1.40378505366319,1.06401666750678,24.2037329910146,-15.0265380209161,52.5540298262797,12
21,2026071821,1.39823528484706,1.06885581175081,23.5567988210424,-21.0277678543976,55.1008787709674,12
22,2026071822,1.38118158574016,1.06489615478042,22.8996269733962,-15.1953559492987,54.3899312377071,12
23,2026071823,1.36933799412819,1.06538493356036,22.197080769774,-11.7470149400533,51.738424759799,12
24,2026071824,1.40362802967853,1.06541545447007,24.095598552981,-14.0065891379105,53.8200350322039,12
25,2026071825,1.3822960933303,1.06189036980419,23.1792396051825,-12.1105827859148,53.3634234410778,12
26,2026071826,1.40370481901233,1.06630124964171,24.0366467935915,-17.4089439505998,55.0418036528899,12
27,2026071827,1.3870210639726,1.06459289216877,23.2460905013485,-13.8093184364059,53.6834141753471,12
28,2026071828,1.38461623039173,1.07209082545958,22.5712654577027,-15.9351287672114,54.8974561100936,12
29,2026071829,1.38081397256101,1.06448017684933,22.909226151947,-14.5274577725359,52.4288316263426,12
30,2026071830,1.39436437213883,1.05954047945169,24.0126540363015,-18.318462714946,52.2360091266331,12
