Dataset,Experiment,RunLevelN,TechnicalRepeatN,CleanFullMAE,CleanMedianReplacementMAE,CleanMaskDropoutMAE,CleanAutoMAE,CleanTriggerRate,FullRelativeMAE,MedianReplacementRelativeMAE,MaskDropoutRelativeMAE,AutoRelativeMAE,MedianReplacementRelativeMAESD,MaskDropoutRelativeMAESD,AutoRelativeMAESD,MedianImprovementPercent,MaskDropoutImprovementPercent,AutoImprovementPercent
NUAA,W1,29,30,0.0189662457220917,0.0182759483719491,0.0170741751509185,0.0186268797759544,0.137931034482759,2.17827003816358,1.04263019967203,0.994526728340506,1.01542838674141,0.0236151059387525,0.0204919594549405,0.0261410661198994,52.1349428030039,54.3432765030844,53.3837233698775
NUAA,W2,17,30,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0139356538370896,0.117647058823529,2.23370166235103,1.1414393150595,1.28210640542459,1.16124083205886,0.0292666297174624,0.0312302888893945,0.0309219637099193,48.8992046566277,42.6017168257313,48.0127157699017
NUAA,W3,11,30,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0295033416448534,0,1.25088602579391,0.987557198707271,0.916708272001454,0.984248633800529,0.00823752282980738,0.0110074397669213,0.00763330659317397,21.0513845111918,26.7152839588533,21.3158822222956
NUAA,W4,28,30,0.0499947737234601,0.0491688217260779,0.0505121994922675,0.0490388805558007,0.0714285714285714,1.23260070974598,0.956876439896617,0.961507426422958,0.976288656191872,0.00830929676583519,0.00690315478054207,0.00787032283743484,22.3693096774367,21.9936011053319,20.7944106739098
NUAA,W5,7,30,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0308928557556908,0.142857142857143,1.75663846963354,1.22408723530971,1.25724338316881,1.48429487570594,0.0453593918347249,0.0427997558268132,0.0475465307214224,30.3164961675311,28.4290191236055,15.5036792507694
NUAA,W6,14,30,0.0360025923619169,0.0375772410008179,0.0365848603558963,0.0340589736308353,0.714285714285714,1.21106252999213,1.02929346706211,1.00943172550221,0.966606400051257,0.0114511635286824,0.0123115488066684,0.0163035553896123,15.0090567933932,16.6490828918,20.1852607843843
NUAA,W7,8,30,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0769839701819179,0,1.03979940188322,1.00588621062816,0.977641046012481,0.994193178814066,0.00634062540543839,0.00764989176895159,0.00851286208610963,3.26151286427315,5.9779180251655,4.38605975215562
NUAA,W8,31,30,0.0589604040915583,0.0591326667941798,0.060023138097507,0.0592211516527759,0.032258064516129,1.26331328234891,1.03220218213648,1.01855694560795,1.05028527470464,0.00824538271870713,0.00959930037676136,0.00796635518205529,18.2940449880112,19.3741600092954,16.8626429105675
NUAA,W9,7,30,0.0521760460864791,0.0521760460864791,0.0557387638430218,0.0521760460864791,0,0.968042436374422,1.05776367609956,1.12170169855706,1.11655276164184,0.0128258630447881,0.0133668873464797,0.012680118805828,-9.2683167962315,-15.87319485271,-15.3413031998505
PHM2010,c1,315,30,0.00801215564201791,0.00821963004933839,0.0103057563070408,0.00820980429070592,0.155555555555556,1.178989306675,0.94887220676012,1.15786417802903,1.12323487234457,0.00265120390671727,0.00282489583220398,0.00279682469687806,19.5181668410429,1.79179985148062,4.72900254605975
PHM2010,c4,315,30,0.0150087833008585,0.0153940371669928,0.0154407371591062,0.0151602866397704,0.0857142857142857,1.03106538370073,1.12312464055256,1.1245554988619,1.03993748609006,0.00188646987276666,0.00171043077255299,0.00113331544739029,-8.92855664704905,-9.06733138742483,-0.860479124755805
PHM2010,c6,315,30,0.0145958561471217,0.0128306963206125,0.0109405491172038,0.0133638349083548,0.26984126984127,1.36283456242947,0.962108302038319,0.798984508950566,0.898500191659135,0.00520211327983737,0.00354402796540364,0.00443929118230082,29.4038815450054,41.3733309253438,34.071220643435
