CaseID,ActualWearThreshold,HighWearRecordN,Model,MAE,RMSE,MeanResidual,UnderpredictionRate,AlertMissRate,AlertSensitivity,LargeUnderpredictionN,MaximumUnderprediction
1,0.3,6,PrimaryTimeGated,0.0282025767959472,0.0378503022956311,0.0282025767959472,0,0,1,0,0
1,0.3,6,SafetyWeightedTimeGated,0.0282025767959472,0.0378503022956311,0.0282025767959472,0,0,1,0,0
2,0.3,5,PrimaryTimeGated,0.0482613592826208,0.0511800481019402,0.0482613592826208,0,0,1,0,0
2,0.3,5,SafetyWeightedTimeGated,0.0379691798812332,0.0451792547204968,0.0346070430390736,0.2,0,1,0,0.00840534210539901
3,0.3,4,PrimaryTimeGated,0.062109462642679,0.0734839796449299,0.056895409545552,0.25,0,1,0,0.010428106194254
3,0.3,4,SafetyWeightedTimeGated,0.062109462642679,0.0734839796449299,0.056895409545552,0.25,0,1,0,0.010428106194254
4,0.3,4,PrimaryTimeGated,0.0973126940658022,0.0994570468390491,-0.0973126940658022,1,0.5,0.5,0,0.124328703829035
4,0.3,4,SafetyWeightedTimeGated,0.0973126940658022,0.0994570468390491,-0.0973126940658022,1,0.5,0.5,0,0.124328703829035
9,0.3,4,PrimaryTimeGated,0.088391975963535,0.0906646273169086,-0.00157825404872651,0.5,0,1,0,0.118293078694769
9,0.3,4,SafetyWeightedTimeGated,0.088391975963535,0.0906646273169086,-0.00157825404872651,0.5,0,1,0,0.118293078694769
10,0.3,5,PrimaryTimeGated,0.081482462128093,0.0991656971948483,0.0498249173123802,0.2,0,1,0,0.0791438620392819
10,0.3,5,SafetyWeightedTimeGated,0.081482462128093,0.0991656971948483,0.0498249173123802,0.2,0,1,0,0.0791438620392819
11,0.3,8,PrimaryTimeGated,0.0771004014028362,0.0909726429398305,-0.0675859268393857,0.875,0,1,0,0.154259720114944
11,0.3,8,SafetyWeightedTimeGated,0.0771004014028362,0.0909726429398305,-0.0675859268393857,0.875,0,1,0,0.154259720114944
12,0.3,6,PrimaryTimeGated,0.0686387547807065,0.0762848877561441,-0.0630961262510455,0.833333333333333,0,1,0,0.120247370200184
12,0.3,6,SafetyWeightedTimeGated,0.0686387547807065,0.0762848877561441,-0.0630961262510455,0.833333333333333,0,1,0,0.120247370200184
5,0.3,3,PrimaryTimeGated,0.240437377109077,0.24423580087197,0.240437377109077,0,0,1,0,0
5,0.3,3,SafetyWeightedTimeGated,0.240437377109077,0.24423580087197,0.240437377109077,0,0,1,0,0
7,0.3,2,PrimaryTimeGated,0.112448691169647,0.128927646922135,-0.0630684548337115,0.5,0.5,0.5,0,0.175517146003359
7,0.3,2,SafetyWeightedTimeGated,0.112448691169647,0.128927646922135,-0.0630684548337115,0.5,0.5,0.5,0,0.175517146003359
