caseList,LambdaProcessTime,LambdaProcessTimeQ,LambdaAllTime,LambdaAllTimeQ,LambdaDropTime,LambdaDropTimeQ,RouteOnlyGate,RoutePlusQGate
1,10,10,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.01,0.01
2,3.16227766016838,10,316.227766016838,316.227766016838,3.16227766016838,316.227766016838,0.1,0.01
3,3.16227766016838,3.16227766016838,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.01,0.01
4,10,31.6227766016838,316.227766016838,316.227766016838,100,100,0.01,0.01
5,10,10,316.227766016838,316.227766016838,100,100,0.01,0.01
6,10,10,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.01,0.01
7,3.16227766016838,31.6227766016838,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.01,0.01
8,10,31.6227766016838,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.01,0.01
9,10,31.6227766016838,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.1,0.1
10,10,31.6227766016838,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.1,0.1
11,1,1,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.01,0.01
12,10,31.6227766016838,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.1,0.1
13,10,10,100,100,31.6227766016838,100,0.01,0.1
14,3.16227766016838,10,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.01,0.01
15,10,31.6227766016838,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.01,0.01
16,10,31.6227766016838,316.227766016838,316.227766016838,316.227766016838,316.227766016838,0.01,0.01
