Dataset,Experiment,TechnicalRepeatN,RecordScenarioRows,FullMAE,TargetMedianMAE,TargetMaskMAE,TargetExclusionMAE,SQTRMAE,OracleEnvelopeMAE,MeanSQTRRegret,CorrectDetectionRate,MissRate,WrongChannelRate
NUAA,W1,30,10440,0.0413136047928806,0.0185553827647353,0.017991276933999,0.017804510141515,0.0198150985412757,0.0137914979608967,0.00602360058037901,0.645785440613027,0.336781609195402,0.0174329501915709
NUAA,W2,30,6120,0.0331651356397806,0.0166349719426585,0.0187403161562768,0.0170708137146467,0.0173288269758962,0.0137585182971869,0.0035703086787092,0.666830065359477,0.29983660130719,0.0333333333333333
NUAA,W3,30,3960,0.0369053177777707,0.0290153091265431,0.026728738490231,0.0289101768780234,0.0291905347203509,0.0227600538963353,0.00643048082401554,0.645707070707071,0.354292929292929,0
NUAA,W4,30,10080,0.0616235935751265,0.0476074267492079,0.0479084665987777,0.0492552500877393,0.0497845921490214,0.0378009558086353,0.0119836363403862,0.644246031746032,0.34672619047619,0.00902777777777778
NUAA,W5,30,2520,0.0427098636172851,0.0255454945772643,0.0260253155141626,0.0345617725682069,0.0362966643576548,0.0214165456889961,0.0148801186686587,0.662301587301587,0.283730158730159,0.053968253968254
NUAA,W6,30,5040,0.0436013905920984,0.0367540215224481,0.0361079957493065,0.0339946212140413,0.0351364149270045,0.030118073323118,0.00501834160388653,0.625793650793651,0.374206349206349,0
NUAA,W7,30,2880,0.0800478861497539,0.0773559119888841,0.0750788757607104,0.0759281656628985,0.0766635879104808,0.0667759599770032,0.00988762793347767,0.639930555555556,0.360069444444444,0
NUAA,W8,30,11160,0.0744854616215247,0.0600533087270669,0.0584417691111438,0.0613212567402407,0.0624031679620338,0.0531933599371081,0.00920980802492573,0.616129032258064,0.383870967741935,0
NUAA,W9,30,2520,0.0505086267739393,0.0563327257659842,0.059938388759571,0.060947806302098,0.0576817553813511,0.0463075834771031,0.011374171904248,0.64484126984127,0.35515873015873,0
PHM2010,c1,30,113400,0.00944624582535491,0.00689336446936604,0.00851413909005604,0.00910785689079504,0.00900467006699877,0.0054504369906059,0.00355423307639287,0.540467372134039,0.43952380952381,0.0200088183421517
PHM2010,c4,30,113400,0.0154750369129808,0.0172821992083466,0.0173630163536654,0.0155812589545417,0.015599706860182,0.0137134189888463,0.00188628787133569,0.619717813051146,0.371984126984127,0.00829805996472663
PHM2010,c6,30,113400,0.0198917372255462,0.0135107781072597,0.0108364832886463,0.0122900163597495,0.0146431515448282,0.00752797339032137,0.0071151781545068,0.447186948853616,0.55005291005291,0.00276014109347443
