Dataset,TargetSensor,FaultType,SeverityBin,RecordScenarioRows,IndependentUnitN,TechnicalRepeatN,MeanDurationFraction,MeanSeverity,FixedMAE,DetectorGuidedMedianMAE,DetectorGuidedMaskMAE,SQTR_MAE,BestDeployableResponse,OracleEnvelopeMAE,MeanSQTRRegret,CorrectDetectionRate,MissRate,WrongChannelRate,OracleFullFraction,OracleMedianFraction,OracleMaskFraction,OracleExclusionFraction
NUAA,force_z,Saturation,Low,1539,9,30,0.201641695950013,0.201641695950013,0.0737597393821337,0.0448521354336344,0.044128039280634,0.0462535189341823,MaskDropout,0.031712323420232,0.0145411955139503,0.903183885640026,0.0909681611435997,0.00584795321637427,0.224171539961014,0.211176088369071,0.350877192982456,0.213775178687459
NUAA,force_z,Saturation,Medium,1530,9,30,0.399746263973521,0.399746263973521,0.113691913348146,0.0417908646856806,0.0411096219011602,0.0437804605891437,MaskDropout,0.0347867089512524,0.00899375163789139,0.999346405228758,0,0.00065359477124183,0.0725490196078431,0.247058823529412,0.419607843137255,0.26078431372549
NUAA,force_z,Saturation,High,1491,9,30,0.602008967492437,0.602008967492437,0.0938052817490601,0.0402343211461117,0.0392309243291553,0.0417727905740002,MaskDropout,0.0319843069163198,0.00978848365768047,1,0,0,0.117370892018779,0.222669349429913,0.408450704225352,0.251509054325956
NUAA,force_z,Dropout,Low,1552,9,30,0.199445520492798,0.199445520492798,0.0446838271386401,0.0427256425191627,0.0421362531078581,0.0440108367957005,MaskDropout,0.0341865881113453,0.00982424868435525,0.804768041237113,0.188788659793814,0.00644329896907216,0.365979381443299,0.14819587628866,0.316365979381443,0.169458762886598
NUAA,force_z,Dropout,Medium,1521,9,30,0.398456174358118,0.398456174358118,0.0522629634013877,0.0402067064067243,0.0394216406485408,0.0417143883454948,MaskDropout,0.0318875984511599,0.00982678989433492,0.986850756081525,0.00854700854700855,0.00460223537146614,0.236028928336621,0.181459566074951,0.36620644312952,0.216305062458909
NUAA,force_z,Dropout,High,1487,9,30,0.599484709454934,0.599484709454934,0.067373423214385,0.0420416453758083,0.0411213085953382,0.044086070138544,MaskDropout,0.0322527500624474,0.0118333200760966,1,0,0,0.276395427034297,0.147276395427034,0.391392064559516,0.184936112979153
NUAA,force_z,Bias,Low,1599,9,30,0.604508721968322,0.921417253291698,0.0436263315780763,0.0436229936109913,0.0441207209004268,0.0436165199826927,SQTR,0.0326866968310665,0.0109298231516262,0.185115697310819,0.786741713570982,0.0281425891181989,0.358974358974359,0.16072545340838,0.302063789868668,0.178236397748593
NUAA,force_z,Bias,Medium,1494,9,30,0.603087501833228,1.73751052146564,0.0562363553006847,0.0439248824842673,0.0432217582798387,0.0449691877376001,MaskDropout,0.0281883876986872,0.0167808000389129,0.712182061579652,0.278447121820616,0.00937081659973226,0.313253012048193,0.180053547523427,0.306559571619813,0.200133868808568
NUAA,force_z,Bias,High,1467,9,30,0.608075208229171,2.5828839676658,0.0943532708581056,0.0484641693681307,0.0474671692290984,0.0496921270525229,MaskDropout,0.0334093019258801,0.0162828251266428,0.828220858895706,0.16359918200409,0.0081799591002045,0.130879345603272,0.216087252897069,0.405589638718473,0.247443762781186
NUAA,force_z,Noise,Low,1565,9,30,0.605198959271579,0.549195523380011,0.0429369767702771,0.0424153353593228,0.0429028757566746,0.0424981184143782,Median,0.0311083879569996,0.0113897304573787,0.216613418530351,0.761022364217252,0.0223642172523962,0.371246006389776,0.150159744408946,0.29776357827476,0.180830670926518
NUAA,force_z,Noise,Medium,1519,9,30,0.602899447862077,1.12971496223899,0.0802587976096964,0.0461378686307646,0.0456559107420969,0.0473377211118475,MaskDropout,0.0307201304006466,0.016617590711201,0.749177090190915,0.233706385780118,0.0171165240289664,0.201448321263989,0.219881500987492,0.342330480579329,0.23633969716919
NUAA,force_z,Noise,High,1476,9,30,0.592109954844968,1.70417834879058,0.147771057640624,0.0490808683613723,0.0478779755324247,0.0507518428044749,MaskDropout,0.0356508354733352,0.0151010073311396,0.907181571815718,0.0860433604336043,0.00677506775067751,0.0616531165311653,0.247289972899729,0.449864498644986,0.241192411924119
NUAA,vibration_x,Saturation,Low,1476,9,30,0.199475040334655,0.199475040334655,0.0387992517165965,0.0392175568209563,0.0392780514459434,0.0397856874871292,Fixed,0.0352725737750436,0.00451311371208561,1,0,0,0.340108401084011,0.0535230352303523,0.403794037940379,0.202574525745257
NUAA,vibration_x,Saturation,Medium,1540,9,30,0.398845328420641,0.398845328420641,0.0394778732101441,0.0393384812337687,0.0391663770266934,0.0399627724065071,MaskDropout,0.0349456807921611,0.00501709161434607,1,0,0,0.349350649350649,0.0727272727272727,0.407792207792208,0.17012987012987
NUAA,vibration_x,Saturation,High,1544,9,30,0.600860190452012,0.600860190452012,0.038263814035338,0.0400437391398404,0.0400970675555958,0.0405493552679015,Fixed,0.031415587338402,0.00913376792949944,1,0,0,0.393134715025907,0.0893782383419689,0.288212435233161,0.229274611398964
NUAA,vibration_x,Dropout,Low,1544,9,30,0.200600417753333,0.200600417753333,0.0400200056192831,0.0397367315832749,0.0398139269667153,0.0402638374892498,Median,0.0360595803343227,0.00420425715492708,1,0,0,0.121113989637306,0.160621761658031,0.465025906735751,0.253238341968912
NUAA,vibration_x,Dropout,Medium,1471,9,30,0.403088591297767,0.403088591297767,0.0393739930066177,0.0394675220340409,0.0391901267637897,0.0400502237501816,MaskDropout,0.0357034825725498,0.0043467411776318,1,0,0,0.157036029911625,0.150237933378654,0.467029231815092,0.22569680489463
NUAA,vibration_x,Dropout,High,1545,9,30,0.60007633261515,0.60007633261515,0.0390044870437586,0.0394069059695781,0.0395334091618234,0.0399956663758865,Fixed,0.0357609851052234,0.00423468127066312,1,0,0,0.18705501618123,0.135275080906149,0.43495145631068,0.242718446601942
NUAA,vibration_x,Bias,Low,1537,9,30,0.591378042945964,0.917242209267169,0.0398672583093198,0.0398320066572403,0.0403938010918716,0.0397991234296056,SQTR,0.0359259079336256,0.00387321549597998,0.0123617436564736,0.956408588158751,0.0312296681847755,0.211450878334418,0.122966818477554,0.438516590761223,0.227065712426805
NUAA,vibration_x,Bias,Medium,1524,9,30,0.60126593218233,1.74962561610319,0.0400761940040623,0.0400679104395899,0.0405689074204589,0.0402383248368538,Median,0.0352410264164022,0.00499729842045162,0.0282152230971129,0.941601049868766,0.0301837270341207,0.232283464566929,0.110892388451444,0.431758530183727,0.2250656167979
NUAA,vibration_x,Bias,High,1499,9,30,0.590706506803239,2.59472163138332,0.040769563094068,0.0403565726456935,0.0412885950181851,0.0404640823340309,Median,0.0351554303420862,0.00530865199194471,0.155436957971981,0.809873248832555,0.0346897931954636,0.241494329553035,0.124749833222148,0.418278852568379,0.215476984656438
NUAA,vibration_x,Noise,Low,1537,9,30,0.591371637982142,0.531323925366041,0.0388890527484281,0.0390613814810554,0.0396774013066023,0.0390760208754567,Fixed,0.035084497278561,0.00399152359689574,0.00780741704619388,0.959661678594665,0.0325309043591412,0.127521145087833,0.148991541964867,0.469746258945999,0.253741054001301
NUAA,vibration_x,Noise,Medium,1518,9,30,0.591472321485265,1.1250723468072,0.0412022715658532,0.0412714572635329,0.042120587410258,0.0412538657564883,Fixed,0.0369191015918168,0.00433476416467141,0.00461133069828722,0.962450592885375,0.0329380764163373,0.14163372859025,0.168642951251647,0.47364953886693,0.216073781291173
NUAA,vibration_x,Noise,High,1505,9,30,0.595415761670078,1.70545893444498,0.0405957245343466,0.0406696372758438,0.0419839509707505,0.040708682665042,Fixed,0.0357809388802267,0.00492774378481525,0.0119601328903654,0.954817275747508,0.0332225913621262,0.179401993355482,0.158139534883721,0.462458471760797,0.2
NUAA,vibration_y,Saturation,Low,1500,9,30,0.2003463286358,0.2003463286358,0.0394942385858894,0.0389538984525554,0.0389967184143636,0.0389315919703279,SQTR,0.0332175495566272,0.0057140424137007,1,0,0,0.291333333333333,0.12,0.279333333333333,0.309333333333333
NUAA,vibration_y,Saturation,Medium,1498,9,30,0.399854596558712,0.399854596558712,0.0409587763735185,0.0377593337858025,0.0375153104130651,0.0376480596738792,MaskDropout,0.029927175475655,0.00772088419822418,1,0,0,0.363818424566088,0.148197596795728,0.237650200267023,0.250333778371162
NUAA,vibration_y,Saturation,High,1562,9,30,0.59987097774674,0.59987097774674,0.0711877600707991,0.0378024369740162,0.0377896614993637,0.0377187494257088,SQTR,0.0319500703665532,0.00576867905915553,1,0,0,0.192061459667093,0.222791293213828,0.282330345710627,0.302816901408451
