Dataset,Experiment,TargetSensor,FaultType,SeverityBin,RecordScenarioRows,TechnicalRepeatN,FixedMAE,DetectorGuidedMedianMAE,DetectorGuidedMaskMAE,SQTR_MAE,OracleEnvelopeMAE,MeanSQTRRegret,CorrectDetectionRate,MissRate,WrongChannelRate
NUAA,W1,force_z,Saturation,Low,276,30,0.108476325062939,0.02429708041954,0.0249586725424729,0.0229523061749573,0.0136919451294838,0.00926036104547353,0.902173913043478,0.0905797101449275,0.0072463768115942
NUAA,W2,force_z,Saturation,Low,181,30,0.0771551695415583,0.0208809385284141,0.0224914362463501,0.0223498719614283,0.0163919288771444,0.00595794308428385,0.983425414364641,0.0165745856353591,0
NUAA,W3,force_z,Saturation,Low,108,30,0.0472051290168376,0.0271791538414784,0.0255375712372446,0.0269886715204337,0.0171652626898696,0.00982340883056408,0.981481481481482,0.0185185185185185,0
NUAA,W4,force_z,Saturation,Low,287,30,0.0485929094466257,0.0489463407589368,0.0450253701027617,0.0505436183678747,0.0267838957830774,0.0237597225847973,0.912891986062718,0.0801393728222996,0.00696864111498258
NUAA,W5,force_z,Saturation,Low,72,30,0.0837706564980335,0.0355367541804755,0.0372009434050255,0.0430390618231799,0.0242098872756093,0.0188291745475706,0.847222222222222,0.0833333333333333,0.0694444444444444
NUAA,W6,force_z,Saturation,Low,148,30,0.0588510831502679,0.0398381234346233,0.0388974320965228,0.0392453210394257,0.0293425573283806,0.00990276371104511,0.905405405405405,0.0945945945945946,0
NUAA,W7,force_z,Saturation,Low,80,30,0.0947050654306719,0.0851261686066907,0.0853734413046481,0.084797895017505,0.070661307264999,0.014136587752506,0.875,0.125,0
NUAA,W8,force_z,Saturation,Low,310,30,0.0837905538275731,0.0683635945846322,0.0667042787227072,0.072702047355519,0.0600063428501,0.012695704505419,0.838709677419355,0.161290322580645,0
NUAA,W9,force_z,Saturation,Low,77,30,0.0295382346053403,0.0662538645602985,0.0692166282287077,0.066943130751919,0.0282836632183402,0.0386594675335788,0.909090909090909,0.0909090909090909,0
NUAA,W1,force_z,Saturation,Medium,286,30,0.174223453315612,0.0186942616406434,0.0201533966045004,0.0174752330232124,0.0141662091711356,0.00330902385207676,1,0,0
NUAA,W2,force_z,Saturation,Medium,173,30,0.119916882982763,0.021525811445309,0.02286017370093,0.0229109838829932,0.018381121556041,0.00452986232695224,1,0,0
NUAA,W3,force_z,Saturation,Medium,111,30,0.0898998447271634,0.0297249665356482,0.0281183405457889,0.0293557150712314,0.0243442715018612,0.00501144356937024,1,0,0
NUAA,W4,force_z,Saturation,Medium,273,30,0.103112483275103,0.0504159733758449,0.0479467834804908,0.0539002103036612,0.0406560508545746,0.0132441594490866,1,0,0
NUAA,W5,force_z,Saturation,Medium,71,30,0.133460405996868,0.0258738076323296,0.0305980434896802,0.0370001788586819,0.0239316994725357,0.0130684793861462,0.985915492957746,0,0.0140845070422535
NUAA,W6,force_z,Saturation,Medium,142,30,0.101953059306231,0.0350505135809545,0.0346288209510824,0.0344018119766841,0.0307138565808432,0.00368795539584098,1,0,0
NUAA,W7,force_z,Saturation,Medium,80,30,0.115092121930011,0.0779589783770312,0.0761476856862734,0.0775226971239869,0.070256047144472,0.00726664997951486,1,0,0
NUAA,W8,force_z,Saturation,Medium,317,30,0.090807784459437,0.0625760787451432,0.0585744324725348,0.0673700670782706,0.05792469563007,0.00944537144820068,1,0,0
NUAA,W9,force_z,Saturation,Medium,77,30,0.0428577616137207,0.0638820550649643,0.0677762172383655,0.0646642730623495,0.0278928342850793,0.0367714387772701,1,0,0
NUAA,W1,force_z,Saturation,High,308,30,0.135776086759761,0.0179521633303193,0.0197317172444974,0.0163873090754189,0.0135158046928422,0.00287150438257674,1,0,0
NUAA,W2,force_z,Saturation,High,156,30,0.0948403849823682,0.0202400316490388,0.0215764100114292,0.0215812630024051,0.0171148439811373,0.00446641902126779,1,0,0
NUAA,W3,force_z,Saturation,High,111,30,0.068765765902049,0.0302327096511939,0.0278610083284559,0.0294601151461003,0.0219749577601549,0.00748515738594533,1,0,0
NUAA,W4,force_z,Saturation,High,280,30,0.0743079319795332,0.0487641643956951,0.0453648760717811,0.0503878025993631,0.0352504430204881,0.0151373595788751,1,0,0
NUAA,W5,force_z,Saturation,High,67,30,0.102543808415469,0.0238587673241599,0.028026176607443,0.0345415932915793,0.0237710985917827,0.0107704946997967,1,0,0
NUAA,W6,force_z,Saturation,High,130,30,0.0688776032201242,0.0372042940515082,0.0367906042045505,0.036274159196698,0.0288491613940384,0.00742499780265968,1,0,0
NUAA,W7,force_z,Saturation,High,80,30,0.0855312307631358,0.0735492364708746,0.0690007428358283,0.0730516310510811,0.0598272450344757,0.0132243860166054,1,0,0
NUAA,W8,force_z,Saturation,High,303,30,0.10060419040459,0.0606291174422787,0.0569842484814238,0.0657577100022776,0.0563127940236328,0.00944491597864483,1,0,0
NUAA,W9,force_z,Saturation,High,56,30,0.0296469214839576,0.0643429936373526,0.0680082675195925,0.0659278741483595,0.0241868387477296,0.04174103540063,1,0,0
NUAA,W1,force_z,Dropout,Low,285,30,0.0179924149012019,0.0180836209010996,0.0195550991782222,0.0170368121164991,0.0110710326041259,0.0059657795123732,0.803508771929825,0.189473684210526,0.00701754385964912
NUAA,W2,force_z,Dropout,Low,169,30,0.0199384270730462,0.0209787167405151,0.0223591833836942,0.0224742487859131,0.014899078090249,0.00757517069566409,0.72189349112426,0.27810650887574,0
NUAA,W3,force_z,Dropout,Low,98,30,0.031445391595114,0.0279707977444647,0.0264170019752473,0.0274964069686821,0.0184644518964774,0.00903195507220471,0.877551020408163,0.122448979591837,0
NUAA,W4,force_z,Dropout,Low,308,30,0.0621990547079537,0.0508196620446931,0.0491633566829499,0.0514974035066406,0.0398549673198555,0.0116424361867851,0.792207792207792,0.207792207792208,0
NUAA,W5,force_z,Dropout,Low,68,30,0.0184671365073448,0.0248429558729532,0.0263826292058607,0.0321984171232295,0.0135025210641897,0.0186958960590398,0.691176470588235,0.191176470588235,0.117647058823529
NUAA,W6,force_z,Dropout,Low,143,30,0.0437305068159907,0.0408173843408771,0.0402298226104489,0.0403935853934992,0.0352566848423637,0.00513690055113549,0.734265734265734,0.265734265734266,0
NUAA,W7,force_z,Dropout,Low,81,30,0.0755112743086866,0.0770340276403005,0.0747908659817812,0.0766615335437736,0.0608652288712813,0.0157963046724923,0.962962962962963,0.037037037037037,0
NUAA,W8,force_z,Dropout,Low,320,30,0.0605484367728143,0.0610262585668628,0.0577281542028292,0.0654868478442499,0.0532780926811362,0.0122087551631137,0.875,0.125,0
NUAA,W9,force_z,Dropout,Low,80,30,0.0701471165890105,0.0740375259336297,0.0779303325639113,0.0745522555384244,0.0670074934706175,0.00754476206780692,0.725,0.275,0
NUAA,W1,force_z,Dropout,Medium,318,30,0.0276818483158277,0.0175458205947137,0.0191661040014258,0.0164143912207937,0.0098828581390533,0.00653153308174041,0.971698113207547,0.0220125786163522,0.00628930817610063
NUAA,W2,force_z,Dropout,Medium,166,30,0.0290889645610642,0.0195784192718539,0.021285849681946,0.0198162864467931,0.0144882906869229,0.00532799575987028,0.993975903614458,0.00602409638554217,0
NUAA,W3,force_z,Dropout,Medium,115,30,0.0371537457011675,0.0285801231372749,0.0259803860668078,0.0278653267927475,0.0169549348270303,0.0109103919657172,1,0,0
NUAA,W4,force_z,Dropout,Medium,282,30,0.0727694602271839,0.0500658312890326,0.0466318824856157,0.0521547253238087,0.0413604893648821,0.0107942359589266,1,0,0
NUAA,W5,force_z,Dropout,Medium,70,30,0.0230206327968328,0.0245379794982032,0.0274503705463749,0.0347338606582077,0.0136033207682694,0.0211305398899383,0.928571428571429,0,0.0714285714285714
NUAA,W6,force_z,Dropout,Medium,131,30,0.044268551452997,0.0347917321774287,0.0342757586166579,0.034044915440205,0.0255892765108992,0.00845563892930578,0.977099236641221,0.0229007633587786,0
NUAA,W7,force_z,Dropout,Medium,80,30,0.0757223448684286,0.0778887029541467,0.0757594865864246,0.0773796342166296,0.0558596959747746,0.0215199382418549,1,0,0
NUAA,W8,force_z,Dropout,Medium,285,30,0.0785684347662684,0.0625190655737566,0.0589874099381572,0.0675047124661795,0.0569717582282648,0.0105329542379148,1,0,0
NUAA,W9,force_z,Dropout,Medium,74,30,0.0703552280845818,0.0620963230691536,0.0663552293490597,0.063590427482495,0.0585081371110372,0.00508229037145786,0.972972972972973,0.027027027027027,0
NUAA,W1,force_z,Dropout,High,267,30,0.0314405270708638,0.0187163558786838,0.0201399642328242,0.016754468873438,0.0102252659329506,0.00652920294048744,1,0,0
NUAA,W2,force_z,Dropout,High,175,30,0.0447929821610287,0.020918039998247,0.0219948847690452,0.0231204199675278,0.0151306107034826,0.00798980926404518,1,0,0
NUAA,W3,force_z,Dropout,High,117,30,0.0334391391118628,0.0301969420921106,0.0285463905773892,0.0298827801794004,0.0183317720214363,0.0115510081579641,1,0,0
NUAA,W4,force_z,Dropout,High,250,30,0.0559497709381053,0.0521996227077606,0.0490923303325514,0.0557020590458082,0.0359713014682896,0.0197307575775186,1,0,0
NUAA,W5,force_z,Dropout,High,72,30,0.0278468269735943,0.0236478882962387,0.0276413142707282,0.0343104839599905,0.0176367101440515,0.016673773815939,1,0,0
NUAA,W6,force_z,Dropout,High,146,30,0.0493316550863495,0.0370128923482146,0.0366479796080148,0.0362903622880532,0.0276425580270194,0.00864780426103384,1,0,0
NUAA,W7,force_z,Dropout,High,79,30,0.0763826244615303,0.0804328437861831,0.0782812218490849,0.0800762756562736,0.0541391821471803,0.0259370935090933,1,0,0
