Dataset,Unit,Repeat,TargetSensor,FaultMode,SequenceLength,FaultOnsetRecord,FullRelativeMAE,PointRelativeMAE,StatefulRelativeMAE,OracleRelativeMAE,PointEventDetected,StatefulEventDetected,PointDetectionDelay,StatefulDetectionDelay,PointTriggerRate,StatefulTriggerRate,StatefulSwitchCount,PointPreOnsetFalseRate,StatefulPreOnsetFalseRate
NUAA,W1,0,None,Clean,29,Inf,1,1,1,1,0,0,NaN,NaN,0.0689655172413793,0,0,0.0689655172413793,0
NUAA,W1,1,force_z,LinearBiasDrift,29,9,2.03575943307707,2.00688074824168,2.03575943307707,0.756227409810476,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,1,force_z,GainDrift,29,7,3.04460886712013,0.802207645718597,0.822999524570618,0.744868120862816,1,1,1,4,0,0,1,0,0
NUAA,W1,1,force_z,ColoredNoiseRamp,29,12,3.69610239512665,1.5290773390506,1.39499629357133,0.778003647649525,1,1,9,9,0,0,1,0,0
NUAA,W1,1,force_z,IntermittentRecordDropout,29,10,0.849382405297701,0.892355751484499,0.89431273095521,0.7750044235785,1,1,7,7,0,0,2,0,0
NUAA,W1,1,vibration_x,LinearBiasDrift,29,6,0.915198443494194,0.888860448775408,0.915198443494194,1.00468253429265,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,1,vibration_x,GainDrift,29,11,1.21957383331908,1.18711743895188,1.21957383331908,1.19776781318497,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,1,vibration_x,ColoredNoiseRamp,29,9,1.17880389040108,1.15104061026266,1.17880389040108,1.11284477334268,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,1,vibration_x,IntermittentRecordDropout,29,6,1.04667362176336,1.00350140701886,1.00971005716826,1.00468253429265,1,1,3,3,0,0,1,0,0
NUAA,W1,1,vibration_y,LinearBiasDrift,29,7,1.8772062265585,1.14538229752234,1.22988651480178,0.997411155086653,1,1,10,12,0,0,1,0,0
NUAA,W1,1,vibration_y,GainDrift,29,13,1.01912663130674,0.990951102808435,1.01912663130674,1.04160026463169,1,0,5,NaN,0,0,0,0,0
NUAA,W1,1,vibration_y,ColoredNoiseRamp,29,12,1.14733713158821,1.11077362161144,1.14733713158821,1.09969994057556,1,0,6,NaN,0,0,0,0,0
NUAA,W1,1,vibration_y,IntermittentRecordDropout,29,7,1.11763291121033,1.02098935511746,1.00062018405346,0.997411155086653,1,1,6,6,0,0,3,0,0
NUAA,W1,2,force_z,LinearBiasDrift,29,13,1.47344437227745,1.43700608764747,1.47344437227745,0.797355964121897,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,2,force_z,GainDrift,29,8,3.70137942494485,1.30779496057592,1.14607906448119,0.723470513699527,1,1,6,7,0,0,1,0,0
NUAA,W1,2,force_z,ColoredNoiseRamp,29,11,5.8971480097463,1.15615538138033,1.2688758985381,0.797698007322858,1,1,5,6,0,0,1,0,0
NUAA,W1,2,force_z,IntermittentRecordDropout,29,13,0.847394573114157,0.929226861184759,0.965951933341256,0.797355964121897,1,1,12,12,0,0,1,0,0
NUAA,W1,2,vibration_x,LinearBiasDrift,29,12,1.37176701762777,1.34167890934383,1.37176701762777,1.16224061201938,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,2,vibration_x,GainDrift,29,11,1.22064484579849,1.18805229912587,1.22064484579849,1.19776781318497,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,2,vibration_x,ColoredNoiseRamp,29,7,1.10167124867315,1.07633361082042,1.10167124867315,1.04020474904155,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,2,vibration_x,IntermittentRecordDropout,29,9,1.14983517640228,1.10325220715374,1.11580827379498,1.11284477334268,1,1,5,5,0,0,1,0,0
NUAA,W1,2,vibration_y,LinearBiasDrift,29,6,1.81622466807123,1.16043433878486,1.20032095736256,0.968305281058302,1,1,11,13,0,0,1,0,0
NUAA,W1,2,vibration_y,GainDrift,29,11,1.45187192644021,1.40394023939185,1.45187192644021,1.13313964857551,1,0,7,NaN,0,0,0,0,0
NUAA,W1,2,vibration_y,ColoredNoiseRamp,29,7,1.00539574371724,0.981168391932156,1.00539574371724,0.997411155086653,1,0,11,NaN,0,0,0,0,0
NUAA,W1,2,vibration_y,IntermittentRecordDropout,29,10,1.26132822485846,1.11566139327057,1.08380841906462,1.08380841906462,1,1,0,0,0,0,1,0,0
NUAA,W1,3,force_z,LinearBiasDrift,29,6,0.676134819540499,0.653397468604328,0.676134819540499,0.736037569024192,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,3,force_z,GainDrift,29,7,5.59957605562063,0.754481544709742,0.815279809967161,0.744868120862816,1,1,3,4,0,0,1,0,0
NUAA,W1,3,force_z,ColoredNoiseRamp,29,8,5.83313437788764,0.956222176925822,1.05675020543151,0.723470513699527,1,1,4,7,0,0,1,0,0
NUAA,W1,3,force_z,IntermittentRecordDropout,29,11,0.945276011870756,1.03250007822217,1.10721579477167,0.797698007322858,1,1,6,6,0,0,7,0,0
NUAA,W1,3,vibration_x,LinearBiasDrift,29,7,1.19034194397193,1.16658179182364,1.19034194397193,1.04020474904155,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,3,vibration_x,GainDrift,29,12,1.18752437371857,1.15306265388466,1.18752437371857,1.16224061201938,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,3,vibration_x,ColoredNoiseRamp,29,8,1.10614716484553,1.08002803106009,1.10614716484553,1.0649896165821,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,3,vibration_x,IntermittentRecordDropout,29,12,1.22649525443966,1.16731916365203,1.20507880775475,1.16224061201938,1,1,7,7,0,0,1,0,0
NUAA,W1,3,vibration_y,LinearBiasDrift,29,11,0.834676274664983,1.04076115381924,1.06202789415848,1.13313964857551,1,1,7,11,0,0,1,0,0
NUAA,W1,3,vibration_y,GainDrift,29,7,1.19342644414569,1.15821190686635,1.19342644414569,0.997411155086653,1,0,11,NaN,0,0,0,0,0
NUAA,W1,3,vibration_y,ColoredNoiseRamp,29,13,1.03524790643152,1.00496157988978,1.03524790643152,1.04160026463169,1,0,5,NaN,0,0,0,0,0
NUAA,W1,3,vibration_y,IntermittentRecordDropout,29,8,1.18002261984603,1.02613429028723,1.01743462554567,1.01777950167728,1,1,5,5,0,0,1,0,0
NUAA,W1,4,force_z,LinearBiasDrift,29,13,1.5821015457354,1.54577858598055,1.5821015457354,0.797355964121897,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,4,force_z,GainDrift,29,10,2.44815983973744,0.793918813358586,0.752961761842338,0.7750044235785,1,1,3,4,0,0,1,0,0
NUAA,W1,4,force_z,ColoredNoiseRamp,29,13,3.89620386753485,1.11699155806795,1.35542193950982,0.797355964121897,1,1,5,8,0,0,1,0,0
NUAA,W1,4,force_z,IntermittentRecordDropout,29,13,0.979917658798857,1.03633424099987,1.04920900885955,0.797355964121897,1,1,6,6,0,0,4,0,0
NUAA,W1,4,vibration_x,LinearBiasDrift,29,6,1.23749972159085,1.2170821454134,1.23749972159085,1.00468253429265,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,4,vibration_x,GainDrift,29,12,1.19143917127834,1.15648816997578,1.19143917127834,1.16224061201938,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,4,vibration_x,ColoredNoiseRamp,29,13,1.17992877494273,1.1462100279298,1.17992877494273,1.11048886390095,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,4,vibration_x,IntermittentRecordDropout,29,10,1.20551818146624,1.15890487984864,1.15358278718789,1.14869283256373,1,1,3,3,0,0,1,0,0
NUAA,W1,4,vibration_y,LinearBiasDrift,29,11,0.821665333072409,1.05920757893707,1.04213319582876,1.13313964857551,1,1,7,9,0,0,1,0,0
NUAA,W1,4,vibration_y,GainDrift,29,6,0.838909818105985,0.826982300738204,0.838909818105985,0.968305281058302,1,0,12,NaN,0,0,0,0,0
NUAA,W1,4,vibration_y,ColoredNoiseRamp,29,9,1.11850053847507,1.08592241852002,1.11850053847507,1.05674190727695,1,0,9,NaN,0,0,0,0,0
NUAA,W1,4,vibration_y,IntermittentRecordDropout,29,6,1.0898844731007,0.98745857173187,0.968305281058302,0.968305281058302,1,1,0,0,0,0,1,0,0
NUAA,W1,5,force_z,LinearBiasDrift,29,11,0.854656340762512,0.82592900499858,0.854656340762512,0.797698007322858,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,5,force_z,GainDrift,29,6,3.99495383127233,0.874775784584448,0.862355362475732,0.736037569024192,1,1,5,6,0,0,1,0,0
NUAA,W1,5,force_z,ColoredNoiseRamp,29,11,2.54236717561743,1.44972383965566,1.5440365653221,0.797698007322858,1,1,12,13,0,0,1,0,0
NUAA,W1,5,force_z,IntermittentRecordDropout,29,6,0.796613115432974,0.856653118342679,0.839459305295251,0.736037569024192,1,1,5,5,0,0,5,0,0
NUAA,W1,5,vibration_x,LinearBiasDrift,29,8,1.01333665520747,0.984241060020951,1.01333665520747,1.0649896165821,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,5,vibration_x,GainDrift,29,11,1.21993845545288,1.18743570855004,1.21993845545288,1.19776781318497,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,5,vibration_x,ColoredNoiseRamp,29,10,1.20028010742781,1.16871409126487,1.20028010742781,1.14869283256373,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,5,vibration_x,IntermittentRecordDropout,29,12,1.2153095249507,1.16504512525954,1.20184452574765,1.16224061201938,1,1,9,9,0,0,1,0,0
NUAA,W1,5,vibration_y,LinearBiasDrift,29,10,1.81727015597042,1.32913118227053,1.37399110410209,1.08380841906462,1,1,8,12,0,0,1,0,0
NUAA,W1,5,vibration_y,GainDrift,29,11,1.0711735827366,1.04995402823296,1.0711735827366,1.13313964857551,1,0,7,NaN,0,0,0,0,0
NUAA,W1,5,vibration_y,ColoredNoiseRamp,29,8,1.02136622845558,0.993227349565271,1.02136622845558,1.01777950167728,1,0,10,NaN,0,0,0,0,0
NUAA,W1,5,vibration_y,IntermittentRecordDropout,29,10,1.21995745937292,1.13004770095923,1.08825446599584,1.08380841906462,1,1,1,1,0,0,3,0,0
NUAA,W1,6,force_z,LinearBiasDrift,29,8,0.766057132009155,0.741242671879299,0.766057132009155,0.723470513699527,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,6,force_z,GainDrift,29,9,4.62886759778408,1.08615198476218,1.08615198476218,0.756227409810476,1,1,5,5,0,0,1,0,0
NUAA,W1,6,force_z,ColoredNoiseRamp,29,6,1.68211618265056,1.42164210098521,1.58554578158548,0.736037569024192,1,1,19,23,0,0,1,0,0
NUAA,W1,6,force_z,IntermittentRecordDropout,29,13,0.945076294333869,0.95321570406279,0.93613803041672,0.797355964121897,1,1,4,4,0,0,5,0,0
NUAA,W1,6,vibration_x,LinearBiasDrift,29,8,1.01275539694506,0.983659707947431,1.01275539694506,1.0649896165821,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,6,vibration_x,GainDrift,29,11,1.22606294155264,1.19278162024656,1.22606294155264,1.19776781318497,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,6,vibration_x,ColoredNoiseRamp,29,12,1.2090114258415,1.1749464728168,1.2090114258415,1.16224061201938,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,6,vibration_x,IntermittentRecordDropout,29,9,1.15500300001119,1.11166977211999,1.1186955376332,1.11284477334268,1,1,6,6,0,0,1,0,0
NUAA,W1,6,vibration_y,LinearBiasDrift,29,11,1.46432687882208,1.40962281286438,1.46432687882208,1.13313964857551,1,0,7,NaN,0,0,0,0,0
NUAA,W1,6,vibration_y,GainDrift,29,6,1.17089891591043,1.13612328370235,1.17089891591043,0.968305281058302,1,0,12,NaN,0,0,0,0,0
NUAA,W1,6,vibration_y,ColoredNoiseRamp,29,10,1.13324270334792,1.10213040061479,1.13324270334792,1.08380841906462,1,0,8,NaN,0,0,0,0,0
NUAA,W1,6,vibration_y,IntermittentRecordDropout,29,9,1.21196913965503,1.07849376904927,1.06427463852792,1.05674190727695,1,1,5,5,0,0,1,0,0
NUAA,W1,7,force_z,LinearBiasDrift,29,11,0.939497416891501,0.908946250718295,0.939497416891501,0.797698007322858,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,7,force_z,GainDrift,29,10,6.07162577351762,0.99026949228174,1.14957318244235,0.7750044235785,1,1,2,4,0,0,1,0,0
NUAA,W1,7,force_z,ColoredNoiseRamp,29,11,6.38267594121797,1.05164010521103,1.29167826307281,0.797698007322858,1,1,4,6,0,0,1,0,0
NUAA,W1,7,force_z,IntermittentRecordDropout,29,10,1.02125209341783,0.899880673775926,1.0130849213429,0.7750044235785,1,1,2,6,0,0,7,0,0
NUAA,W1,7,vibration_x,LinearBiasDrift,29,6,0.879975055268854,0.85442796461361,0.879975055268854,1.00468253429265,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,7,vibration_x,GainDrift,29,8,1.08573217245484,1.05780580902423,1.08573217245484,1.0649896165821,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,7,vibration_x,ColoredNoiseRamp,29,7,1.07415772310069,1.04760696091128,1.07415772310069,1.04020474904155,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,7,vibration_x,IntermittentRecordDropout,29,10,1.21150369399208,1.15001321378259,1.15358278718789,1.14869283256373,1,1,3,3,0,0,1,0,0
NUAA,W1,7,vibration_y,LinearBiasDrift,29,12,1.68331410062619,1.38612840690808,1.31223911914285,1.09969994057556,1,1,6,10,0,0,1,0,0
NUAA,W1,7,vibration_y,GainDrift,29,8,0.94708840912118,0.929109745563592,0.94708840912118,1.01777950167728,1,0,10,NaN,0,0,0,0,0
NUAA,W1,7,vibration_y,ColoredNoiseRamp,29,11,1.17808157754864,1.13485140167919,1.17808157754864,1.13313964857551,1,0,7,NaN,0,0,0,0,0
NUAA,W1,7,vibration_y,IntermittentRecordDropout,29,8,1.14517685986636,1.03128525040846,1.00843985483709,1.01777950167728,1,1,2,2,0,0,3,0,0
NUAA,W1,8,force_z,LinearBiasDrift,29,9,0.781940285944922,0.755945479025033,0.781940285944922,0.756227409810476,0,0,NaN,NaN,0,0,0,0,0
NUAA,W1,8,force_z,GainDrift,29,9,3.07381360927575,0.757623836947892,0.761358139936945,0.756227409810476,1,1,3,4,0,0,1,0,0
NUAA,W1,8,force_z,ColoredNoiseRamp,29,9,2.26292786460037,1.24576672235636,1.51523772318085,0.756227409810476,1,1,12,16,0,0,1,0,0
NUAA,W1,8,force_z,IntermittentRecordDropout,29,10,1.01629244645032,1.09594013325529,1.05712421145201,0.7750044235785,1,1,10,10,0,0,5,0,0
NUAA,W1,8,vibration_x,LinearBiasDrift,29,7,0.982776360788444,0.954941807103134,0.982776360788444,1.04020474904155,0,0,NaN,NaN,0,0,0,0,0
