Dataset,Unit,Method,Parameter,Threshold,ConsecutiveRecords,TrainingCleanTriggerRate,TrainingEventDetectionRate,TrainingMeanDelay,MetFivePercentCleanConstraint
NUAA,W1,EWMA,0.5,1,1,0.0430672268907563,0.472222222222222,7.98958333333333,1
NUAA,W2,EWMA,0.5,1,1,0.0357142857142857,0.489583333333333,8.47569444444444,1
NUAA,W3,EWMA,0.5,1,1,0.0430672268907563,0.489583333333333,8.84027777777778,1
NUAA,W4,EWMA,0.5,1,1,0.0430672268907563,0.465277777777778,7.92708333333333,1
NUAA,W5,EWMA,0.5,1,1,0.00735294117647059,0.517361111111111,8.94444444444444,1
NUAA,W6,EWMA,0.5,1,1,0.0430672268907563,0.482638888888889,8.70138888888889,1
NUAA,W7,EWMA,0.5,1,1,0.0430672268907563,0.475694444444444,9.10069444444444,1
NUAA,W8,CUSUM,0.4,2,1,0.046875,0.489583333333333,7.79166666666667,1
NUAA,W9,EWMA,0.5,1.2,1,0.0357142857142857,0.447916666666667,9.46180555555556,1
PHM2010,c1,EWMA,0.5,0.8,1,0.0317460317460317,0.625,142.138888888889,1
PHM2010,c4,EWMA,0.5,0.8,1,0.0333333333333333,0.847222222222222,100.25,1
PHM2010,c6,CUSUM,0.6,1,1,0.0476190476190476,0.375,173.027777777778,1
