Dataset,Unit,Method,Parameter,Threshold,ConsecutiveRecords,TrainingCleanTriggerRate,TrainingEventDetectionRate,TrainingMeanDelay,MetFivePercentCleanConstraint
NUAA,W1,EWMA,0.5,1,1,0.0430672268907563,0.5,7.96875,1
NUAA,W2,EWMA,0.5,1,1,0.0357142857142857,0.510416666666667,8.4375,1
NUAA,W3,EWMA,0.5,1,1,0.0430672268907563,0.510416666666667,8.84375,1
NUAA,W4,EWMA,0.5,1,1,0.0430672268907563,0.479166666666667,7.86458333333333,1
NUAA,W5,EWMA,0.5,1,1,0.00735294117647059,0.53125,9.01041666666667,1
NUAA,W6,EWMA,0.5,1,1,0.0430672268907563,0.489583333333333,8.75,1
NUAA,W7,EWMA,0.5,1,1,0.0430672268907563,0.5,9.11458333333333,1
NUAA,W8,CUSUM,0.4,2,1,0.046875,0.510416666666667,7.85416666666667,1
NUAA,W9,EWMA,0.5,1.2,1,0.0357142857142857,0.458333333333333,9.4375,1
PHM2010,c1,EWMA,0.5,0.8,1,0.0317460317460317,0.625,143.666666666667,1
PHM2010,c4,EWMA,0.5,0.8,1,0.0333333333333333,0.833333333333333,100.833333333333,1
PHM2010,c6,CUSUM,0.4,6,1,0,0.416666666666667,184.875,1
