Dataset,Unit,RunIndex,SourceGroup,SignalSampleN,Sensor,Statistic,StoredValue,ReconstructedValue,Difference,AbsoluteDifference,StandardisedAbsoluteDifference
NUAA,W1,1,1,1576,force_z,Mean,250.607620812183,250.607620812183,0,0,0
NUAA,W1,2,2,1757,force_z,Mean,7.84331474103585,7.84331474103585,0,0,0
NUAA,W1,3,3,1773,force_z,Mean,178.617076254935,178.617076254935,0,0,0
NUAA,W1,4,4,1800,force_z,Mean,49.0933617777778,49.0933617777778,0,0,0
NUAA,W1,5,5,1679,force_z,Mean,206.007020488386,206.007020488386,0,0,0
NUAA,W1,6,6,1623,force_z,Mean,194.479325693161,194.479325693161,0,0,0
NUAA,W1,7,7,1737,force_z,Mean,172.604797927461,172.604797927461,0,0,0
NUAA,W1,8,8,1724,force_z,Mean,126.370263109049,126.370263109049,0,0,0
NUAA,W1,9,9,1697,force_z,Mean,139.952986446671,139.952986446671,0,0,0
NUAA,W1,10,10,1744,force_z,Mean,121.892191169725,121.892191169725,0,0,0
NUAA,W1,11,11,1714,force_z,Mean,120.524845974329,120.524845974329,0,0,0
NUAA,W1,12,12,1702,force_z,Mean,256.910213748531,256.910213748531,0,0,0
NUAA,W1,13,13,1712,force_z,Mean,187.350428154206,187.350428154206,0,0,0
NUAA,W1,14,14,1744,force_z,Mean,158.824775802752,158.824775802752,0,0,0
NUAA,W1,15,15,1751,force_z,Mean,144.478197601371,144.478197601371,0,0,0
NUAA,W1,16,16,1672,force_z,Mean,152.811715909091,152.811715909091,0,0,0
NUAA,W1,17,17,1705,force_z,Mean,78.9389607038123,78.9389607038123,0,0,0
NUAA,W1,18,18,1482,force_z,Mean,-51.0552705802969,-51.0552705802969,0,0,0
NUAA,W1,19,19,1669,force_z,Mean,42.195690832834,42.195690832834,0,0,0
NUAA,W1,20,20,1474,force_z,Mean,61.879420624152,61.879420624152,0,0,0
NUAA,W1,21,21,1287,force_z,Mean,159.436237606838,159.436237606838,0,0,0
NUAA,W1,22,22,582,force_z,Mean,214.72967628866,214.72967628866,0,0,0
NUAA,W1,23,23,784,force_z,Mean,10.0335739795918,10.0335739795918,0,0,0
NUAA,W1,24,24,1497,force_z,Mean,76.0123473613895,76.0123473613895,0,0,0
NUAA,W1,25,25,1392,force_z,Mean,22.1818586206897,22.1818586206897,0,0,0
NUAA,W1,26,26,991,force_z,Mean,244.270384863774,244.270384863774,0,0,0
NUAA,W1,27,27,997,force_z,Mean,203.861262788365,203.861262788365,0,0,0
NUAA,W1,28,28,1642,force_z,Mean,152.849926309379,152.849926309379,0,0,0
NUAA,W1,29,29,1122,force_z,Mean,230.137463458111,230.137463458111,0,0,0
NUAA,W2,1,30,1221,force_z,Mean,131.227190827191,131.227190827191,0,0,0
NUAA,W2,2,31,1013,force_z,Mean,132.126725567621,132.126725567621,0,0,0
NUAA,W2,3,32,1219,force_z,Mean,103.604310090238,103.604310090238,0,0,0
NUAA,W2,4,33,1527,force_z,Mean,130.513780615586,130.513780615586,0,0,0
NUAA,W2,5,34,1010,force_z,Mean,161.100677227723,161.100677227723,0,0,0
NUAA,W2,6,35,1693,force_z,Mean,235.24748257531,235.24748257531,0,0,0
NUAA,W2,7,36,1762,force_z,Mean,175.56502553916,175.56502553916,0,0,0
NUAA,W2,8,37,1711,force_z,Mean,150.93108591467,150.93108591467,0,0,0
NUAA,W2,9,38,1688,force_z,Mean,204.470682109005,204.470682109005,0,0,0
NUAA,W2,10,39,1732,force_z,Mean,211.617070900693,211.617070900693,0,0,0
NUAA,W2,11,40,1705,force_z,Mean,192.299500175953,192.299500175953,0,0,0
NUAA,W2,12,41,1760,force_z,Mean,-46.3268517045455,-46.3268517045455,0,0,0
NUAA,W2,13,42,1007,force_z,Mean,195.193868917577,195.193868917577,0,0,0
NUAA,W2,14,43,1724,force_z,Mean,-70.0088230858469,-70.0088230858469,0,0,0
NUAA,W2,15,44,1780,force_z,Mean,195.77376741573,195.77376741573,0,0,0
NUAA,W2,16,45,1754,force_z,Mean,-17.9148614595211,-17.9148614595211,0,0,0
NUAA,W2,17,46,1647,force_z,Mean,125.815587370978,125.815587370978,0,0,0
NUAA,W3,1,47,1750,force_z,Mean,148.387411657143,148.387411657143,0,0,0
NUAA,W3,2,48,1861,force_z,Mean,63.6209081139173,63.6209081139173,0,0,0
NUAA,W3,3,49,1827,force_z,Mean,111.950737383689,111.950737383689,0,0,0
NUAA,W3,4,50,1844,force_z,Mean,74.7865590021692,74.7865590021692,0,0,0
NUAA,W3,5,51,1783,force_z,Mean,118.207524957936,118.207524957936,0,0,0
NUAA,W3,6,52,1823,force_z,Mean,44.4109193636862,44.4109193636862,0,0,0
NUAA,W3,7,53,1758,force_z,Mean,92.4734072810011,92.4734072810011,0,0,0
NUAA,W3,8,54,1610,force_z,Mean,101.277229192547,101.277229192547,0,0,0
NUAA,W3,9,55,1718,force_z,Mean,182.141886263097,182.141886263097,0,0,0
NUAA,W3,10,56,1683,force_z,Mean,147.074638146168,147.074638146168,0,0,0
NUAA,W3,11,57,1751,force_z,Mean,107.64066419189,107.64066419189,0,0,0
NUAA,W4,1,58,1599,force_z,Mean,-55.3498045028143,-55.3498045028143,0,0,0
NUAA,W4,2,59,1601,force_z,Mean,205.683431605247,205.683431605247,0,0,0
NUAA,W4,3,60,1624,force_z,Mean,190.537046798029,190.537046798029,0,0,0
NUAA,W4,4,61,1685,force_z,Mean,159.959884035608,159.959884035608,0,0,0
NUAA,W4,5,62,1624,force_z,Mean,210.212827093596,210.212827093596,0,0,0
NUAA,W4,6,63,1689,force_z,Mean,150.032831261101,150.032831261101,0,0,0
